epoch,theta_1,theta_2,theta_norm,train_spoplus_loss,validation_spoplus_loss,train_normalized_spoplus_loss,validation_normalized_spoplus_loss,train_decision_gap,validation_decision_gap,train_y_adv_oracle_equal_rate,validation_y_adv_oracle_equal_rate,train_y_pred_oracle_equal_rate,validation_y_pred_oracle_equal_rate
0,1.6236203565420875,3.3521429192297485,3.724648334154514,47.98506404236551,45.224692190731936,0.34707505364094565,0.3401736089047256,3.487229845933616,3.238449402589351,0.0,0.0,0.29333333333333333,0.329
10,2.6135477786770203,4.303949904863924,5.0353368084971,23.47904715931583,21.760320841286816,0.17088757170186852,0.16473282256538768,2.641558761416624,2.4471416984722016,0.0,0.0,0.3408333333333333,0.3735
20,3.5168287879097853,4.916042779356107,6.044465347070022,13.580117453668928,12.63686652444947,0.09952898124318725,0.09642350762468685,2.0612896759373447,1.9596112458370627,0.0,0.001,0.385,0.418
30,4.2758772238652565,5.0759206467590605,6.636873996526118,8.594798963778851,8.008581872121063,0.06311455940222893,0.06124940441818564,1.5693067478388547,1.4958558920435607,0.006666666666666667,0.0075,0.43833333333333335,0.4715
40,4.922155730579697,4.942593875491962,6.9754463121816945,4.824114240351891,4.467880823297641,0.035277803330570595,0.03404263177017289,0.9954051687878867,1.041320302207023,0.014166666666666666,0.0205,0.5175,0.534
50,5.430718174958705,4.654657162667919,7.152519360183694,2.8677344238627738,2.6685218904838903,0.021018966967402134,0.02038736048967758,0.6006201656597356,0.6296869015395641,0.20166666666666666,0.2195,0.5983333333333334,0.62
60,5.777106941671063,4.297938470759701,7.200502740360579,1.6371250194601676,1.5161464867880696,0.012056500226411323,0.011639627478939424,0.342492577402542,0.3361267503798008,0.275,0.31,0.68,0.709
70,6.027341539365519,3.925692923435541,7.193046014121764,0.7657381186502042,0.7052461932873965,0.0056698002726331435,0.005427111059240501,0.15005441733946404,0.13119394620880484,0.39166666666666666,0.424,0.77,0.808
80,6.20714521709245,3.5812453996887887,7.166168457332398,0.23861643235795355,0.20858476470340923,0.0017709714320721937,0.0016126591439791585,0.047871086318045854,0.036317149601876736,0.5791666666666667,0.6005,0.8575,0.8945
90,6.323015883837648,3.312303679751183,7.1380589472318325,0.027355223659142468,0.020123695463294105,0.0002002303224834123,0.00015907390259189223,0.00599542008092006,0.003935702580958605,0.8141666666666667,0.854,0.95,0.957
100,6.382662030703564,3.1563222495304832,7.120445543718883,0.0016472367706429126,0.0014168491957058365,1.1832990730884945e-05,1.1248737533101387e-05,0.00022250300894180932,0.00014815083146095276,0.9541666666666667,0.956,0.9841666666666666,0.9865
110,6.4008862785298275,3.1142772154041616,7.118291067739287,0.009041837942332247,0.008829805098034606,6.79885305718303e-05,7.1049087818468e-05,0.0014950880035758019,0.0017929487451910974,0.8883333333333333,0.886,0.9683333333333334,0.967
120,6.397953350395743,3.1381810456224994,7.126148142506191,0.004487220000510287,0.004167305905031794,3.310473646508025e-05,3.35828730717134e-05,0.0011004206165671348,0.0006602998338639736,0.9241666666666667,0.9195,0.9725,0.9775
130,6.389545134477243,3.1765147098540614,7.1355821575706795,0.0005060956310812174,0.00038465786493120825,3.613649081830197e-06,2.9441642162267705e-06,0.00018992052723964056,0.00015030118823051452,0.9716666666666667,0.9725,0.9816666666666667,0.986
140,6.383848714781753,3.2008205141680817,7.141342757292907,6.359069912922048e-05,5.2952991020490006e-05,5.528464761574049e-07,4.5404360725611737e-07,3.4769376118977865e-09,1.1951610445976257e-05,0.9883333333333333,0.989,0.9908333333333333,0.993
150,6.382472942891507,3.2069972996950686,7.1428840496674475,0.00023749484743978164,0.00020365325846589144,1.8119400840195803e-06,1.618202764097881e-06,3.6835322777430213e-05,7.752165198326111e-06,0.9791666666666666,0.9805,0.9891666666666666,0.992
160,6.383540432234075,3.203245741485498,7.14215455799664,0.000126624393628861,0.00010515874104566159,9.938769895430296e-07,8.445846908969056e-07,5.033418536186218e-05,1.8702313303947447e-05,0.9825,0.985,0.9883333333333333,0.991
170,6.385382996256269,3.1963144801183474,7.140696203080825,1.9993296307519634e-05,1.1693964950030278e-05,1.8462044270788958e-07,1.0576828669234425e-07,2.8250825901826224e-05,1.8702313303947447e-05,0.9883333333333333,0.9905,0.9883333333333333,0.991
180,6.386739416020487,3.191155467266831,7.139601780520865,3.547433627275609e-06,8.097560232572576e-06,3.150172831284401e-08,7.275938408910135e-08,2.8250726560751598e-05,1.010201871395111e-05,0.9891666666666666,0.9905,0.9875,0.992
190,6.386948200561695,3.1903794536614583,7.1394417411309865,2.0553059995069843e-05,1.1567084127314332e-05,1.6339910877440439e-07,1.0333197040528381e-07,3.1416614850362144e-09,2.3518651723861693e-06,0.9875,0.9905,0.9891666666666666,0.9905
200,6.386148950005596,3.1934803719229468,7.140113115176447,-5.478619321457323e-06,-1.8220565349409411e-06,-5.033873837447155e-08,-1.5096626019579398e-08,8.836748699347179e-06,2.351626753807068e-06,0.9875,0.991,0.9875,0.9915
210,6.385526254857433,3.1958905373103956,7.1406345570925085,1.5601850469460683e-05,9.189489269807894e-06,1.419986709365067e-07,8.270627188150775e-08,3.919601440429688e-06,2.351626753807068e-06,0.9891666666666666,0.992,0.9891666666666666,0.9915
220,6.3856535692020495,3.19540246843014,7.140529983209391,1.2476923136481115e-05,7.314651105719605e-06,1.146419962344718e-07,6.570144599611329e-08,7.8349436322848e-06,5.301699042320251e-06,0.9891666666666666,0.992,0.9891666666666666,0.993
230,6.386129414584919,3.193568084434873,7.140134873358328,7.395658790857832e-07,2.7268113713141417e-07,1.1889176903470848e-08,1.8306150134653577e-09,7.8349436322848e-06,5.301699042320251e-06,0.9891666666666666,0.992,0.9891666666666666,0.993
240,6.3866831404724875,3.1914325325285895,7.13967528298573,1.2973391982029626e-07,3.6373024190581305e-06,6.989522434288695e-09,3.618734617869939e-08,7.8349436322848e-06,2.0515769720077515e-06,0.9891666666666666,0.9905,0.9891666666666666,0.9935
250,6.38677428664372,3.1910815319011765,7.139599927991355,3.693944565874574e-06,8.45762975498232e-06,3.2801707976765097e-08,7.593224176308818e-08,1.6887982686360676e-09,2.052292227745056e-06,0.9883333333333333,0.9905,0.99,0.991
260,6.386311938165796,3.1928666742862695,7.139984437751025,4.678379295638043e-07,5.116750596734221e-07,4.147891542120332e-09,5.914471455012104e-09,3.2782554626464844e-09,2.351626753807068e-06,0.9883333333333333,0.9905,0.9891666666666666,0.991
270,6.385697975048035,3.1952368335896555,7.140495574626499,1.1413342929711413e-05,6.6763523996815625e-06,1.0532978935037475e-07,5.99120614307036e-08,3.4396847089131673e-09,2.3513883352279664e-06,0.9883333333333333,0.992,0.9883333333333333,0.992
280,6.385683789979322,3.195292477396895,7.1405077887860235,1.1768854175389088e-05,6.889538485667756e-06,1.084420081624646e-07,6.18456640887852e-08,7.835340996583303e-06,5.301937460899353e-06,0.9891666666666666,0.992,0.9891666666666666,0.9925
290,6.386170577561352,3.1934151394118357,7.140103283450108,-2.427781172483397e-07,-3.1698610336228227e-07,3.2880911326683356e-09,-3.5176810505977585e-09,7.835179567337035e-06,5.301937460899353e-06,0.9891666666666666,0.992,0.99,0.9925
300,6.3867531563722935,3.191167999559304,7.139619673473005,3.53887074353428e-06,8.075239793511102e-06,3.142429326213932e-08,7.256271802359162e-08,7.835340996583303e-06,2.051815390586853e-06,0.9891666666666666,0.9905,0.9891666666666666,0.993
310,6.3867156901646105,3.191313378838982,7.139651139162998,3.2762909266563038e-06,7.428501228481821e-06,2.909209698914041e-08,6.686381932133266e-08,3.3775965372721352e-09,2.351626753807068e-06,0.9891666666666666,0.9905,0.99,0.991
320,6.386133092494514,3.1935626847702334,7.140135747771915,-7.886767548193063e-07,-2.0874437193931783e-06,-7.0123629321339345e-09,-1.753448930143073e-08,3.539025783538818e-09,2.3513883352279664e-06,0.9891666666666666,0.991,0.9891666666666666,0.992
330,6.385582979839948,3.1956864395509825,7.1405939397470055,1.4285707945684105e-05,8.399555311733309e-06,1.3047540737078902e-07,7.55415512522735e-08,3.539025783538818e-09,2.3518651723861693e-06,0.9891666666666666,0.992,0.9891666666666666,0.991
340,6.385821328277497,3.194767769739434,7.140396007172827,8.407453364755272e-06,4.872825111297274e-06,7.90151667075572e-08,4.355402650405576e-08,7.835340996583303e-06,5.301699042320251e-06,0.9891666666666666,0.992,0.9891666666666666,0.993
350,6.3864555670960845,3.192321594354167,7.139869177532072,-1.3870052477393813e-06,-2.1574018383088146e-06,-7.803880925342999e-09,-1.4558112486290514e-08,7.835179567337035e-06,2.051815390586853e-06,0.9908333333333333,0.9925,0.99,0.993
360,6.38685097818879,3.1907966322440147,7.139541201360971,1.5188547011243021e-05,9.731482825337424e-06,1.148557950252858e-07,8.71571199467771e-08,1.9495685895284016e-09,2.0520538091659548e-06,0.9883333333333333,0.9905,0.9908333333333333,0.9925
370,6.386440817693656,3.1923805284280187,7.139882334898102,4.09439533254267e-06,2.6814364385625566e-06,2.8990356988453854e-08,2.503387019143368e-08,3.920160233974457e-06,2.3513883352279664e-06,0.9883333333333333,0.9905,0.9883333333333333,0.9915
380,6.38571015015219,3.1952013159150003,7.1404905693503755,3.678580186701197e-06,6.534969615485053e-06,5.860785878275886e-08,5.862971527475202e-08,3.91999880472819e-06,2.3518651723861693e-06,0.9908333333333333,0.992,0.9891666666666666,0.991
390,6.385646694250162,3.1954472552820428,7.140543877400205,1.2750551301579093e-05,7.478519267493766e-06,1.1703612962734206e-07,6.718773238989235e-08,2.185503641764323e-09,5.301937460899353e-06,0.9891666666666666,0.992,0.9916666666666667,0.9925
400,6.386220193827967,3.1932355350387307,7.140067334856878,-1.4005561976837555e-06,-1.0116094407361942e-06,-6.847481463848933e-09,-9.817931879759817e-09,7.835340996583303e-06,5.301937460899353e-06,0.9891666666666666,0.992,0.9891666666666666,0.9925
410,6.386856120147269,3.1907826700683084,7.139539561279205,1.529107459019278e-05,9.796636495634558e-06,1.1564932545828983e-07,8.773123927999714e-08,7.835179567337035e-06,2.051815390586853e-06,0.9883333333333333,0.9905,0.99,0.993
420,6.38662082173818,3.1916917760336947,7.1397354232394905,8.923758877858271e-06,5.7503720852523086e-06,6.636819330308103e-08,5.207656696401623e-08,3.920160233974457e-06,2.3518651723861693e-06,0.9883333333333333,0.9905,0.9883333333333333,0.9905
430,6.385871055768067,3.1945863991076657,7.140359332852938,-5.112238625882467e-06,-2.1038131434618634e-06,-1.2743420427386352e-08,-1.3133860320693164e-08,3.91986221075058e-06,2.3513883352279664e-06,0.9891666666666666,0.991,0.9891666666666666,0.992
440,6.38558254703618,3.195700831904194,7.14059999384129,1.4368128213847105e-05,8.449194693803009e-06,1.3119822301612467e-07,7.599178046502405e-08,3.6383668581644695e-09,5.601748824119568e-06,0.99,0.992,0.9891666666666666,0.9915
450,6.386108822309278,3.193671415111959,7.140162673082428,1.383129294557269e-06,6.587941560223243e-07,1.7523171954605677e-08,5.332666911728525e-09,7.8349436322848e-06,5.301937460899353e-06,0.9891666666666666,0.992,0.9891666666666666,0.9925
460,6.386817408522454,3.1909383076778943,7.139574489646546,1.4205691283321424e-05,9.107017058390454e-06,1.072486456608107e-07,8.165448636816177e-08,7.8349436322848e-06,2.0520538091659548e-06,0.9875,0.9905,0.9891666666666666,0.9925
470,6.386653800021494,3.191570800831833,7.139710844148476,9.776049936925564e-06,6.292094581084484e-06,7.296453733898938e-08,5.685009199802637e-08,3.920060892899831e-06,2.3518651723861693e-06,0.9875,0.9905,0.9875,0.9905
480,6.385876092442641,3.194573327243104,7.140357989006123,-5.063769788904438e-06,-2.0984832324923985e-06,-1.2622629416564238e-08,-1.3147483843454228e-08,3.9198994636535645e-06,2.3518651723861693e-06,0.9875,0.991,0.9883333333333333,0.991
490,6.38556220135173,3.195785786178407,7.140619820328757,1.4906917247152761e-05,8.77244753317541e-06,1.359149715205386e-07,7.892369063462952e-08,3.539025783538818e-09,5.601748824119568e-06,0.99,0.992,0.9883333333333333,0.9915
500,6.38612293866452,3.1936234845840676,7.1401538603187005,1.0718545716237315e-06,4.71933749569331e-07,1.4798124568078072e-08,3.6378381093381595e-09,7.834881544113159e-06,5.302175879478454e-06,0.99,0.992,0.9908333333333333,0.992
