epoch,theta_1,theta_2,theta_norm,train_spoplus_loss,validation_spoplus_loss,train_normalized_spoplus_loss,validation_normalized_spoplus_loss,train_decision_gap,validation_decision_gap,train_y_adv_oracle_equal_rate,validation_y_adv_oracle_equal_rate,train_y_pred_oracle_equal_rate,validation_y_pred_oracle_equal_rate
0,1.6236203565420875,3.3521429192297485,3.724648334154514,81.7227941705993,79.3053209064774,0.49793096896895916,0.4983634321541724,11.795887493006886,11.52413899827376,0.0,0.0,0.13,0.137
10,2.6133260021763354,4.324142405539913,5.052492487578725,61.75815418486019,59.85524879514986,0.3756076800336397,0.37506974768306595,10.599272998906672,10.498546205589548,0.0,0.0,0.135,0.1465
20,3.5415257119537618,5.138810585428461,6.240975773173711,50.193579282150566,48.41119914366073,0.30599967491768865,0.3034029869480377,9.992809489779175,9.937479661934077,0.0,0.0005,0.135,0.155
30,4.377373566027486,5.726713129860506,7.208095629795216,43.20940321524588,41.92086226619258,0.26471028203386693,0.2630762002140083,9.721963487528264,9.464310259323566,0.0,0.001,0.145,0.1615
40,5.111532228645346,6.08868393074523,7.949832308482692,38.892246908013206,38.02128820329933,0.23936352680921216,0.23891253294098344,9.09089047756046,9.13771715872921,0.0,0.0025,0.155,0.1675
50,5.747465466609301,6.24769050359236,8.489228228675715,36.109256056133326,35.39026519760465,0.22283136631309108,0.22262179498427745,8.66315949793905,8.77565140918456,0.0,0.004,0.165,0.177
60,6.29745094400334,6.242775357358078,8.867363337236489,34.13307788665479,33.45448993022955,0.2110215215026095,0.21053098343099755,8.188900500498711,8.529727404955775,0.005,0.005,0.165,0.179
70,6.779918987333641,6.142979820459588,9.148961829048197,32.62536463559264,31.960990373306885,0.20200133620588115,0.20113120852556063,7.886547996811569,8.101672553040087,0.005,0.0075,0.18,0.19
80,7.211903368999139,6.019138226990344,9.393698696434626,31.450871540272892,30.78770325702809,0.194974969093143,0.19375653744477006,7.456865987293423,7.8695680062230675,0.005,0.0095,0.21,0.199
90,7.603095573309284,5.909813962007246,9.629795603355817,30.54107318309801,29.859134984122964,0.18955642040874296,0.18792353515900576,7.2243769730255005,7.6183445526640865,0.005,0.0125,0.21,0.2075
100,7.956588231771992,5.831085586091758,9.864525097656735,29.844512271314134,29.132831223986045,0.18544808040041946,0.18337221406135193,7.165708472840488,7.472332096463069,0.01,0.0135,0.215,0.212
110,8.27919893776172,5.780195931681319,10.097316478137152,29.285528164246383,28.556781354958943,0.1822125762794664,0.17977085159158437,7.124269465617836,7.331557595828548,0.01,0.014,0.21,0.2175
120,8.573612304054107,5.745473276052282,10.320721443099746,28.844135833282746,28.094978148253205,0.1797042203950676,0.17688513529464334,7.149232977330684,7.288367697214707,0.015,0.014,0.205,0.217
