block,regime,degree,noise,train_size,2stage_val_mse,fy_val_fy,spoplus_val_spoplus,best_method,best_mean_norm_gap
Step2a,step2a_additive_rho050,-,additive rho=0.50,50,0.06358718908455632,0.06401792067990242,0.06380061506208608,2stage(val MSE),0.06358718908455632
Step2a,step2a_additive_rho050,-,additive rho=0.50,200,0.06380061506208608,0.06379103547540897,0.06319720999609757,SPO+(val SPO+),0.06319720999609757
Step2a,step2a_additive_rho050,-,additive rho=0.50,600,0.0637885642861949,0.06371440141739694,0.0635994431676064,SPO+(val SPO+),0.0635994431676064
Step2a,step2a_additive_rho050,-,additive rho=0.50,1200,0.0637885642861949,0.06390217172462047,0.06338661297561021,SPO+(val SPO+),0.06338661297561021
Step2b,step2b_poly_d1,1,noiseless polynomial,50,2.257789704091851e-05,2.9145911126952006e-07,1.2605535273287417e-07,SPO+(val SPO+),1.2605535273287417e-07
Step2b,step2b_poly_d1,1,noiseless polynomial,200,2.257789704091851e-05,1.2605535273287417e-07,1.535622312077709e-07,FY(val FY),1.2605535273287417e-07
Step2b,step2b_poly_d1,1,noiseless polynomial,600,2.257789704091851e-05,2.6773697304398575e-06,1.535622312077709e-07,SPO+(val SPO+),1.535622312077709e-07
Step2b,step2b_poly_d1,1,noiseless polynomial,1200,2.257789704091851e-05,5.903118074416544e-06,1.535622312077709e-07,SPO+(val SPO+),1.535622312077709e-07
Step2b,step2b_poly_d2,2,noiseless polynomial,50,0.0010501014523532472,0.0008335809767181828,0.0008335809767181828,FY(val FY),0.0008335809767181828
Step2b,step2b_poly_d2,2,noiseless polynomial,200,0.0010457890831635569,0.000797803642947319,0.0008168179909135388,FY(val FY),0.000797803642947319
Step2b,step2b_poly_d2,2,noiseless polynomial,600,0.0010414988678705548,0.0008109080446577483,0.0007898973154833452,SPO+(val SPO+),0.0007898973154833452
Step2b,step2b_poly_d2,2,noiseless polynomial,1200,0.0010414988678705548,0.000797803642947319,0.0008168179909135388,FY(val FY),0.000797803642947319
Step2b,step2b_poly_d4,4,noiseless polynomial,50,0.010403201844018556,0.007825249324272535,0.007981404941946657,FY(val FY),0.007825249324272535
Step2b,step2b_poly_d4,4,noiseless polynomial,200,0.010403201844018556,0.007825382811423363,0.007981404941946657,FY(val FY),0.007825382811423363
Step2b,step2b_poly_d4,4,noiseless polynomial,600,0.010403201844018556,0.007852754530139288,0.007981404941946657,FY(val FY),0.007852754530139288
Step2b,step2b_poly_d4,4,noiseless polynomial,1200,0.010403201844018556,0.007825249324272535,0.007989818848034635,FY(val FY),0.007825249324272535
Step2b,step2b_poly_d8,8,noiseless polynomial,50,0.06133506149564834,0.04953764251745522,0.04906840174454459,SPO+(val SPO+),0.04906840174454459
Step2b,step2b_poly_d8,8,noiseless polynomial,200,0.06120881202024132,0.04978412163431096,0.04869177024418523,SPO+(val SPO+),0.04869177024418523
Step2b,step2b_poly_d8,8,noiseless polynomial,600,0.06133506149564834,0.049779936577679915,0.04909292816044271,SPO+(val SPO+),0.04909292816044271
Step2b,step2b_poly_d8,8,noiseless polynomial,1200,0.061176799089361855,0.049747649849951066,0.04909292816044271,SPO+(val SPO+),0.04909292816044271
Step2c,step2c_poly_d1_mult_eps050,1,multiplicative eps=0.50,50,0.041949214880199086,0.041765203592334,0.04234698752977762,FY(val FY),0.041765203592334
Step2c,step2c_poly_d1_mult_eps050,1,multiplicative eps=0.50,200,0.041949214880199086,0.041634991465655045,0.042256019891862916,FY(val FY),0.041634991465655045
Step2c,step2c_poly_d1_mult_eps050,1,multiplicative eps=0.50,600,0.041949214880199086,0.04175765384818704,0.0416986079989019,SPO+(val SPO+),0.0416986079989019
Step2c,step2c_poly_d1_mult_eps050,1,multiplicative eps=0.50,1200,0.041949214880199086,0.04175765384818704,0.04177369384606313,FY(val FY),0.04175765384818704
Step2c,step2c_poly_d2_mult_eps050,2,multiplicative eps=0.50,50,0.04175036099699546,0.04156108051482163,0.04166652633563361,FY(val FY),0.04156108051482163
Step2c,step2c_poly_d2_mult_eps050,2,multiplicative eps=0.50,200,0.04167064956580397,0.040891482035348974,0.04137050306763376,FY(val FY),0.040891482035348974
Step2c,step2c_poly_d2_mult_eps050,2,multiplicative eps=0.50,600,0.041672855379416986,0.041404750950576795,0.04108004293087832,SPO+(val SPO+),0.04108004293087832
Step2c,step2c_poly_d2_mult_eps050,2,multiplicative eps=0.50,1200,0.04164876904103406,0.04107230810177326,0.04103530810246916,SPO+(val SPO+),0.04103530810246916
Step2c,step2c_poly_d4_mult_eps050,4,multiplicative eps=0.50,50,0.04798603147771944,0.044837557963014536,0.04569628704630242,FY(val FY),0.044837557963014536
Step2c,step2c_poly_d4_mult_eps050,4,multiplicative eps=0.50,200,0.047300972418131956,0.04533139401101205,0.04533632488169371,FY(val FY),0.04533139401101205
Step2c,step2c_poly_d4_mult_eps050,4,multiplicative eps=0.50,600,0.04735244178018547,0.04628988190853005,0.04482677589177569,SPO+(val SPO+),0.04482677589177569
Step2c,step2c_poly_d4_mult_eps050,4,multiplicative eps=0.50,1200,0.047476658201154896,0.046310989297852656,0.04551709343926315,SPO+(val SPO+),0.04551709343926315
Step2c,step2c_poly_d8_mult_eps050,8,multiplicative eps=0.50,50,0.08813875454578217,0.07729806699997602,0.07673992604800672,SPO+(val SPO+),0.07673992604800672
Step2c,step2c_poly_d8_mult_eps050,8,multiplicative eps=0.50,200,0.08790534916604381,0.07762956378031788,0.07703690133782815,SPO+(val SPO+),0.07703690133782815
Step2c,step2c_poly_d8_mult_eps050,8,multiplicative eps=0.50,600,0.08804333982495909,0.07696854504956019,0.07729861356965528,FY(val FY),0.07696854504956019
Step2c,step2c_poly_d8_mult_eps050,8,multiplicative eps=0.50,1200,0.08797545032329547,0.07722389979756629,0.07741044318872607,FY(val FY),0.07722389979756629
