evaluation_dataset,evaluation_graph_count,block,regime,degree,checkpoint_label,checkpoint_source,method,train_size,selected_epoch,theta_1,theta_2,selection_metric,selection_value,test_mean_decision_gap,test_mean_normalized_gap,test_median_normalized_gap,test_mean_achieved_oracle_ratio,paired_mean_improvement_over_2stage,paired_median_improvement_over_2stage,fraction_improved_over_2stage,paired_mean_improvement_ci_low,paired_mean_improvement_ci_high,model_path
/home/weikang/projects/UdeM-Intern/Exps/dataset/processed/step2a_additive_rho050_unseen10000_seed20260523,10000,Step2a,step2a_additive_rho050,-,2stage_val_mse,2stage,2stage,50,500,9.953223979292718,5.254587882446916,validation_mse_loss,7.9768663863592,8.604800429821015,0.06070030699792003,0.05042727866118279,0.9392996930016099,,,,,,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step2/Step2a_additive_linear_gaussian/remote_results/step2a_additive_rho050/step1b_fy/formal_2stage500_fyM16_e500_s10/train_size=50/model_weights/2stage_best_by_validation_mse_loss.npz
/home/weikang/projects/UdeM-Intern/Exps/dataset/processed/step2a_additive_rho050_unseen10000_seed20260523,10000,Step2a,step2a_additive_rho050,-,fy_val_decision_gap,step1b_fy,e2e,50,40,3.457525691161195,1.4773302495550578,validation_decision_gap,8.33115696334839,8.642359144496918,0.06089380406391041,0.05112302234668467,0.9391061959356183,-0.03755871467590332,0.0,0.074,-0.09167438512802124,0.020231250448226875,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step2/Step2a_additive_linear_gaussian/remote_results/step2a_additive_rho050/step1b_fy/formal_2stage500_fyM16_e500_s10/train_size=50/model_weights/e2e_best_by_validation_decision_gap.npz
/home/weikang/projects/UdeM-Intern/Exps/dataset/processed/step2a_additive_rho050_unseen10000_seed20260523,10000,Step2a,step2a_additive_rho050,-,fy_val_fy_loss,step1b_fy,e2e,50,290,3.2999963929286826,1.6308845631979378,validation_fy_loss,5.335739141076803,8.591820949077606,0.06061535102471722,0.05040899388540718,0.9393846489748136,0.012979480743408203,0.0,0.0285,-0.021621999645233154,0.04668053290367125,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step2/Step2a_additive_linear_gaussian/remote_results/step2a_additive_rho050/step1b_fy/formal_2stage500_fyM16_e500_s10/train_size=50/model_weights/e2e_best_by_validation_fy_loss.npz
/home/weikang/projects/UdeM-Intern/Exps/dataset/processed/step2a_additive_rho050_unseen10000_seed20260523,10000,Step2a,step2a_additive_rho050,-,spoplus_val_decision_gap,step1c_spoplus,spoplus,50,340,9.321525352958801,4.751078961324593,validation_decision_gap,8.437652942449553,8.595667574214936,0.060682803396891305,0.050489054557536196,0.9393171966026385,0.009132855606079102,0.0,0.0159,-0.014591401710510253,0.03288945575714111,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step2/Step2a_additive_linear_gaussian/remote_results/step2a_additive_rho050/step1c_spoplus/formal_2stage500_spoplus500_s10/train_size=50/model_weights/spoplus_best_by_validation_decision_gap.npz
/home/weikang/projects/UdeM-Intern/Exps/dataset/processed/step2a_additive_rho050_unseen10000_seed20260523,10000,Step2a,step2a_additive_rho050,-,spoplus_val_spoplus_loss,step1c_spoplus,spoplus,50,450,9.32497450730477,4.7743853610649065,validation_spoplus_loss,30.56053201446412,8.596538806819916,0.06068054240693114,0.05042727866118279,0.9393194575925987,0.008261623001098633,0.0,0.0143,-0.015336506824493407,0.030467497825622556,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step2/Step2a_additive_linear_gaussian/remote_results/step2a_additive_rho050/step1c_spoplus/formal_2stage500_spoplus500_s10/train_size=50/model_weights/spoplus_best_by_validation_spoplus_loss.npz
/home/weikang/projects/UdeM-Intern/Exps/dataset/processed/step2a_additive_rho050_unseen10000_seed20260523,10000,Step2a,step2a_additive_rho050,-,2stage_val_mse,2stage,2stage,200,500,10.001732142731646,5.1271605481169535,validation_mse_loss,7.969545609198763,8.592946705532073,0.06065960864048219,0.05036257809921729,0.9393403913590479,,,,,,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step2/Step2a_additive_linear_gaussian/remote_results/step2a_additive_rho050/step1b_fy/formal_2stage500_fyM16_e500_s10/train_size=200/model_weights/2stage_best_by_validation_mse_loss.npz
/home/weikang/projects/UdeM-Intern/Exps/dataset/processed/step2a_additive_rho050_unseen10000_seed20260523,10000,Step2a,step2a_additive_rho050,-,fy_val_decision_gap,step1b_fy,e2e,200,30,3.6121524591181897,1.4333841448601017,validation_decision_gap,8.35546933746338,8.703344960308074,0.06131451906200132,0.051554110940556494,0.9386854809375244,-0.11039825477600097,0.0,0.0817,-0.17120433759689332,-0.04868199080467225,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step2/Step2a_additive_linear_gaussian/remote_results/step2a_additive_rho050/step1b_fy/formal_2stage500_fyM16_e500_s10/train_size=200/model_weights/e2e_best_by_validation_decision_gap.npz
/home/weikang/projects/UdeM-Intern/Exps/dataset/processed/step2a_additive_rho050_unseen10000_seed20260523,10000,Step2a,step2a_additive_rho050,-,fy_val_fy_loss,step1b_fy,e2e,200,80,3.3614531943710153,1.688046990670234,validation_fy_loss,5.334746116310358,8.589343337535858,0.06063342241671719,0.05042727866118279,0.9393665775828131,0.0036033679962158205,0.0,0.0084,-0.013598239231109619,0.02151191952705383,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step2/Step2a_additive_linear_gaussian/remote_results/step2a_additive_rho050/step1b_fy/formal_2stage500_fyM16_e500_s10/train_size=200/model_weights/e2e_best_by_validation_fy_loss.npz
/home/weikang/projects/UdeM-Intern/Exps/dataset/processed/step2a_additive_rho050_unseen10000_seed20260523,10000,Step2a,step2a_additive_rho050,-,spoplus_val_decision_gap,step1c_spoplus,spoplus,200,210,8.93158399617194,5.067846642221872,validation_decision_gap,8.505714794318424,8.61086593580246,0.060730721138516706,0.050491924411728645,0.9392692788610135,-0.017919230270385743,0.0,0.0403,-0.0554295481967926,0.021004091701507563,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step2/Step2a_additive_linear_gaussian/remote_results/step2a_additive_rho050/step1c_spoplus/formal_2stage500_spoplus500_s10/train_size=200/model_weights/spoplus_best_by_validation_decision_gap.npz
/home/weikang/projects/UdeM-Intern/Exps/dataset/processed/step2a_additive_rho050_unseen10000_seed20260523,10000,Step2a,step2a_additive_rho050,-,spoplus_val_spoplus_loss,step1c_spoplus,spoplus,200,490,9.413205028359808,5.06002508758251,validation_spoplus_loss,30.56799585895899,8.590561578655242,0.06059614854188227,0.050240638613726046,0.9394038514576485,0.002385126876831055,0.0,0.0223,-0.025655363302230835,0.03314595831871032,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step2/Step2a_additive_linear_gaussian/remote_results/step2a_additive_rho050/step1c_spoplus/formal_2stage500_spoplus500_s10/train_size=200/model_weights/spoplus_best_by_validation_spoplus_loss.npz
