feature_family,feature,n_graphs,spearman_median_delta_pp,auroc_helpful,auroc_harmful
raw_topology,num_vertices,400,-0.10336774049929502,0.4309880100381076,0.7268266085059978
raw_topology,num_arcs,400,0.02054303452725033,0.6222232549493447,0.6275899672846238
raw_topology,density,400,0.0447453117571545,0.6300306719955386,0.569611050527081
raw_topology,mean_in_degree,400,0.032226112927346735,0.6271028906032159,0.5986913849509269
raw_topology,mean_out_degree,400,0.032226112927346735,0.6271028906032159,0.5986913849509269
raw_topology,max_in_degree,400,-0.08952917137329776,0.47453294915884375,0.4391130498000727
raw_topology,max_out_degree,400,0.011717765918448989,0.6215261641416489,0.8146128680479825
raw_topology,in_degree_gini,400,-0.11088741120828045,0.3550515847197695,0.27444565612504546
raw_topology,out_degree_gini,400,-0.023911356946410636,0.49186727391021473,0.7509996364958197
raw_topology,reciprocal_arc_count,400,-0.0002807144208102122,0.5652476996003346,0.6537622682660851
raw_topology,reciprocity_rate,400,0.007742170438944599,0.5491216655823032,0.6517629952744457
raw_topology,num_weak_components,400,-0.10394450842177971,0.4195092480713821,0.6675754271174118
raw_topology,num_strong_components,400,-0.04199571489313246,0.41630263035598103,0.3675027262813522
raw_topology,largest_scc_fraction,400,0.026227732550859424,0.5777953341388605,0.6677571792075608
raw_topology,scc_entropy,400,-0.030859772234798622,0.42048517520215634,0.3420574336604871
raw_topology,num_sources,400,-0.09835546008152127,0.4149084487405893,0.5865139949109415
raw_topology,num_sinks,400,-0.033851381405730706,0.4526907705177061,0.5805161759360232
cycle_chain,num_2cycles,400,-0.0002807144208102122,0.5652476996003346,0.6537622682660851
cycle_chain,num_3cycles,400,-0.015031957611175487,0.6059113300492611,0.6755725190839694
cycle_chain,num_cycles_total,400,-0.00999694213437158,0.5964773677851102,0.6752090149036714
cycle_chain,num_chain_len1,400,0.012094639780303033,0.46179942373826566,0.43202471828426026
cycle_chain,num_chain_len2,400,-0.011019010290846247,0.5185426154847105,0.480370774263904
cycle_chain,num_chain_len3,400,-0.03206988274533888,0.5225392694488336,0.5196292257360959
cycle_chain,num_chain_len4,400,-0.02348481401545599,0.5479598475694767,0.5868774990912395
cycle_chain,num_chains_total,400,-0.02440826456127261,0.5411748303745701,0.5623409669211196
cycle_chain,cycle_to_chain_ratio,400,0.03788819614704506,0.5588809368900456,0.6786623046165031
exchange_geometry,num_exchange_candidates,400,-0.023968953686467686,0.541825448461753,0.5665212649945475
exchange_geometry,exchange_size_mean,400,-0.019395977690328976,0.5653871177618738,0.6219556524900036
exchange_geometry,exchange_size_std,400,0.04301203826994317,0.4577562970536295,0.4351145038167939
exchange_geometry,exchange_size_entropy,400,0.026532919705245146,0.4398178269355888,0.37840785169029445
exchange_geometry,vertex_exchange_participation_mean,400,-0.02039671318122169,0.5456826842643369,0.564521992002908
exchange_geometry,vertex_exchange_participation_gini,400,-0.05494090403870119,0.4550608792638721,0.43693202471828424
exchange_geometry,max_vertex_exchange_participation,400,-0.016759619163654565,0.5546054466028442,0.5816066884769174
exchange_geometry,fraction_vertices_in_any_exchange,400,0.038276125556903726,0.5557207918951576,0.5859687386404944
exchange_geometry,fraction_vertices_in_many_exchanges,400,0.02737350279693686,0.5456826842643369,0.5425299890948746
exchange_geometry,feasible_set_richness_score,400,-0.03249770738911589,0.5461474114694674,0.573973100690658
conflict_geometry,conflict_graph_num_nodes,400,-0.023968953686467686,0.541825448461753,0.5665212649945475
conflict_geometry,conflict_graph_num_edges,400,-0.025658491015027967,0.5441955572079189,0.569611050527081
conflict_geometry,conflict_graph_density,400,-0.03334040686764307,0.5594386095362023,0.6081424936386769
conflict_geometry,conflict_degree_mean,400,-0.025607399888217225,0.5476345385258853,0.5757906215921483
conflict_geometry,conflict_degree_gini,400,-0.012154011389088682,0.4541314248536109,0.45946928389676484
conflict_geometry,conflict_components,400,0.028332318070440975,0.5116181801282647,0.44147582697201015
conflict_geometry,largest_conflict_component_fraction,400,-0.022670650348777993,0.4912631285435449,0.5585241730279898
