graph_id,comparison,edge_rank,edge_id,src,dst,edge_role,edge_frequency,mean_signed_true_delta,mean_signed_pred_2stage_delta,mean_signed_pred_spoplus_delta,mean_spoplus_minus_2stage_pred,mean_abs_error_2stage,mean_abs_error_spoplus,edge_in_oracle_rate,interpretation
G-392,two_stage_rank1_vs_spoplus_rank1,1,287,51,11,added_by_spoplus_rank1,1.00,38.65,16.64,20.57,3.93,22.01,18.07,1.00,edge added by promoted SPO+ solution
G-392,two_stage_rank1_vs_spoplus_rank1,2,168,26,44,added_by_spoplus_rank1,1.00,34.10,15.03,19.69,4.66,19.07,14.41,1.00,edge added by promoted SPO+ solution
G-392,two_stage_rank1_vs_spoplus_rank1,3,278,50,10,added_by_spoplus_rank1,1.00,18.32,14.59,17.03,2.44,3.73,1.40,0.00,edge added by promoted SPO+ solution
G-392,two_stage_rank1_vs_spoplus_rank1,4,66,10,43,added_by_spoplus_rank1,1.00,17.06,16.57,20.04,3.47,0.49,2.98,0.00,edge added by promoted SPO+ solution
G-392,two_stage_rank1_vs_spoplus_rank1,5,255,45,24,removed_from_2stage_rank1,1.00,-12.60,-8.75,-14.24,5.49,3.85,1.64,0.00,edge removed from 2stage rank1 solution
G-1285,two_stage_rank1_vs_spoplus_rank1,1,70,19,10,added_by_spoplus_rank1,1.00,35.01,16.98,20.78,3.80,18.03,14.23,1.00,edge added by promoted SPO+ solution
G-1285,two_stage_rank1_vs_spoplus_rank1,2,197,46,43,added_by_spoplus_rank1,1.00,32.66,15.00,18.87,3.88,17.67,13.79,1.00,edge added by promoted SPO+ solution
G-1285,two_stage_rank1_vs_spoplus_rank1,3,5,3,7,removed_from_2stage_rank1,1.00,-18.21,-13.44,-15.82,2.39,4.77,2.39,0.00,edge removed from 2stage rank1 solution
G-1285,two_stage_rank1_vs_spoplus_rank1,4,35,13,19,added_by_spoplus_rank1,1.00,8.87,9.54,11.59,2.05,0.67,2.72,1.00,edge added by promoted SPO+ solution
G-1285,two_stage_rank1_vs_spoplus_rank1,5,183,42,43,removed_from_2stage_rank1,1.00,-8.16,-10.58,-11.67,1.10,2.42,3.52,0.00,edge removed from 2stage rank1 solution
G-1560,two_stage_rank1_vs_spoplus_rank1,1,15,3,5,added_by_spoplus_rank1,1.00,41.37,17.26,21.65,4.39,24.11,19.72,1.00,edge added by promoted SPO+ solution
G-1560,two_stage_rank1_vs_spoplus_rank1,2,228,42,47,added_by_spoplus_rank1,1.00,30.89,17.37,21.35,3.98,13.52,9.55,1.00,edge added by promoted SPO+ solution
G-1560,two_stage_rank1_vs_spoplus_rank1,3,30,5,30,added_by_spoplus_rank1,1.00,25.10,13.63,17.09,3.46,11.47,8.01,0.00,edge added by promoted SPO+ solution
G-1560,two_stage_rank1_vs_spoplus_rank1,4,176,31,42,added_by_spoplus_rank1,1.00,24.45,14.30,16.63,2.33,10.14,7.82,1.00,edge added by promoted SPO+ solution
G-1560,two_stage_rank1_vs_spoplus_rank1,5,257,50,30,removed_from_2stage_rank1,1.00,-21.87,-13.83,-17.42,3.59,8.04,4.45,1.00,edge removed from 2stage rank1 solution
G-1169,two_stage_rank1_vs_spoplus_rank1,1,61,9,18,added_by_spoplus_rank1,1.00,52.30,16.78,21.01,4.23,35.52,31.29,1.00,edge added by promoted SPO+ solution
G-1169,two_stage_rank1_vs_spoplus_rank1,2,34,6,4,removed_from_2stage_rank1,1.00,-18.64,-12.62,-17.03,4.41,6.02,1.63,0.00,edge removed from 2stage rank1 solution
G-1169,two_stage_rank1_vs_spoplus_rank1,3,159,23,0,removed_from_2stage_rank1,1.00,-17.48,-13.26,-14.73,1.47,4.21,2.75,0.00,edge removed from 2stage rank1 solution
G-1169,two_stage_rank1_vs_spoplus_rank1,4,24,4,2,removed_from_2stage_rank1,1.00,-17.43,-12.03,-15.43,3.40,5.39,2.00,0.00,edge removed from 2stage rank1 solution
G-1169,two_stage_rank1_vs_spoplus_rank1,5,8,0,45,removed_from_2stage_rank1,1.00,-16.00,-13.79,-15.72,1.93,2.21,0.84,0.00,edge removed from 2stage rank1 solution
G-1449,two_stage_rank1_vs_spoplus_rank1,1,176,44,27,added_by_spoplus_rank1,1.00,37.84,17.77,22.00,4.23,20.06,15.83,1.00,edge added by promoted SPO+ solution
G-1449,two_stage_rank1_vs_spoplus_rank1,2,132,30,13,removed_from_2stage_rank1,1.00,-23.85,-14.44,-17.53,3.10,9.41,6.31,0.00,edge removed from 2stage rank1 solution
G-1449,two_stage_rank1_vs_spoplus_rank1,3,58,11,43,added_by_spoplus_rank1,1.00,11.67,9.77,13.44,3.67,1.90,1.77,0.00,edge added by promoted SPO+ solution
G-1449,two_stage_rank1_vs_spoplus_rank1,4,177,44,30,removed_from_2stage_rank1,1.00,-5.57,-12.95,-14.15,1.20,7.38,8.58,0.00,edge removed from 2stage rank1 solution
G-1449,two_stage_rank1_vs_spoplus_rank1,5,155,39,11,added_by_spoplus_rank1,1.00,5.21,11.95,13.54,1.59,6.74,8.33,0.00,edge added by promoted SPO+ solution
G-14,two_stage_rank1_vs_spoplus_rank1,1,73,11,7,removed_from_2stage_rank1,0.66,-39.18,-15.97,-19.78,3.81,23.21,19.40,1.00,edge removed from 2stage rank1 solution
G-14,two_stage_rank1_vs_spoplus_rank1,2,147,27,11,removed_from_2stage_rank1,0.66,-20.29,-13.69,-15.62,1.93,6.60,4.67,1.00,edge removed from 2stage rank1 solution
G-14,two_stage_rank1_vs_spoplus_rank1,3,71,10,36,removed_from_2stage_rank1,0.66,-18.69,-14.64,-17.46,2.82,4.05,1.36,1.00,edge removed from 2stage rank1 solution
G-14,two_stage_rank1_vs_spoplus_rank1,4,177,36,11,added_by_spoplus_rank1,0.66,13.70,13.69,15.62,1.93,0.10,1.94,0.00,edge added by promoted SPO+ solution
G-14,two_stage_rank1_vs_spoplus_rank1,5,145,26,36,added_by_spoplus_rank1,0.66,12.67,12.03,13.18,1.15,0.64,0.85,0.00,edge added by promoted SPO+ solution
G-163,two_stage_rank1_vs_spoplus_rank1,1,346,52,42,removed_from_2stage_rank1,1.00,-42.46,-15.87,-19.45,3.58,26.59,23.01,1.00,edge removed from 2stage rank1 solution
G-163,two_stage_rank1_vs_spoplus_rank1,2,216,32,33,removed_from_2stage_rank1,1.00,-34.34,-15.23,-18.19,2.96,19.11,16.14,1.00,edge removed from 2stage rank1 solution
G-163,two_stage_rank1_vs_spoplus_rank1,3,15,1,29,removed_from_2stage_rank1,1.00,-22.44,-15.48,-18.32,2.84,6.96,4.12,0.00,edge removed from 2stage rank1 solution
G-163,two_stage_rank1_vs_spoplus_rank1,4,70,9,48,added_by_spoplus_rank1,1.00,20.14,11.96,17.04,5.08,8.18,3.10,0.00,edge added by promoted SPO+ solution
G-163,two_stage_rank1_vs_spoplus_rank1,5,27,1,42,added_by_spoplus_rank1,1.00,18.58,14.66,17.49,2.82,3.92,1.20,0.00,edge added by promoted SPO+ solution
