regime,max_cycle,max_chain,method_label,solution_rank,row_count,mean_gap_to_oracle,median_gap_to_oracle,mean_normalized_gap_to_oracle,median_normalized_gap_to_oracle,exact_oracle_rate,near_1pct_rate,near_5pct_rate,mean_predicted_margin_from_best,median_predicted_margin_from_best,mean_edge_jaccard_with_oracle,median_edge_jaccard_with_oracle
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,1,800,41.93719517647289,39.284998655319214,0.2026742384350781,0.16837311854090706,0.04125,0.04125,0.10375,0.0,0.0,0.4330019538084414,0.39230769230769236
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,2,800,33.81552357156761,25.782700061798096,0.16201000268280993,0.12512530552933618,0.1,0.15125,0.15125,0.9129719517128003,0.6672773831045475,0.46547444247580166,0.46153846153846156
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,3,800,35.49397472553886,27.504600763320923,0.17427155580134024,0.1447009401684745,0.17125,0.1825,0.18375,1.5965875067137965,1.3468583319866951,0.5120367158664475,0.4
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,4,800,31.71455959847197,17.68935003876686,0.15628565888933818,0.07837469955851643,0.0,0.06375,0.32875,2.182931821226541,2.148495289602778,0.5044651238650125,0.4666666666666667
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,5,800,32.23600780750625,26.333599030971527,0.15639079296310618,0.12611840378194347,0.0,0.0,0.195,2.6934131742918463,2.6678971036784276,0.4969095928127075,0.4444444444444444
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,6,800,34.05812036001124,28.800200909376144,0.16306578209121864,0.13668972314927041,0.0,0.0625,0.12375,2.994742446165278,3.133360164517221,0.4716201132339,0.4444444444444444
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,7,800,37.307572682043535,33.65299892425537,0.18010295329810141,0.14655731859644788,0.0,0.00625,0.25625,3.418195076994327,3.5242865899503926,0.4685786496492808,0.44
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,8,800,36.47539043667726,28.398598611354828,0.1777521810362273,0.17219516502528706,0.0,0.1175,0.1875,3.650452890102242,3.8334136759614665,0.4720743174223052,0.44
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,9,800,37.14902059954591,33.957700937986374,0.17163317298763084,0.1498974407046914,0.00125,0.07875,0.15,3.842049774685386,3.9659328415237454,0.47427632367804257,0.4444444444444444
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,10,800,37.80036631783471,28.960102260112762,0.18089559183896406,0.13760430306266633,0.01625,0.0475,0.095,4.076077063134171,4.115372218907908,0.47292812340620216,0.4074074074074074
