job_id,topology_id,regime,protocol,data_seed,sample_size,training_size,validation_size,trainer_train_size_arg,max_epochs,early_stop_patience,early_stop_min_delta,status,two_stage_status,spoplus_status,evaluation_status,runtime_seconds,runtime_source,test_gap_2stage,test_gap_spoplus,test_gap_improvement,test_normalized_gap_2stage,test_normalized_gap_spoplus,fraction_improved_over_2stage,two_stage_selected_epoch,spoplus_selected_epoch,two_stage_best_epoch,two_stage_stop_epoch,two_stage_stopped_early,two_stage_hit_max_epoch,two_stage_best_value,spoplus_best_epoch,spoplus_stop_epoch,spoplus_stopped_early,spoplus_hit_max_epoch,spoplus_best_value,test_hash,train_prefix_hash,validation_hash,job_dir
G-103|step2c_poly_d8_mult_eps050|seed=000101|sample_size=050|train=040,G-103,step2c_poly_d8_mult_eps050,screen,101,50,40,10,40,3000,20,0.0001,success,success,success,success,50.051,formal_launcher_log,13.461287944793701,2.3056003017425537,11.155687643051147,0.32389109701570185,0.059496435963445546,0.911,420,262,420,440,True,False,11.66312889054059,261,281,True,False,10.81229614607572,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,2e8151a7576c3bd5ea968b75fcf2dde8be2c89971aea96301fd0cedc56abc675,8acbb3a8c1f88e4f50d3d873c5198b7761f938288eb40274f49e8fab75786b26,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000101/sample_size=050
G-103|step2c_poly_d8_mult_eps050|seed=000101|sample_size=100|train=080,G-103,step2c_poly_d8_mult_eps050,screen,101,100,80,20,80,3000,20,0.0001,success,success,success,success,247.339,formal_launcher_log,13.035730752944946,2.3083686027526857,10.727362150192262,0.3129449000757165,0.05956200477764496,0.901,561,1193,561,581,True,False,14.237035442749946,1190,1210,True,False,10.288310211238546,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,7d47be11de94a932c5a91f647bff4215df36b68b6eb5d8fe0821ce8d35fb0df0,0c90918cf6a86c3b791b980cdac0b858927f09cdf4534fb7727ca11cd657c72f,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000101/sample_size=100
G-103|step2c_poly_d8_mult_eps050|seed=000101|sample_size=500|train=400,G-103,step2c_poly_d8_mult_eps050,screen,101,500,400,100,400,3000,20,0.0001,success,success,success,success,730.014,formal_launcher_log,12.609115140914916,2.307749698638916,10.301365442276001,0.3021498651864764,0.059549461907518746,0.887,656,694,656,676,True,False,14.374060621065762,693,713,True,False,10.857330597809671,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,1f709ca11fce04daad18d69b3a9490c3689597df50fa1a26f1a99b5d7f0cc9f6,102b85f9f8ae7602823430af642572ad619405a31391755477b1d1461974244e,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000101/sample_size=500
G-103|step2c_poly_d8_mult_eps050|seed=000102|sample_size=050|train=040,G-103,step2c_poly_d8_mult_eps050,screen,102,50,40,10,40,3000,20,0.0001,success,success,success,success,74.095,formal_launcher_log,12.547240440368652,2.307749698638916,10.239490741729737,0.3005987616406948,0.059549461907518746,0.885,573,516,573,593,True,False,17.154776511835443,516,536,True,False,15.516209981834596,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,c0a240bd2202c597a18d3fe730ecc6c4facc01d1ce0c27698ffc5489735138a0,4d82ea9f0c41fbfd6343c39529d2d9b74d47f81b44b84625e4b5a317a29fc696,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000102/sample_size=050
G-103|step2c_poly_d8_mult_eps050|seed=000102|sample_size=100|train=080,G-103,step2c_poly_d8_mult_eps050,screen,102,100,80,20,80,3000,20,0.0001,success,success,success,success,142.206,formal_launcher_log,12.591531839370727,2.3083686027526857,10.283163236618043,0.3017488860664155,0.05956200477764496,0.886,582,628,582,602,True,False,15.515252386735686,627,647,True,False,12.32123907911593,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,57d8468f7db320761d75d6cdf382de4857a69116a441ab0f5c97be30369faef0,ef3d6f0aac3e0d0662f08580762fcc832d589d76ef3b47eb38a16b8e52ab4f08,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000102/sample_size=100
G-103|step2c_poly_d8_mult_eps050|seed=000102|sample_size=500|train=400,G-103,step2c_poly_d8_mult_eps050,screen,102,500,400,100,400,3000,20,0.0001,success,success,success,success,1258.719,formal_launcher_log,12.627631143569946,2.3083686027526857,10.319262540817261,0.30263812768090215,0.05956200477764496,0.889,600,1174,600,620,True,False,14.9973201527235,1169,1189,True,False,11.728189300132835,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,2f12ff06e0b14b0736addb96ada08ac8161113b0d96ddf91b151cfb8fcd36943,80f84f30c1dec2601d58580b44c42827e601c6bdc6839b2a4c3fbf819eac8925,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000102/sample_size=500
G-103|step2c_poly_d8_mult_eps050|seed=000103|sample_size=050|train=040,G-103,step2c_poly_d8_mult_eps050,screen,103,50,40,10,40,3000,20,0.0001,success,success,success,success,42.043,formal_launcher_log,12.64423514175415,2.3264015998840333,10.317833541870117,0.3030533824127258,0.059990651475166856,0.887,961,167,961,981,True,False,13.793206285156291,166,186,True,False,15.2606838620441,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,a2b206bb3f7b103ca44f750659d722ac892a311ee0e04406785a8e460031ccf1,45e10f8e98c908a62991b142dceb09171c5490707c3ef2af73a9616e184ba557,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000103/sample_size=050
G-103|step2c_poly_d8_mult_eps050|seed=000103|sample_size=100|train=080,G-103,step2c_poly_d8_mult_eps050,screen,103,100,80,20,80,3000,20,0.0001,success,success,success,success,72.113,formal_launcher_log,12.579955938339234,2.3056003017425537,10.27435563659668,0.3014272280219824,0.059496435963445546,0.884,964,240,964,984,True,False,14.911090717405855,240,260,True,False,14.79185250991821,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,762b4b9a3092331650d6f0cd3d4d498e34dfc9a19194dda148ac536300b315dd,6967d4b3aa6dffedc777322f81635e1b6b5871b49a0b4eade7533db1960177de,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000103/sample_size=100
G-103|step2c_poly_d8_mult_eps050|seed=000103|sample_size=500|train=400,G-103,step2c_poly_d8_mult_eps050,screen,103,500,400,100,400,3000,20,0.0001,success,success,success,success,674.94,formal_launcher_log,12.579660940170289,2.3083686027526857,10.271292337417602,0.30142210247319395,0.05956200477764496,0.885,903,632,903,923,True,False,15.041656652322636,631,651,True,False,12.174664098506486,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,40556eae8bc726365b328e4cddcf316be61e69cbb03aaecf8e2bd7a28991c013,9bfb740730df12e677e7bb50da6e7b5ee4691f6dfc0d436a10dabb86bbc2407b,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000103/sample_size=500
G-103|step2c_poly_d8_mult_eps050|seed=000104|sample_size=050|train=040,G-103,step2c_poly_d8_mult_eps050,screen,104,50,40,10,40,3000,20,0.0001,success,success,success,success,121.16,formal_launcher_log,12.467887144088746,2.310390302658081,10.157496841430664,0.298722515202063,0.05963107112089419,0.883,591,1033,591,611,True,False,15.986262729887363,1032,1052,True,False,12.257751445505633,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,dcb4d772bdb9bd25d02413b8989ddf007d86e472eab41d83fd07b452092c2525,dd2baae71c8abb3619b26ffaafbdea9f5480f9f4197e1e0b97c9a0b85488e74c,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000104/sample_size=050
