job_id,topology_id,data_seed,sample_size,training_size,validation_size,method,selected_epoch,selection_metric,selection_value,test_mean_decision_gap,test_mean_normalized_gap,best_epoch,stop_epoch,stopped_early,hit_max_epoch,best_value,max_epochs
G-103|step2c_poly_d8_mult_eps050|seed=000101|sample_size=050|train=040,G-103,101,50,40,10,2stage,420,validation_mse_loss,11.66312889054059,13.461287944793701,0.32389109701570185,420,440,True,False,11.66312889054059,3000
G-103|step2c_poly_d8_mult_eps050|seed=000101|sample_size=050|train=040,G-103,101,50,40,10,spoplus,262,validation_spoplus_loss,10.812252826842133,2.3056003017425537,0.059496435963445546,261,281,True,False,10.81229614607572,3000
G-103|step2c_poly_d8_mult_eps050|seed=000101|sample_size=100|train=080,G-103,101,100,80,20,2stage,561,validation_mse_loss,14.237035442749946,13.035730752944946,0.3129449000757165,561,581,True,False,14.237035442749946,3000
G-103|step2c_poly_d8_mult_eps050|seed=000101|sample_size=100|train=080,G-103,101,100,80,20,spoplus,1193,validation_spoplus_loss,10.288346049709043,2.3083686027526857,0.05956200477764496,1190,1210,True,False,10.288310211238546,3000
G-103|step2c_poly_d8_mult_eps050|seed=000101|sample_size=500|train=400,G-103,101,500,400,100,2stage,656,validation_mse_loss,14.374060621065762,12.609115140914916,0.3021498651864764,656,676,True,False,14.374060621065762,3000
G-103|step2c_poly_d8_mult_eps050|seed=000101|sample_size=500|train=400,G-103,101,500,400,100,spoplus,694,validation_spoplus_loss,10.857304094384542,2.307749698638916,0.059549461907518746,693,713,True,False,10.857330597809671,3000
G-103|step2c_poly_d8_mult_eps050|seed=000102|sample_size=050|train=040,G-103,102,50,40,10,2stage,573,validation_mse_loss,17.154776511835443,12.547240440368652,0.3005987616406948,573,593,True,False,17.154776511835443,3000
G-103|step2c_poly_d8_mult_eps050|seed=000102|sample_size=050|train=040,G-103,102,50,40,10,spoplus,516,validation_spoplus_loss,15.516209981834598,2.307749698638916,0.059549461907518746,516,536,True,False,15.516209981834596,3000
G-103|step2c_poly_d8_mult_eps050|seed=000102|sample_size=100|train=080,G-103,102,100,80,20,2stage,582,validation_mse_loss,15.515252386735686,12.591531839370727,0.3017488860664155,582,602,True,False,15.515252386735686,3000
G-103|step2c_poly_d8_mult_eps050|seed=000102|sample_size=100|train=080,G-103,102,100,80,20,spoplus,628,validation_spoplus_loss,12.321218405784828,2.3083686027526857,0.05956200477764496,627,647,True,False,12.32123907911593,3000
G-103|step2c_poly_d8_mult_eps050|seed=000102|sample_size=500|train=400,G-103,102,500,400,100,2stage,600,validation_mse_loss,14.9973201527235,12.627631143569946,0.30263812768090215,600,620,True,False,14.9973201527235,3000
G-103|step2c_poly_d8_mult_eps050|seed=000102|sample_size=500|train=400,G-103,102,500,400,100,spoplus,1174,validation_spoplus_loss,11.728135715064852,2.3083686027526857,0.05956200477764496,1169,1189,True,False,11.728189300132835,3000
G-103|step2c_poly_d8_mult_eps050|seed=000103|sample_size=050|train=040,G-103,103,50,40,10,2stage,961,validation_mse_loss,13.793206285156291,12.64423514175415,0.3030533824127258,961,981,True,False,13.793206285156291,3000
G-103|step2c_poly_d8_mult_eps050|seed=000103|sample_size=050|train=040,G-103,103,50,40,10,spoplus,167,validation_spoplus_loss,15.260635399478392,2.3264015998840333,0.059990651475166856,166,186,True,False,15.2606838620441,3000
G-103|step2c_poly_d8_mult_eps050|seed=000103|sample_size=100|train=080,G-103,103,100,80,20,2stage,964,validation_mse_loss,14.911090717405855,12.579955938339234,0.3014272280219824,964,984,True,False,14.911090717405855,3000
G-103|step2c_poly_d8_mult_eps050|seed=000103|sample_size=100|train=080,G-103,103,100,80,20,spoplus,240,validation_spoplus_loss,14.79185250991821,2.3056003017425537,0.059496435963445546,240,260,True,False,14.79185250991821,3000
G-103|step2c_poly_d8_mult_eps050|seed=000103|sample_size=500|train=400,G-103,103,500,400,100,2stage,903,validation_mse_loss,15.041656652322636,12.579660940170289,0.30142210247319395,903,923,True,False,15.041656652322636,3000
G-103|step2c_poly_d8_mult_eps050|seed=000103|sample_size=500|train=400,G-103,103,500,400,100,spoplus,632,validation_spoplus_loss,12.174642326576928,2.3083686027526857,0.05956200477764496,631,651,True,False,12.174664098506486,3000
