topology_id,sample_size,job_count,mean_runtime_seconds,median_runtime_seconds,std_runtime_seconds,mean_test_gap_2stage,mean_test_gap_spoplus,mean_test_gap_improvement,mean_test_normalized_gap_2stage,mean_test_normalized_gap_spoplus,mean_fraction_improved_over_2stage,two_stage_stopped_early_count,two_stage_hit_max_epoch_count,mean_two_stage_stop_epoch,median_two_stage_stop_epoch,spoplus_stopped_early_count,spoplus_hit_max_epoch_count,mean_spoplus_stop_epoch,median_spoplus_stop_epoch
G-103,50,5,75.4966,74.095,28.523625201576323,12.760916762542724,2.3118401412963867,10.449076621246338,0.306073228696288,0.0596493569802043,0.8914,5,0,719.8,611.0,5,0,548.8,536.0
G-103,100,5,128.5806,112.133,65.24543949917113,12.670736303329468,2.312327241897583,10.358409061431885,0.303812914496968,0.05965772053834746,0.8878,5,0,717.4,641.0,5,0,570.4,483.0
G-103,500,5,841.1564000000001,730.014,256.28671641472175,12.593407543182373,2.308244821929932,10.28516272125244,0.30179342757034716,0.059559496203619715,0.8872,5,0,727.8,676.0,5,0,810.0,713.0
G-124,50,5,69.4948,70.093,10.005378261715045,12.116944716644287,12.549323990631104,-0.4323792739868164,0.12273191618061345,0.12710341530005861,0.0,5,0,678.2,707.0,5,0,123.4,127.0
G-124,100,5,108.9436,110.151,18.107449026298546,12.110001592254639,12.55463803024292,-0.44463643798828123,0.12266332119878604,0.12715173417282008,0.0,5,0,771.4,741.0,5,0,128.4,129.0
G-124,500,5,556.7586,603.822,60.70078295903603,12.112239330291748,12.552476174163818,-0.4402368438720703,0.12268647482774395,0.1271397297640367,0.0,5,0,863.8,827.0,5,0,170.2,182.0
G-206,50,5,61.6844,64.085,12.751176959010486,4.2237220466613765,5.637891706848144,-1.4141696601867675,0.11905026344586253,0.1564760055472802,0.3582,5,0,518.0,380.0,5,0,174.6,189.0
G-206,100,5,111.5498,85.112,48.55819400842663,4.230805850219727,5.6492241069793705,-1.4184182567596435,0.11924142595931975,0.1567980298957268,0.35559999999999997,5,0,551.4,500.0,5,0,224.2,147.0
G-206,500,5,388.1318,413.564,97.55031277735607,4.218909796905518,5.667684766769409,-1.4487749698638916,0.11895406042350631,0.157320655318263,0.3412,5,0,692.6,586.0,5,0,195.4,206.0
G-237,50,5,1114.9596,1139.587,46.49536399083247,0.7282362747192382,0.3947455047607422,0.3334907699584961,0.0103711884600452,0.005729565759676605,0.0352,5,0,869.0,977.0,2,3,2794.0,2794.0
