topology_id,topology_hash,arc_order_hash,feasible_set_hash
G-0,61f98c5fffd550590d41b31c796307da0968304daad808a09d2d98941ccc3759,de8d908ac5f66e7b115a067bee9e5ea256a0c5b69b9ef2b2600fe7c874772ce3,63e403797712b4974db4d31cbdc5cc23ffa06041ca65fde5a2d6c36c46ab3012
G-1,ff00d39fd4a2e10e0a5a6345aa3dd8038914b12ee60fd7e95544c381f2d1bb00,2f3904184988c7ef33a399e7db94e2f05757b0fb6574c5017af21cb5a805c3b9,88261199e97dc86cf39b593044f54c9f1851ba23986bf97d1b64f971eafea5d1
G-2,f4369706ca26ed83d1022e1edd1775f76c519f582797be869fc6db3716ab0863,66200828197f79e35f0e928989bd37f22f17b7cd78269f3ba9ce74ada291e478,0dd11fd19379d84351b43b78bf00bf7d2d37c9087bb0012ff6b6f1a659484e1d
G-3,d19f077cc88b9176dc225eb0d8fa32f78c1d8bc6128132d61b2a624c8fec8455,6d3afc98c7d3ccb0b5f0fbec0791b8930b04da84ed584f4afc64defa4ca2cd27,528107e8b93a9344ebd091f06b723854152c0fe916bcd00950be33322bee9f16
G-4,1a32e5668c1faf8a0f63928f5ac54876d3b03b2a382dcb5441b5d299abbbaabc,9112e2fc6c75ebf7f2d0acae4c54e11d463d719b904c280d8f150fbb5a4c9011,82a0d8c6816e2c07369cb64e4b52b419aa18ab37afa886253adcaad95323a672
G-5,c03db8c821d2ab6c07389efd2d68238c2d42888caa551dd36345d31bd22c25aa,ae2ab95dbab5be7d380c5b65d36dff1822f6cb35636fe291de55e6d6b0cb1bfe,2d59dd342de5dc2caca2b084c129728ad34c9042daf8312bf9eff98b9edefec2
G-6,5d6a79491bebd8f7c791fd166bf9cd1e18c966e6bf42fc3d242b60dd89ed0d2e,8d4165e97afb06c0655e9fa633e36cb3d2161bef5b805acdc681dbf615419d86,cb79e103b03996baa8b0c397e245b39ede08c651b465b248c5fa9eb5889bf69f
G-7,a5ab2604679b1835bd48b4ae1e3b9dcc729653971210cb58d7b9a301978b58cd,09be2869589aa158527955a811bcfca58461864608fc4500941672c1e59005d1,32a7f11afecc59ef18126a19388688e3272b24d7c52bcd5bfbf08c270a25cc25
G-8,0830b177ec70181e8ab52efc0d87feaa9135116a1015d6dc9970518c021cdc3a,0675925166baeb936fb8e62ac64206a3167586be487764e0471718332d2c555e,1026176bed431089cfb90a8635c79d2f773057f463ede551a1326e22a8d38cf4
G-9,8d34468ff2ad5209024874ba6edb28a9e4ae1161a0531c6c90664dbf0f7a02e6,d1e01d6f29801560b810f27ce0d0e00bf8e9d95bff49d95daf6a1809a0afe51c,885620b3b6ba7cf94a9c06e9b5c34fec6b8ff5d02ef4c4d8b55fcbbe5f4d837f
G-10,a491ceaf9553be9b9e1451d746d6e7b7b8fe7302fadc34aceec901d8d8fa801c,e236ce6ae4aa577c2f7dcad93940b35321a08b47edb6e2f9ceeb812477dbc1ba,03a741af30f92c1ae2c33c484c9362ed063480a8602e969b5bb7955cb2786561
G-11,f27e0f4ea2721862f284491f0cdca1bac258bf3523198f332d694f383de8757e,87c2adb55bb04c627a53af4709d2fed0575af39ba5d5f52d9d50fc8a39b660fd,5a47fbcf54eb11f9f5803a9c2a5eb01fbbf2adc06ea10e0f16676e605061b409
G-12,d4b0e93845b128f4c91822071cd0a7073720c45b8a8e5e41c0814880a837d0b8,91bc3d2da523aab37a012955f06bc95fecf99c8d4e27f45aaa7b918fef9dba25,943f3b973f31e5d99ae992fc3fe009f5ae0d6680b39a63149910cb028e83f285
G-13,ca395702790855876602bb9bee9f9fe74b7399da28c111447fe1baea3924c57a,e47492c5e852ac661b2b8d9bdcb2aca582d3a1fcd4671f08e60cefa1075b9326,9dd65ef3c044ca9a59d60dd132a08e9d3ab28b644e44fac2d78db88b70f16425
G-14,d4abd3942d2986a991625cba6b998bed928b0c828c06151aa354660762b8d4d2,42779d48b8524a8b440f7eb551a11cf20c03e0f80a9cd91487ae6a7fe34fad08,2c9dbb70939cd542d2f596b6fb4dd96d430b21285a51685823c4b54b4d71ed99
G-15,ad105fc7ac72bb183fc9e3e1fb45440e37b46b2f9f69d96ef73ec5a1c59eb861,476e5effba89c423f7d7c3992c89126892eaccaa9a9aed46a4d117daf3943389,363f2c244ef6c08d10588d9628e6970110f93720c202e9a98c787a904771708e
G-16,acf17d6f9e708b1809312dc2267179423fa598b7d5fcfc8cf1c116cae3de75ee,86f9688214da4ee43690a982b078b6f073bbc96f306be05e092c0d7bfb7fec93,9a822ee70c411e7e4fde351d32ef55e12b98e12ee968554f4775c906c00365a3
G-17,baa1929dfcb682ef00e3015ffa1e8aad59ca5623ee9fac30c4edb07150ef0ba1,6a4a8f7d1a991d37e7ddb93b9ee8643ef9988197238ac91782ab09caf02ff050,7d6c93d857aae6b255403b00f4d41e686cfdb325e779d5a222faae25c1f82a70
G-18,de80aa228a5dcdab7ffd6b97c363ad65af0389cdcd0927cfcdb603eb505dc779,05e27d8759029cdb968ab67b06f1b9ab1ac9ba73cb39f6926c9af297cd80e21d,31797464890faca4ddf220658192b6d158f0bd12a58f4eddfab8265449881d00
G-19,4391883f16d16fc9c07b2ecfe954773dfcd9088c4bc18a101f912740143887d4,00ebb12091f651c4691a2af13473d84a1f793dccd8f8907e6815dc87c5e7ce8a,74cc9e09deb34bd8ec00035705f2d49f36f76730dae7294782c259ba9f4d1fd6
G-20,5f151f48d8190cd278a080cb120089906ea28b485c89096773212dbf6c8cbfe3,7a4b39bca0c4817196dac7851b7798bdef63fac5a54cb8a0e515b9ca9ab4afc3,5344d3dbb3d539b9334e18735c3217811dcadb0e3b4d612cefa6caa720394ece
G-21,993f5f01b50b7885265e9bd5614046d433e3b1d184d2efc1a9ecaa1e9dd3b45d,7388e6b20a8c9ae272f58b10b92fb8f3d10836baada1eb9b85b8e7acee4b76d0,54331b8c1a542dae83ca79f27987cc517b40f233520c9e78e3d328f972aa0646
G-22,04c0ee8009b83439aec6de85028cab1bd809999786a05d65e9f988ab17826e9c,daca93a6b7ffc9b2f1773fb210a3212a2393cc12a11b80fa40e06dfc4b42551f,eff42ef0ab3f3cd9e0269a20284b0597e0b0a3f28f83137fd3009eca425d144e
G-23,7dbe2cebb6e87e999c1ff09393282371769cafb537f22ed44ab95b63b3718768,d91662277a73d4032169fa9a16dd1ed7a59fbb34351b21b0eb1fe7e1d9c3254d,52790f4730bff70542eaa5d808849b9552071f2126fd52a3a93bbc1a40544d9d
G-24,7f30622d68afe4422dd6a1e96a8dd58ed98df66d85c2bc40a5c8a9cfc8817e61,7d2370fab1ee4c96dfdba6625e0a58cca5a341c13c18cb373f55702e40a6e2c8,f7ec153329630592ac6bfad5a90883bcc68894b08047f87343ae99c801a60a8f
G-25,4b5df6fe9c956a3b092a328f7249eeb545f3f840a7c463656a3c7955a29f98fe,f25f75c2e3ce9c8f3734b21038485b074295a8843be9fac2ad183dff0cb4c3dc,26c343e838e9c907797866cf7a692fa21e9abcbaf71a4454cc631db764f84524
G-26,d60344740fe7b0f7545bd6468b656f8363dc9d6683ea11d27cf488e25f9697aa,3a5a3f14997084e18f22463ab548e2865ad07859d7766e687f995ee56694b0e6,37621f86ea32d921e1a0d02bd88903b9540f3b258d7abee31e5a11f40e554a1b
