topology_id,source_path,num_vertices,num_pairs,num_ndds,num_arcs,max_cycle,max_chain,num_2cycles,num_3cycles,num_cycles_total,num_chains_total,num_feasible_candidates,topology_hash,arc_order_hash,feasible_set_hash,template_path
G-0,dataset/processed/step3_pairs20_step2c_poly_d8_mult_eps050_seed20260619/G-0.json,25,20,5,33,3,4,0,0,0,13,13,b97f468eb2194252b2bf684cabe526ba394c927405431f5269748b3c4585bf09,010a954a0b36c888e77cb4a0c12b4fbe339844ec5c6a21738ca9139e886f0b01,b96600a51d735b04612afbc6d109e804134dc92349607eb289b448e7f4a6e85f,surrogate_experiment_results/Step3/pairs20/data/topologies/G-0/template.json
G-1,dataset/processed/step3_pairs20_step2c_poly_d8_mult_eps050_seed20260619/G-1.json,25,20,5,48,3,4,1,1,2,98,100,25645120708240557c152a1b354218ad5906b4cfd48f51e09132e732c1477d6f,c27c1f82ec148222a5cde79a278e5d6fd5f73fe8734d3c48cede79bfb4508cea,717c6c08ea62548c31826563a1ace0e061046d1ec4e5c39c0593f16d3a8103b4,surrogate_experiment_results/Step3/pairs20/data/topologies/G-1/template.json
G-2,dataset/processed/step3_pairs20_step2c_poly_d8_mult_eps050_seed20260619/G-2.json,25,20,5,23,3,4,1,0,1,19,20,7d38f1b20b067ef2a0f628205718916ad33dc5bb93d28fad6dc8e46c263369fa,ece3749a4f5e4b6c2c7e6eedb2dbbbefca21110b5da1feb12788a174cb82bc1a,2cb1e764b54b1a547986416b930838d35f094959b6a64e07b63f184fb5a62c12,surrogate_experiment_results/Step3/pairs20/data/topologies/G-2/template.json
G-3,dataset/processed/step3_pairs20_step2c_poly_d8_mult_eps050_seed20260619/G-3.json,25,20,5,35,3,4,0,0,0,21,21,4ff7c628da163c6eb6fa299aa281aaca2410ea5ac7e13985bb295c3a7c3d20fd,ca54f4b341c3bbba14290e4c22ba491716e6e442df920715ee8cd078987e3b10,e1b4ee0f04a93c888ed46958991bc6e4863f14d7fced3d39e993ade8da36b895,surrogate_experiment_results/Step3/pairs20/data/topologies/G-3/template.json
G-4,dataset/processed/step3_pairs20_step2c_poly_d8_mult_eps050_seed20260619/G-4.json,25,20,5,35,3,4,0,0,0,16,16,febd672f07dc03617648f67665211202d3e7d4c672a94640655afb127649ad43,50c85681330ed780a8fa1015a468104bed8cde31ad38972dca3e8d896a16f719,b5d7beb21b959af0e9fc79639a22b9b2167908ef634f4ca6f91e01f903bdff6f,surrogate_experiment_results/Step3/pairs20/data/topologies/G-4/template.json
G-5,dataset/processed/step3_pairs20_step2c_poly_d8_mult_eps050_seed20260619/G-5.json,25,20,5,47,3,4,0,0,0,33,33,3a9c3915835adbee87d0a809f6548f38fc8a09e11b313c99048d9afe57ed7ab0,d7e99ccee470f09c434d513a45c49f434490686a0d24fb7f92fa02430fab92fc,088766181495090d32af4b115d92dd47ffbdf9e9469c04c7076754fe4f1c3bf8,surrogate_experiment_results/Step3/pairs20/data/topologies/G-5/template.json
G-6,dataset/processed/step3_pairs20_step2c_poly_d8_mult_eps050_seed20260619/G-6.json,25,20,5,45,3,4,0,0,0,46,46,adb46ca199bec38e25ec2d7900966e7677e944ee2f3fb559eb7b9dc1ffce76d5,7b7a22072d2a63ec1e3f7504332e02c5dc78eb7ff17e666d4ce66b314048cb1c,4700755395a5e62a204337a5e41cbca482febf3caeb85ec17f473b765ec39566,surrogate_experiment_results/Step3/pairs20/data/topologies/G-6/template.json
G-7,dataset/processed/step3_pairs20_step2c_poly_d8_mult_eps050_seed20260619/G-7.json,25,20,5,45,3,4,1,0,1,53,54,8c51dd57fb419f03254d283ee5747f99f8a15658db0e95d7c178bba8baf4b436,856605c69f15431852d36cfc2b8b2bb93c740ada0eacb776f76d26c9cd85c373,3538d1763ec79138ffe7b7f4416b9bf4e0a39ab97ddad62d27f12650a6185f11,surrogate_experiment_results/Step3/pairs20/data/topologies/G-7/template.json
G-8,dataset/processed/step3_pairs20_step2c_poly_d8_mult_eps050_seed20260619/G-8.json,25,20,5,73,3,4,1,0,1,80,81,96a13c343555ac400e0b20329a6cf422bce1bbcc18d5b61e0fea8a8225cc288f,0a330908a050a06bf9ca3c7d5e1f3e18e222fd0ff01b0051b6b9e569f1b5e6fd,7772cdef590481346a24d3bf98f35026826ba952fd3bdd041fea2d3b295e3256,surrogate_experiment_results/Step3/pairs20/data/topologies/G-8/template.json
G-9,dataset/processed/step3_pairs20_step2c_poly_d8_mult_eps050_seed20260619/G-9.json,25,20,5,44,3,4,3,1,4,112,116,8aeada6b3f7a2aec546a780d04804d59d73594f163662b5819bd21e0d49c0f3e,5950c15e70c64286452410915572d2412660a6aa5c94532d57b4fecd6b3267ac,ad19a11362a9bcc0bfd53bf0c949db5b21ff9acef2ad551ef586f4c0cc4877c8,surrogate_experiment_results/Step3/pairs20/data/topologies/G-9/template.json
