topology_id,topology_hash,arc_order_hash,feasible_set_hash
G-0,9c5c1979374591bc6ece67db9fdf1d71e78907292c5cec47509448ae24dc4778,9d4744a9fee3364e028437c951f396a095ce32d1f18a40c602bb8a95acd8f7f8,9ccb2b47455d307998e011df4ad0cea4d339160b910982a05355b591b8f9238b
G-1,c90d65f9eed861d5fc065512b81d669f133129d8feacaf6ea08058077e8bc4f5,983767f5a576b645610b383905851db63ce30d8efa22b7bc695317c0d787b01f,cdca3cc6dd83bce93aede70aca069eec6df0ee9c10b2a12ba86bc4900b93d877
G-2,57292a4795f175b2743eef604dd2ee8924e3e7e325983671cdccc88674a04990,9a7f3a1a2ca7f2000abcdab5f3dacf7017a8b43a62a280551e43fe7e7562198f,0474bd5cf05dfcf29b2fbc8c5a49bc608f6a151c8d84e578c5327f1750245090
G-3,3a2e82eda70727d184f78678e512fa6a2d2886dba7d5dd9e68c85f2d2604b3b8,0b6f9b843e10d08453e7402dbf023d9d929d62cc2b78c53385004470d46bb844,4b3b0a6c9e908e01f802496e08921e78154d1f2f53aa8c6586149437e1bbae96
G-4,06e897a658650abbcc15a40326996e9fca2beafb2581df778eb80c16973880eb,57e5d430a106bf1b2784f91d9937c8be46881e0d48b1af2c427fe2f388fd0275,0043f15fa075388f0c6e5d753caba3f4f01899c26ebcb0848531efca43de4286
G-5,a3fbb44b2bc7f898ce1577f648f227698ebdc893792deb32a2a560f8495aaa2e,2bf29764cb614dbb2cccca68e08a4607ba9346a467a7b0aa9f5b0d23a6f8dcf4,3dcff0f712cbdd311b60b2de8119c5a65559558844d79741c0ed6ea2b87d66ed
G-6,38acbbfd491b15fcc5c49491f53b70fd268561165cc59e5e7af5d99372a6a725,275b968ab18d217788cb1ab94aea22165086b291493c75ffc9519d4d90b95198,ca719b33cb6eccfd2547b0794cc21794c7c14cffe84b8eb7805a8901bc5c7920
G-7,5b2f3979b515724773d7ce0c11fc391a894c368988e71143ca6cc71b10b4dd18,ef14bb595c7658a200a4f0fd14c626edd2b20b68d6283d80a685ba093bd06434,cc855d88aeccdb408c9e8091c09c81c337502010bb14be235dbbab2b5a3a5e83
G-8,d5d6f1f8e737be27c4ad16fa9a18c4bb781dd295b0b8e089f4997ea5b7a4452e,1369e9720f25de339b244b7fdbc49386858774f2bbbecc865d894d4e5ddb4202,266cd9ae0881b4cbed43f171e92b1f507c88b8fff67ed9c24a5d13b826f20e8f
G-9,69d42e44f57ec5455fd95ef40cb58d7ff24463f46d1f76dda7367649b87a4ea1,6c824c1ca9364c6ccbeb6f627ab75874a71572f08f68ab592e1996b982626fff,7419e7117ce19fbb2ba614c10ea6dd0f516ec8b5033f1eade2680ba178ed60bd
G-10,0c0a620d00943828930494467f2caacb8ccbac2080ebfd7e6bf724cb323c4564,02edef9e407f674b6cdf2d5f41cb306da13d8c22a0884d757e9a9267c9378fe3,3c34685abb58838c7bc432d7ad90dde3ca3f7b0717758fbae0e16297f7076838
G-11,fb4e10e23a10c2112dd672d6322f2c9ac3caa6bf14f3c09dcb1e016e1dc44823,d62af97572f1d85eccb0d62d9af5de2a2106c71bca8af47fcd829473443b7502,4f226e19428bcf940ff298f2f77b96abb456fac839f124359390daad339c3e54
G-12,a00fbf9e2a61078e0696143c9e54e0d1fa2bd731ea4999d446e526ed37e2eef0,0a2919ae94e7dc043e44d7eacd8210daa9886de92b011c4193d5e3013ac60d62,6bb6b23ae8415d7bbf68cf9762b96a62ba0ea3f4c49535281f958ecb2188c674
G-13,2b536fe7baed8eddabbe890bcfd98f6933c251685a9b96e9fcd8f734534d2bd2,df02cf147d070157893b165ecdc8d83e0ced791482f87ebf06a66c437ae901d2,5a8075bd804c5df3fa20066505145a70980cac995ecfcf1cf2e4db3bc2f069cc
G-14,4bda52bd88ed4c7595ae68e1d677f89e2eb160890248102a3736eb8556885cca,ac89a6ce36c3b115684be20906f53b8f6d2b346b2faab1a0425d5a9913ceae4d,e8e0778d9a59f220b20597194fe49b5bab8ccca0074ed39b6e54b4335d723a43
G-15,05b49a79674a9317515d072efa2617a6551009a767156787b38f90a464eb2cb0,367a1f4ec170a0dbc3389a6013e5ac99eb2b67cb35be622b50f982192a5c2ff9,b029da3a80b20ad2f09fadedb7ab31e387acd68fdcce687abd06b008c0bb1f3d
