topology_id,num_vertices,num_pairs,num_ndds,num_arcs,num_exchange_candidates,num_2cycles,num_3cycles,num_cycles_total,num_chains_total,num_chains_len1,num_chains_len2,num_chains_len3,num_chains_len4,candidate_conflict_density,mean_conflict_degree,max_conflict_degree,largest_conflict_component_fraction,fraction_vertices_in_any_candidate,mean_candidates_per_vertex,max_candidates_per_vertex,num_label_seeds,num_distinct_oracle_solutions,oracle_solution_entropy,dominant_oracle_solution_fraction,mean_pairwise_oracle_jaccard,mean_oracle_objective,median_oracle_objective,mean_top1_top2_margin,median_top1_top2_margin,mean_top1_top5_margin,median_top1_top5_margin,fraction_linear_proxy_differs_from_oracle,mean_linear_proxy_gap_to_oracle,median_linear_proxy_gap_to_oracle,mean_linear_proxy_normalized_gap_to_oracle,median_linear_proxy_normalized_gap_to_oracle,mean_linear_proxy_jaccard_with_oracle
G-0,22,20,2,28,4,0,0,0,4,2,2,0,0,1.0,3.0,3,1.0,0.18181818181818182,0.45454545454545453,4,100,1,0.0,1.0,1.0,12.556838,12.40005,3.066701,3.1763500000000002,12.556838,12.40005,0.0,0.0,0.0,0.0,0.0,1.0
G-1,22,20,2,35,14,1,0,1,13,4,4,4,1,0.8681318681318682,11.285714285714286,13,1.0,0.4090909090909091,1.9545454545454546,12,100,3,1.08598583074578,0.37,0.6397171717171717,40.748637,40.3127,2.193332,2.2379,7.331835,7.240999999999996,0.63,2.558246,1.3903999999999996,0.06416380299980023,0.030256783579181046,0.674
G-2,22,20,2,29,14,1,0,1,13,5,5,3,0,0.8021978021978022,10.428571428571429,13,1.0,0.2727272727272727,1.7727272727272727,10,100,5,1.3396075067143223,0.37,0.6134612794612795,24.305265,24.24595,1.024497,0.8980500000000013,2.902409,2.822300000000002,0.67,1.492138,1.0561000000000025,0.06300418460631454,0.04093339261149163,0.6536666666666666
G-3,22,20,2,37,40,0,0,0,40,9,16,10,5,0.7525641025641026,29.35,38,1.0,0.5454545454545454,5.954545454545454,29,100,8,0.8553102801059231,0.78,0.7536323261474777,85.543114,86.3484,1.2415669999999992,1.1511999999999958,6.728389999999999,5.624549999999992,0.22,0.7131970000000009,0.0,0.00908458620805419,0.0,0.8554646464646465
G-4,22,20,2,39,35,2,3,5,30,4,6,12,8,0.9630252100840336,32.74285714285714,34,1.0,0.45454545454545453,5.7727272727272725,33,100,2,0.4862229646617922,0.81,0.8223376623376624,63.498121,64.08765000000001,7.739046000000001,6.9106999999999985,26.324913,26.63125,0.19,0.6945049999999997,0.0,0.011607472914183766,0.0,0.8914285714285715
G-5,22,20,2,45,7,0,0,0,7,6,1,0,0,0.7142857142857143,4.285714285714286,5,0.8571428571428571,0.36363636363636365,0.6818181818181818,6,100,2,0.6929471672244782,0.51,0.6634343434343434,11.095133,11.349450000000001,0.017656000000000047,0.01794999999999991,6.5113,6.8575,0.49,1.630717,0.0,0.13915511911358655,0.0,0.6733333333333333
G-6,22,20,2,26,5,0,0,0,5,3,2,0,0,0.6,2.4,3,0.8,0.2727272727272727,0.5454545454545454,4,100,2,0.60215168259268,0.71,0.688030303030303,15.358369,15.2943,1.8265410000000002,1.794950000000001,6.650684,6.7079,0.29,0.4570940000000001,0.0,0.031036135659750334,0.0,0.7825
G-7,22,20,2,19,5,0,0,0,5,5,0,0,0,0.6,2.4,3,0.8,0.3181818181818182,0.45454545454545453,4,100,1,0.0,1.0,1.0,31.556735,31.538200000000003,3.843628,3.887599999999999,21.526394,21.0664,0.0,0.0,0.0,0.0,0.0,1.0
G-8,22,20,2,48,11,0,0,0,11,7,4,0,0,0.7454545454545455,7.454545454545454,9,1.0,0.36363636363636365,1.1818181818181819,9,100,4,0.6606001918373621,0.76,0.6298282828282828,32.912036,33.0804,4.554591,4.322549999999996,11.151318,10.0657,0.79,6.992064,6.57865,0.1970627956221307,0.20035940582911596,0.2225
G-9,22,20,2,49,44,0,0,0,44,10,15,11,8,0.8234672304439746,35.40909090909091,42,1.0,0.45454545454545453,6.7727272727272725,36,100,2,0.056001534354847345,0.99,0.9914285714285714,63.419285,62.7526,3.8630630000000004,3.6022999999999996,6.0161690000000005,6.254949999999997,1.0,5.620147,5.619,0.09022761069426492,0.0917845437329195,0.50125
