topology_id,status,failure_reasons,validation_json_count,test_json_count,train_seed_dir_count,train_seed_min,train_seed_max,train_json_total,min_train_json_per_seed,max_train_json_per_seed,samples_csv_rows,samples_validation_rows,samples_test_rows,samples_train_rows,unique_sample_topology_hashes,unique_sample_label_hashes,manifest_num_sample_files,manifest_topology_hash,index_topology_hash,manifest_topology_bank_hash,index_topology_bank_hash,manifest_feasible_set_hash,index_feasible_set_hash
G-3,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,2985b7a876618160,2985b7a876618160,3a2e82eda70727d184f78678e512fa6a2d2886dba7d5dd9e68c85f2d2604b3b8,3a2e82eda70727d184f78678e512fa6a2d2886dba7d5dd9e68c85f2d2604b3b8,4b3b0a6c9e908e01f802496e08921e78154d1f2f53aa8c6586149437e1bbae96,4b3b0a6c9e908e01f802496e08921e78154d1f2f53aa8c6586149437e1bbae96
G-9,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,092fadec538b545d,092fadec538b545d,69d42e44f57ec5455fd95ef40cb58d7ff24463f46d1f76dda7367649b87a4ea1,69d42e44f57ec5455fd95ef40cb58d7ff24463f46d1f76dda7367649b87a4ea1,7419e7117ce19fbb2ba614c10ea6dd0f516ec8b5033f1eade2680ba178ed60bd,7419e7117ce19fbb2ba614c10ea6dd0f516ec8b5033f1eade2680ba178ed60bd
G-14,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,f62859b888979ba9,f62859b888979ba9,4bda52bd88ed4c7595ae68e1d677f89e2eb160890248102a3736eb8556885cca,4bda52bd88ed4c7595ae68e1d677f89e2eb160890248102a3736eb8556885cca,e8e0778d9a59f220b20597194fe49b5bab8ccca0074ed39b6e54b4335d723a43,e8e0778d9a59f220b20597194fe49b5bab8ccca0074ed39b6e54b4335d723a43
G-21,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,925d64ca8288dcae,925d64ca8288dcae,621a2baf21a08047f0ef0c8d001e51d6c804a246fa76576e53a3a2b9e30d20a1,621a2baf21a08047f0ef0c8d001e51d6c804a246fa76576e53a3a2b9e30d20a1,8dade38018a4a8db06d7fe95abf64638834c8c1968f371f91b5be1e45b6a9627,8dade38018a4a8db06d7fe95abf64638834c8c1968f371f91b5be1e45b6a9627
G-31,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,1d4d5253318279cf,1d4d5253318279cf,b632daf4dd0a7013e56a303c82aadc87970e5c02bc0402a63c52e7bd1f1e0010,b632daf4dd0a7013e56a303c82aadc87970e5c02bc0402a63c52e7bd1f1e0010,94d4ab0890950a53dccf4eb99ba1eca4319d7d61e0fafb1a4ec188e99022a73a,94d4ab0890950a53dccf4eb99ba1eca4319d7d61e0fafb1a4ec188e99022a73a
G-47,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,108f523d31406e3a,108f523d31406e3a,f998e0f4d024ed7e72942f300adb34a283839f43f0a601fb3fed995af84970af,f998e0f4d024ed7e72942f300adb34a283839f43f0a601fb3fed995af84970af,ccf40bafef896bb9c5b6445c37d57301606cdc6ef4b32f9cf566d8dc9daffc9e,ccf40bafef896bb9c5b6445c37d57301606cdc6ef4b32f9cf566d8dc9daffc9e
G-59,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,2b69e4328b5670ac,2b69e4328b5670ac,56b97a3f5be8e58cb313fdd456c352b5df49b58924a6bc786e7d5432f42911d3,56b97a3f5be8e58cb313fdd456c352b5df49b58924a6bc786e7d5432f42911d3,6e40f6c703f5786e23b6b35645c2324d3f50296b1b93cb63442c1ae7b7784e90,6e40f6c703f5786e23b6b35645c2324d3f50296b1b93cb63442c1ae7b7784e90
G-60,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,ed18c20eb5265cec,ed18c20eb5265cec,5c17c00fca3e7b71d9f6be9af60d43e5043cfe99bd72e855568063275f826125,5c17c00fca3e7b71d9f6be9af60d43e5043cfe99bd72e855568063275f826125,3fc2ad08ca4dd679fc8aa7e432b09107a2f1c651bcef2bf2c50af1da2e10bcbb,3fc2ad08ca4dd679fc8aa7e432b09107a2f1c651bcef2bf2c50af1da2e10bcbb
G-64,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,b40a59bb57659084,b40a59bb57659084,312e3ca81513dc5a04b4f2c9ccbb49641e2602da254c53db24a3292932129784,312e3ca81513dc5a04b4f2c9ccbb49641e2602da254c53db24a3292932129784,fbf167f262f9802468218862ecd44c554e98faf62cdf766db42479955d8f21fe,fbf167f262f9802468218862ecd44c554e98faf62cdf766db42479955d8f21fe
G-66,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,2ad74b158f2202a4,2ad74b158f2202a4,43438ad4a8cf0185afe4b771ad84d7466de8ba97edfaf1bada73aa5671a0f052,43438ad4a8cf0185afe4b771ad84d7466de8ba97edfaf1bada73aa5671a0f052,83dcf57264723302c588f34bd0426e262124036baf3aacf6d36d0f4ea9bfd855,83dcf57264723302c588f34bd0426e262124036baf3aacf6d36d0f4ea9bfd855
G-70,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,c8a064aad1af6113,c8a064aad1af6113,06eb28704c8dd813a18c1ab23b9bec5eaa911475914d1655423aa3f80de10d02,06eb28704c8dd813a18c1ab23b9bec5eaa911475914d1655423aa3f80de10d02,4ab2ada5d860e3343140d9a90f6ff040592a69e2e844a5ec3bc6729ffac24c50,4ab2ada5d860e3343140d9a90f6ff040592a69e2e844a5ec3bc6729ffac24c50
G-72,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,dde5565d8a08bb7d,dde5565d8a08bb7d,285e90dbf280b66bb0290e45b6d025d49691667f2cebb4119642f197b05fc891,285e90dbf280b66bb0290e45b6d025d49691667f2cebb4119642f197b05fc891,2d172509f2ea09e106b15968e3d79afa579143e6ed4d608d8dc3f632eb9de823,2d172509f2ea09e106b15968e3d79afa579143e6ed4d608d8dc3f632eb9de823
G-79,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,f975a8235c7d7911,f975a8235c7d7911,db52704574abae6cff92a313a41b72784e831745c6b164cc95d8b2080f0718fd,db52704574abae6cff92a313a41b72784e831745c6b164cc95d8b2080f0718fd,df78227e69db119f6192b5ed2cc4c58efe3acbf156583e2a5da253d1d4fbafb0,df78227e69db119f6192b5ed2cc4c58efe3acbf156583e2a5da253d1d4fbafb0
G-84,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,d5460d91d969bc17,d5460d91d969bc17,66ff2c6d4407e70acc041c04c3f6bed54b85ee273b53438ff25eed6269fb324c,66ff2c6d4407e70acc041c04c3f6bed54b85ee273b53438ff25eed6269fb324c,d0e3ef444846ac169cd73ba5025adb4c5017bde08c8a1e88d12a0b5ab2622c81,d0e3ef444846ac169cd73ba5025adb4c5017bde08c8a1e88d12a0b5ab2622c81
G-86,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,1c62bdc2b336ce20,1c62bdc2b336ce20,1114f93888cfd46d16147b2cedfe744e8666370def33e2799dd6f9b6f64031ae,1114f93888cfd46d16147b2cedfe744e8666370def33e2799dd6f9b6f64031ae,7f20b6900ade96bc77f58dec886c87ad7c5b05c3578a1990517db2cc3baab2a5,7f20b6900ade96bc77f58dec886c87ad7c5b05c3578a1990517db2cc3baab2a5
G-94,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,3170a740a0b5f751,3170a740a0b5f751,29e32187e0f75c105b5e7d7df531bdc63143a5cf95ed29f4cdce187a7fd90ecd,29e32187e0f75c105b5e7d7df531bdc63143a5cf95ed29f4cdce187a7fd90ecd,8775c3444746f04c83fb38e692edd291a61d719aa778ef6b426c3d18bc5adf04,8775c3444746f04c83fb38e692edd291a61d719aa778ef6b426c3d18bc5adf04
G-97,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,5b4187f1db903edc,5b4187f1db903edc,7e45d94a1eb536b0806c71ec91c935c1efff8325e5a5370d66d1c36423f4fb56,7e45d94a1eb536b0806c71ec91c935c1efff8325e5a5370d66d1c36423f4fb56,7044f213ba875e546d24227a83d421692da71eb50c36227c5162bc0dd40e572a,7044f213ba875e546d24227a83d421692da71eb50c36227c5162bc0dd40e572a
G-100,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,5a02fe153c75ba86,5a02fe153c75ba86,8a4225bab458ce5b549a8f14ce1775c4811a08f02e90a506d68f394b9c5a0c2a,8a4225bab458ce5b549a8f14ce1775c4811a08f02e90a506d68f394b9c5a0c2a,8e43dd8012b166b775af0bccc9f7be7314464e8b56d14e05e7da90bca334818d,8e43dd8012b166b775af0bccc9f7be7314464e8b56d14e05e7da90bca334818d
G-103,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,d37fbd62767bded2,d37fbd62767bded2,cf9030adaeefeabfdde282421f757b19c1e97dfd77d30b3c8172769e21832786,cf9030adaeefeabfdde282421f757b19c1e97dfd77d30b3c8172769e21832786,6849e9c95e6ff0b187227871c8db7d6627fc35b212678275225da601d5b132b3,6849e9c95e6ff0b187227871c8db7d6627fc35b212678275225da601d5b132b3
G-112,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,71adebd029dcb355,71adebd029dcb355,d41ea9a5a09293e29f988cb5c87d0d6fcfacaf3c299cab084cb8dfe19efcacfb,d41ea9a5a09293e29f988cb5c87d0d6fcfacaf3c299cab084cb8dfe19efcacfb,10f8fe4051332f29639177888a43f178ab84701198693721410d1ed652b4dd4b,10f8fe4051332f29639177888a43f178ab84701198693721410d1ed652b4dd4b
G-117,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,ff232b6c99429868,ff232b6c99429868,2b27598ee374052e60710f883feed3e3a3bf165494ddc9b7a105ef6cfb5d7d0c,2b27598ee374052e60710f883feed3e3a3bf165494ddc9b7a105ef6cfb5d7d0c,e3b56fae40a23689c7caa7b65af9d7e99dd1aede56732a659fe616e0095764d4,e3b56fae40a23689c7caa7b65af9d7e99dd1aede56732a659fe616e0095764d4
G-118,pass,OK,10,1000,50,1,50,2000,40,40,3010,10,1000,2000,1,3010,3010,c4f2795ef1d13b5f,c4f2795ef1d13b5f,f59321877069d248d14b8240b557b987a4d121bcfebd342d78ed28909d751f67,f59321877069d248d14b8240b557b987a4d121bcfebd342d78ed28909d751f67,31d0adaf6d36a4be26d195aafe4ca852ea9c0d11c4340662668bdf1bf84f97f9,31d0adaf6d36a4be26d195aafe4ca852ea9c0d11c4340662668bdf1bf84f97f9
