topology_id,phase_b_outcome,total_jobs,completed_jobs,success_jobs,skipped_jobs,failed_jobs,metric_jobs,train_seed_min,train_seed_max,train_sample_count,validation_sample_count,test_sample_count,mean_spoplus_improvement_gap,median_spoplus_improvement_gap,std_spoplus_improvement_gap,min_spoplus_improvement_gap,max_spoplus_improvement_gap,max_abs_spoplus_improvement_gap,mean_abs_spoplus_improvement_gap,p10_spoplus_improvement_gap,p90_spoplus_improvement_gap,better_count,worse_count,tied_count,fraction_spoplus_better,fraction_spoplus_worse,fraction_tied,mean_test_gap_2stage,mean_test_gap_spoplus,mean_test_normalized_gap_2stage,mean_test_normalized_gap_spoplus,mean_spoplus_improvement_normalized_gap,mean_success_elapsed_seconds,median_success_elapsed_seconds,phase_b_selection_rank,complexity_bin,structural_type,landscape_regime,screening_score,phase_b_selection_reason,num_exchange_candidates,num_cycles_total,num_3cycles,num_chains_total,candidate_conflict_density,mean_candidates_per_vertex,num_distinct_oracle_solutions,oracle_solution_entropy,dominant_oracle_solution_fraction,fraction_linear_proxy_differs_from_oracle,mean_linear_proxy_normalized_gap_to_oracle,median_top1_top2_margin,mean_pairwise_oracle_jaccard
G-3,neutral,50,50,12,38,0,50,1,50,40,10,1000,-0.001438414001464845,0.0,0.010068898010253916,-0.07192070007324225,0.0,0.07192070007324225,0.001438414001464845,0.0,0.0,0,1,49,0.0,0.02,0.98,0.6454007949829101,0.646839208984375,0.008098260214385457,0.008118260214385178,-1.999999999972194e-05,24.704166666666666,24.685000000000002,94,medium_rich,chain_only,high_variance,0.41285769,quota_medium_rich:chain_only:high_variance,40,0,0,40,0.7525641025641026,5.954545454545454,8,0.8553102801059231,0.78,0.22,0.00908458620805419,1.1511999999999958,0.7536323261474777
G-9,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,5.512014642715454,5.512014642715454,0.08801462217697431,0.08801462217697431,0.0,24.691,24.65,131,rich,chain_only,proxy_hard,0.56062098,quota_rich:chain_only:proxy_hard,44,0,0,44,0.8234672304439746,6.7727272727272725,2,0.056001534354847345,0.99,1.0,0.09022761069426492,3.6022999999999996,0.9914285714285714
G-14,helpful,50,50,50,0,0,50,1,50,40,10,1000,14.077302780151367,14.077302780151367,0.0,14.077302780151367,14.077302780151367,14.077302780151367,14.077302780151367,14.077302780151367,14.077302780151367,50,0,0,1.0,0.0,0.0,35.61560955810547,21.5383067779541,0.30447623940441587,0.18061819867611306,0.12385804072830281,44.9106,44.9,145,extreme,cycle_chain,proxy_hard,0.9389897,quota_extreme:all_available,234,8,3,226,0.884413631194747,46.13636363636363,10,1.8567887352112245,0.27,0.93,0.17404017896671253,2.6665999999999954,0.4626731878242573
G-21,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,2.013505159378052,2.013505159378052,0.04541116962449723,0.04541116962449723,0.0,22.7228,22.675,74,medium_rich,chain_only,high_variance,0.52078956,quota_medium_rich:chain_only:high_variance,27,0,0,27,0.7207977207977208,3.8636363636363638,7,1.2524163202633891,0.55,0.45,0.049126965870347934,1.7344500000000025,0.5274539041205708
G-31,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.022426513671875,0.022426513671875,0.0004642929201213656,0.0004642929201213656,0.0,23.435,23.384999999999998,67,medium_rich,cycle_chain,proxy_aligned,0.33841244,quota_medium_rich:cycle_chain:proxy_aligned,40,4,1,36,0.9115384615384615,6.7272727272727275,2,0.13474216817976675,0.97,0.03,0.0009791851207279084,1.3425000000000047,0.9664069264069264
G-47,helpful,50,50,50,0,0,50,1,50,40,10,1000,2.728360811347961,3.248048584938049,1.190754280109825,0.0,3.248048584938049,3.248048584938049,2.728360811347961,0.0,3.248048584938049,42,0,8,0.84,0.0,0.16,7.143700733184814,4.415339921836853,0.22209426775142613,0.13697292539983366,0.08512134235159247,19.7798,19.765,1,sparse_simple,cycle_chain,proxy_hard,0.60582025,quota_sparse_simple:cycle_chain:proxy_hard,8,1,0,7,0.7857142857142857,0.9090909090909091,4,1.1306110430243503,0.44,0.56,0.11350979713561578,2.03285,0.448989898989899
G-59,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.2968,19.265,9,sparse_simple,cycle_chain,easy_control,0.17848732,quota_sparse_simple:cycle_chain:easy_control,7,1,0,6,1.0,0.9090909090909091,1,0.0,1.0,0.0,0.0,0.8242999999999991,1.0
G-60,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,3.011115119934082,3.011115119934082,0.051640824886834774,0.051640824886834774,0.0,24.567,24.53,64,medium_rich,chain_only,high_variance,0.55747772,quota_medium_rich:chain_only:high_variance,38,0,0,38,0.7439544807965861,5.818181818181818,8,1.5070338147316533,0.54,0.46,0.0472457457670529,2.2164500000000054,0.5775810485810485
G-64,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,1.0380877170562743,1.0380877170562743,0.02508927275965705,0.02508927275965705,0.0,20.464,20.4,31,low_medium,chain_only,neutral,0.38236405,quota_low_medium:chain_only:neutral,20,0,0,20,0.6421052631578947,2.6363636363636362,3,0.784181984727647,0.59,0.41,0.027333684097359295,2.2545,0.7358787878787879
G-66,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.5144702129364014,0.5144702129364014,0.022974355606254812,0.022974355606254812,0.0,21.9274,21.9,28,low_medium,cycle_chain,high_variance,0.52850942,quota_low_medium:cycle_chain:high_variance,20,1,0,19,0.8052631578947368,3.0,5,1.201044313844126,0.57,0.43,0.02189436998828348,0.7623999999999995,0.5777240660573993
G-70,helpful,50,50,50,0,0,50,1,50,40,10,1000,2.9497348384857176,2.9497348384857176,0.0,2.9497348384857176,2.9497348384857176,2.9497348384857176,2.9497348384857176,2.9497348384857176,2.9497348384857176,50,0,0,1.0,0.0,0.0,5.768961229324341,2.8192263908386233,0.10618819899786394,0.05200412117716765,0.05418407782069629,33.3904,33.34,152,extreme,cycle_chain,proxy_hard,0.82307039,quota_extreme:all_available,98,4,4,94,0.8874395118872291,18.227272727272727,8,1.6943621460820115,0.38,0.77,0.0472021368725569,1.1121500000000033,0.5968940705758887
G-72,mixed,50,50,50,0,0,50,1,50,40,10,1000,0.5773340528869628,0.0,0.6255256722503545,0.0,1.2550740280151365,1.2550740280151365,0.5773340528869628,0.0,1.2550740280151365,23,0,27,0.46,0.0,0.54,7.365777881622314,6.7884438287353515,0.111116342054083,0.10252329086519861,0.008593051188884385,29.3614,29.33,142,rich,cycle_chain,proxy_hard,0.88440083,quota_rich:cycle_chain:proxy_hard,49,7,1,42,0.7976190476190477,8.181818181818182,10,1.8313774224049688,0.31,0.9,0.1341296212205658,0.6278000000000006,0.46802912015033227
G-79,harmful,50,50,50,0,0,50,1,50,40,10,1000,-1.3183428833007813,-1.6479286041259766,0.6591714416503907,-1.6479286041259766,0.0,1.6479286041259766,1.3183428833007813,-1.6479286041259766,0.0,0,40,10,0.0,0.8,0.2,3.258477794647217,4.576820677947998,0.09903536758494874,0.13288659178062107,-0.033851224195672325,23.3734,23.439999999999998,81,medium_rich,cycle_chain,proxy_hard,0.79193961,quota_medium_rich:cycle_chain:proxy_hard,27,2,1,25,0.9458689458689459,4.181818181818182,7,1.6536652422639313,0.35,0.81,0.13113924106336936,1.3976000000000006,0.4283520923520924
G-84,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,1.2024341869354247,1.2024341869354247,0.04161945951657979,0.04161945951657979,0.0,25.6826,25.645000000000003,75,medium_rich,cycle_chain,neutral,0.50226796,quota_medium_rich:cycle_chain:neutral,29,1,0,28,0.8497536945812808,4.363636363636363,3,0.7994752252479101,0.66,0.34,0.03306547112683403,0.18054999999999843,0.662972582972583
G-86,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.14811332702636718,0.14811332702636718,0.0017611888748411064,0.0017611888748411064,0.0,27.9618,27.92,123,rich,cycle_chain,proxy_aligned,0.4212955,quota_rich:cycle_chain:proxy_aligned,70,2,1,68,0.9229813664596274,12.545454545454545,3,0.2540011950325827,0.94,0.06,0.0020077797236330895,5.1246499999999955,0.9417957351290684
G-94,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.3043248329162598,0.3043248329162598,0.006129723713737713,0.006129723713737713,0.0,22.5532,22.515,77,medium_rich,cycle_chain,proxy_aligned,0.32263203,quota_medium_rich:cycle_chain:proxy_aligned,32,1,0,31,0.8709677419354839,4.909090909090909,3,0.3598240982440312,0.91,0.09,0.0031853058749539303,2.077349999999999,0.8756228956228956
