phase_c_rank,phase_c_selection_reason,topology_id,phase_b_outcome,total_jobs,completed_jobs,success_jobs,skipped_jobs,failed_jobs,metric_jobs,train_seed_min,train_seed_max,train_sample_count,validation_sample_count,test_sample_count,mean_spoplus_improvement_gap,median_spoplus_improvement_gap,std_spoplus_improvement_gap,min_spoplus_improvement_gap,max_spoplus_improvement_gap,max_abs_spoplus_improvement_gap,mean_abs_spoplus_improvement_gap,p10_spoplus_improvement_gap,p90_spoplus_improvement_gap,better_count,worse_count,tied_count,fraction_spoplus_better,fraction_spoplus_worse,fraction_tied,mean_test_gap_2stage,mean_test_gap_spoplus,mean_test_normalized_gap_2stage,mean_test_normalized_gap_spoplus,mean_spoplus_improvement_normalized_gap,mean_success_elapsed_seconds,median_success_elapsed_seconds,phase_b_selection_rank,complexity_bin,structural_type,landscape_regime,screening_score,phase_b_selection_reason,num_exchange_candidates,num_cycles_total,num_3cycles,num_chains_total,candidate_conflict_density,mean_candidates_per_vertex,num_distinct_oracle_solutions,oracle_solution_entropy,dominant_oracle_solution_fraction,fraction_linear_proxy_differs_from_oracle,mean_linear_proxy_normalized_gap_to_oracle,median_top1_top2_margin,mean_pairwise_oracle_jaccard
1,quota_helpful,G-810,helpful,50,50,50,0,0,50,1,50,40,10,1000,21.856757759094236,21.856757759094236,0.0,21.856757759094236,21.856757759094236,21.856757759094236,21.856757759094236,21.856757759094236,21.856757759094236,50,0,0,1.0,0.0,0.0,22.268934242248534,0.4121764831542969,0.15439322340735856,0.0031361365156646302,0.15125708689169393,33.5992,33.495000000000005,158,extreme,cycle_chain,high_variance,0.47927958,quota_extreme:all_available,90,2,2,88,0.7470661672908864,16.727272727272727,5,0.4698198801127603,0.89,0.11,0.0015633099384716287,2.3207499999999897,0.919735631371995
2,quota_helpful,G-269,helpful,50,50,50,0,0,50,1,50,40,10,1000,15.488086727142335,15.488086727142335,0.0,15.488086727142335,15.488086727142335,15.488086727142335,15.488086727142335,15.488086727142335,15.488086727142335,50,0,0,1.0,0.0,0.0,15.654332717895509,0.16624599075317384,0.1765462956324095,0.0022088980907541593,0.17433739754165534,26.1402,26.165,78,medium_rich,chain_only,proxy_aligned,0.24132074,quota_medium_rich:chain_only:proxy_aligned,40,0,0,40,0.8666666666666667,6.909090909090909,2,0.13474216817976675,0.97,0.03,0.0015491932999530565,8.026349999999994,0.951010101010101
3,quota_helpful,G-14,helpful,50,50,50,0,0,50,1,50,40,10,1000,14.077302780151367,14.077302780151367,0.0,14.077302780151367,14.077302780151367,14.077302780151367,14.077302780151367,14.077302780151367,14.077302780151367,50,0,0,1.0,0.0,0.0,35.61560955810547,21.5383067779541,0.30447623940441587,0.18061819867611306,0.12385804072830281,44.9106,44.9,145,extreme,cycle_chain,proxy_hard,0.9389897,quota_extreme:all_available,234,8,3,226,0.884413631194747,46.13636363636363,10,1.8567887352112245,0.27,0.93,0.17404017896671253,2.6665999999999954,0.4626731878242573
4,quota_helpful,G-103,helpful,50,50,50,0,0,50,1,50,40,10,1000,11.66715861606598,11.66715861606598,0.0,11.66715861606598,11.66715861606598,11.66715861606598,11.66715861606598,11.66715861606598,11.66715861606598,50,0,0,1.0,0.0,0.0,13.916444737434388,2.2492861213684083,0.33640899632847626,0.05763083017552007,0.2787781661529562,20.7352,20.725,47,low_medium,chain_only,proxy_hard,0.66987841,quota_low_medium:chain_only:proxy_hard,13,0,0,13,0.6923076923076923,1.5,7,1.6112149847612451,0.39,0.96,0.2502273128676389,2.165800000000001,0.42994612794612797
5,quota_harmful,G-934,harmful,50,50,50,0,0,50,1,50,40,10,1000,-2.1002508163452145,-2.1002508163452145,0.0,-2.1002508163452145,-2.1002508163452145,2.1002508163452145,2.1002508163452145,-2.1002508163452145,-2.1002508163452145,0,50,0,0.0,1.0,0.0,4.875329166412354,6.975579982757568,0.09087929733897673,0.1279787911941423,-0.03709949385516556,33.456,33.435,106,rich,cycle_chain,proxy_hard,0.94510279,quota_rich:cycle_chain:proxy_hard,78,4,2,74,0.9144189144189144,14.181818181818182,6,1.241123135470863,0.57,0.93,0.14282241231242865,1.3697499999999998,0.6438755621482894
6,quota_harmful,G-206,harmful,50,50,50,0,0,50,1,50,40,10,1000,-1.4465030841827389,-1.4465030841827389,0.0,-1.4465030841827389,-1.4465030841827389,1.4465030841827389,1.4465030841827389,-1.4465030841827389,-1.4465030841827389,0,50,0,0.0,1.0,0.0,4.049408409118652,5.495911493301391,0.1171909532074551,0.1552881787591586,-0.0380972255517035,26.0332,25.994999999999997,61,medium_rich,cycle_chain,proxy_hard,0.82772799,quota_medium_rich:cycle_chain:proxy_hard,29,6,2,23,0.9334975369458128,4.954545454545454,9,1.8312179529654316,0.31,0.9,0.14728238249173822,0.8301000000000016,0.42074651274651276
7,quota_neutral,G-9,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,5.512014642715454,5.512014642715454,0.08801462217697431,0.08801462217697431,0.0,24.691,24.65,131,rich,chain_only,proxy_hard,0.56062098,quota_rich:chain_only:proxy_hard,44,0,0,44,0.8234672304439746,6.7727272727272725,2,0.056001534354847345,0.99,1.0,0.09022761069426492,3.6022999999999996,0.9914285714285714
8,quota_neutral,G-21,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,2.013505159378052,2.013505159378052,0.04541116962449723,0.04541116962449723,0.0,22.7228,22.675,74,medium_rich,chain_only,high_variance,0.52078956,quota_medium_rich:chain_only:high_variance,27,0,0,27,0.7207977207977208,3.8636363636363638,7,1.2524163202633891,0.55,0.45,0.049126965870347934,1.7344500000000025,0.5274539041205708
9,quota_control,G-31,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.022426513671875,0.022426513671875,0.0004642929201213656,0.0004642929201213656,0.0,23.435,23.384999999999998,67,medium_rich,cycle_chain,proxy_aligned,0.33841244,quota_medium_rich:cycle_chain:proxy_aligned,40,4,1,36,0.9115384615384615,6.7272727272727275,2,0.13474216817976675,0.97,0.03,0.0009791851207279084,1.3425000000000047,0.9664069264069264
10,quota_control,G-59,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.2968,19.265,9,sparse_simple,cycle_chain,easy_control,0.17848732,quota_sparse_simple:cycle_chain:easy_control,7,1,0,6,1.0,0.9090909090909091,1,0.0,1.0,0.0,0.0,0.8242999999999991,1.0
