topology_id,matched_seed_count,mean_improvement_gap_100,mean_improvement_gap_500,delta_mean_improvement_gap,mean_abs_delta_improvement_gap,max_abs_delta_improvement_gap,std_improvement_gap_100,std_improvement_gap_500,mean_normalized_improvement_gap_100,mean_normalized_improvement_gap_500,delta_mean_normalized_improvement_gap,fraction_better_100,fraction_better_500,fraction_worse_100,fraction_worse_500,fraction_tied_100,fraction_tied_500,changed_seed_outcome_count,fraction_seed_outcome_changed,topology_pattern_100,topology_pattern_500,topology_pattern_changed,fraction_2stage_selected_at_max_epoch_100,fraction_2stage_selected_at_max_epoch_500,fraction_spoplus_selected_at_max_epoch_100,fraction_spoplus_selected_at_max_epoch_500,selected_epoch_values_2stage_100,selected_epoch_values_2stage_500,selected_epoch_values_spoplus_100,selected_epoch_values_spoplus_500
G-9,50,0.0,5.286364279174805,5.286364279174805,5.286364279174805,5.506629457473755,0.0,1.0790745898711729,0.0,0.08439788431566181,0.08439788431566181,0.0,0.96,0.0,0.0,1.0,0.04,48,0.96,all_tie,better_tie,True,1.0,0.08,1.0,1.0,100,264|266|267|268|269|271|272|274|275|276|277|279|280|285|288|291|294|296|297|298|302|307|309|310|312|325|330|500,100,500
G-14,50,14.077302780151367,0.0,-14.077302780151367,14.077302780151367,14.077302780151367,0.0,0.0,0.12385804072830281,0.0,-0.12385804072830281,1.0,0.0,0.0,0.0,0.0,1.0,50,1.0,all_better,all_tie,True,1.0,1.0,1.0,0.02,100,500,100,100|110|120|130|140|150|160|170|230|240|250|260|420|470|500
G-21,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,all_tie,all_tie,False,1.0,1.0,1.0,0.12,100,500,100,220|230|240|260|270|280|290|300|310|320|330|340|350|360|380|390|400|410|420|430|440|450|490|500
G-31,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,all_tie,all_tie,False,1.0,0.68,1.0,0.08,100,313|325|345|351|355|369|390|399|416|417|421|439|463|476|482|496|500,100,200|210|230|240|260|270|280|290|300|310|320|330|340|350|360|370|380|390|410|420|430|440|450|480|490|500
G-47,50,2.728360811347961,0.0,-2.728360811347961,2.728360811347961,3.248048584938049,1.190754280109825,0.0,0.08512134235159247,0.0,-0.08512134235159247,0.84,0.0,0.0,0.0,0.16,1.0,42,0.84,better_tie,all_tie,True,1.0,0.18,0.94,0.0,100,373|376|383|388|391|396|401|404|409|411|412|415|416|419|422|425|427|429|432|433|435|439|440|445|448|450|454|471|473|494|495|500,80|90|100,120|130|140|150|160|170|180|190|200|210|240|250|260|270|280|290
G-59,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,all_tie,all_tie,False,1.0,1.0,1.0,0.02,100,500,100,180|190|200|210|220|230|240|250|260|270|280|290|300|310|330|340|350|360|370|380|390|410|450|470|500
G-72,50,0.5773340528869628,0.6275370140075682,0.050202961120605405,0.10040592224121092,1.2550740280151365,0.6255256722503545,0.6758780486015658,0.008593051188884385,0.00934027303139607,0.0007472218425116856,0.46,0.52,0.0,0.02,0.54,0.46,4,0.08,better_tie,mixed_better_worse,True,1.0,1.0,0.46,0.02,100,500,50|60|70|80|90|100,50|60|70|80|90|100|110|120|130|140|150|160|170|190|200|250|280|300|390|450|480|500
G-79,50,-1.3183428833007813,-1.4501771716308594,-0.13183428833007804,0.13183428833007813,1.6479286041259766,0.6591714416503907,0.5355134107207026,-0.033851224195672325,-0.03723634661523956,-0.0033851224195672325,0.0,0.0,0.8,0.88,0.2,0.12,4,0.08,worse_tie,worse_tie,False,1.0,0.0,0.94,0.22,100,335|336|346|348|349|351|352|353|354|355|358|360|361|362|364|365|366|368|370|372|373|374|376|380|384|385|386|387|388|389|399|401|410|431|449,90|100,180|220|230|240|250|280|300|310|320|340|360|370|380|390|400|410|420|430|460|470|480|490|500
G-103,50,11.66715861606598,11.66715861606598,0.0,0.0,0.0,0.0,0.0,0.2787781661529562,0.2787781661529562,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,all_better,all_better,False,1.0,1.0,1.0,0.88,100,500,100,420|430|460|470|490|500
G-206,50,-1.4465030841827389,-1.4465030841827389,0.0,0.0,0.0,0.0,0.0,-0.0380972255517035,-0.0380972255517035,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,all_worse,all_worse,False,1.0,0.22,1.0,0.12,100,316|351|365|403|412|413|416|418|421|422|426|435|440|441|443|447|448|451|453|454|457|462|464|465|467|468|470|480|481|489|492|500,100,110|130|140|150|160|170|190|200|210|220|240|250|260|270|290|300|310|330|340|350|360|380|400|410|420|490|500
G-269,50,15.488086727142335,15.488086727142335,0.0,0.0,0.0,0.0,0.0,0.17433739754165534,0.17433739754165534,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,all_better,all_better,False,1.0,0.9,1.0,0.86,100,275|282|449|479|495|500,100,420|440|460|470|480|490|500
G-810,50,21.856757759094236,0.0,-21.856757759094236,21.856757759094236,21.856757759094236,0.0,0.0,0.15125708689169393,0.0,-0.15125708689169393,1.0,0.0,0.0,0.0,0.0,1.0,50,1.0,all_better,all_tie,True,1.0,1.0,1.0,1.0,100,500,100,500
G-934,50,-2.1002508163452145,2.6380987510681155,4.73834956741333,4.73834956741333,4.73834956741333,0.0,0.0,-0.03709949385516556,0.04806978457153076,0.08516927842669632,0.0,1.0,1.0,0.0,0.0,0.0,50,1.0,all_worse,all_better,True,1.0,0.82,1.0,0.06,100,432|438|441|456|458|467|468|480|492|500,100,270|290|300|320|330|340|350|360|370|380|390|400|410|420|460|470|480|490|500
