topology_id,review_role,audit_pattern,audit_interpretation,phase_b_outcome,complexity_bin,structural_type,landscape_regime,num_exchange_candidates,num_cycles_total,num_3cycles,num_chains_total,status_rows,metric_jobs,success_jobs,skipped_jobs,failed_jobs,train_seed_count,train_seed_min,train_seed_max,train_sample_rows,train_label_hash_count,train_label_hashes_unique,expected_train_label_hash_count,validation_label_hash_count,test_label_hash_count,unique_train_seed_label_digest_count,unique_theta_2stage,unique_theta_spoplus,theta_2stage_1_std,theta_2stage_2_std,theta_spoplus_1_std,theta_spoplus_2_std,selected_epoch_values_2stage,spoplus_selected_epoch_values,fraction_2stage_selected_at_max_epoch,fraction_spoplus_selected_at_max_epoch,unique_improvement_gap_count,mean_improvement_gap,std_improvement_gap,min_improvement_gap,max_improvement_gap,mean_normalized_improvement_gap,std_normalized_improvement_gap,better_count,worse_count,tied_count,fraction_better,fraction_worse,fraction_tied,mean_improvement_gap_ci95_low,mean_improvement_gap_ci95_high,mean_normalized_improvement_gap_ci95_low,mean_normalized_improvement_gap_ci95_high,fraction_better_wilson95_low,fraction_better_wilson95_high,fraction_worse_wilson95_low,fraction_worse_wilson95_high,unique_test_gap_signature_2stage,unique_test_gap_signature_spoplus,missing_run_artifact_count
G-810,auto_phase_c,stable_helpful_saturated,different_labels_and_theta_same_test_outcome,helpful,extreme,cycle_chain,high_variance,90,2,2,88,50,50,50,0,0,50,1,50,2000,2000,True,2000,10,1000,50,50,50,0.012041522681934614,0.019047485243341374,0.1286379491081329,0.2953486479725658,100,100,1.0,1.0,1,21.856757759094236,0.0,21.856757759094236,21.856757759094236,0.15125708689169393,0.0,50,0,0,1.0,0.0,0.0,21.856757759094236,21.856757759094236,0.15125708689169393,0.15125708689169393,0.9286499658256813,1.0,0.0,0.07135003417431873,1,1,0
G-269,auto_phase_c,stable_helpful_saturated,different_labels_and_theta_same_test_outcome,helpful,medium_rich,chain_only,proxy_aligned,40,0,0,40,50,50,50,0,0,50,1,50,2000,2000,True,2000,10,1000,50,50,50,0.013434175351279746,0.018741563189582665,0.11917363307633169,0.6096823113283575,100,100,1.0,1.0,1,15.488086727142335,0.0,15.488086727142335,15.488086727142335,0.17433739754165534,0.0,50,0,0,1.0,0.0,0.0,15.488086727142335,15.488086727142335,0.17433739754165534,0.17433739754165534,0.9286499658256813,1.0,0.0,0.07135003417431873,1,1,0
G-14,auto_phase_c,stable_helpful_saturated,different_labels_and_theta_same_test_outcome,helpful,extreme,cycle_chain,proxy_hard,234,8,3,226,50,50,50,0,0,50,1,50,2000,2000,True,2000,10,1000,50,50,50,0.009564712311035763,0.023674354336100937,0.11893342373894555,0.23082071859272665,100,100,1.0,1.0,1,14.077302780151367,0.0,14.077302780151367,14.077302780151367,0.12385804072830281,0.0,50,0,0,1.0,0.0,0.0,14.077302780151367,14.077302780151367,0.12385804072830281,0.12385804072830281,0.9286499658256813,1.0,0.0,0.07135003417431873,1,1,0
G-103,auto_phase_c,stable_helpful_saturated,different_labels_and_theta_same_test_outcome,helpful,low_medium,chain_only,proxy_hard,13,0,0,13,50,50,50,0,0,50,1,50,2000,2000,True,2000,10,1000,50,50,50,0.014955419574705196,0.020912279097648527,0.1826436402836368,0.49143297485799825,100,100,1.0,1.0,1,11.66715861606598,0.0,11.66715861606598,11.66715861606598,0.2787781661529562,0.0,50,0,0,1.0,0.0,0.0,11.66715861606598,11.66715861606598,0.2787781661529562,0.2787781661529562,0.9286499658256813,1.0,0.0,0.07135003417431873,1,1,0
G-934,auto_phase_c,stable_harmful_saturated,different_labels_and_theta_same_test_outcome,harmful,rich,cycle_chain,proxy_hard,78,4,2,74,50,50,50,0,0,50,1,50,2000,2000,True,2000,10,1000,50,50,50,0.008827238003025038,0.03511443062904068,0.16183852030220452,0.29493207852106024,100,100,1.0,1.0,1,-2.1002508163452145,0.0,-2.1002508163452145,-2.1002508163452145,-0.03709949385516556,0.0,0,50,0,0.0,1.0,0.0,-2.1002508163452145,-2.1002508163452145,-0.03709949385516556,-0.03709949385516556,0.0,0.07135003417431873,0.9286499658256813,1.0,1,1,0
G-206,auto_phase_c,stable_harmful_saturated,different_labels_and_theta_same_test_outcome,harmful,medium_rich,cycle_chain,proxy_hard,29,6,2,23,50,50,50,0,0,50,1,50,2000,2000,True,2000,10,1000,50,50,50,0.011000421324365389,0.02164032083790844,0.3183149907593894,1.0346217306940015,100,100,1.0,1.0,1,-1.4465030841827389,0.0,-1.4465030841827389,-1.4465030841827389,-0.0380972255517035,0.0,0,50,0,0.0,1.0,0.0,-1.4465030841827389,-1.4465030841827389,-0.0380972255517035,-0.0380972255517035,0.0,0.07135003417431873,0.9286499658256813,1.0,1,1,0
G-9,auto_phase_c,exact_tie_saturated,different_labels_and_theta_same_test_outcome,neutral,rich,chain_only,proxy_hard,44,0,0,44,50,50,50,0,0,50,1,50,2000,2000,True,2000,10,1000,50,50,50,0.012141362789646235,0.015552367352020953,0.08567954629139761,0.23260883865794513,100,100,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,1,1,0
G-21,auto_phase_c,exact_tie_saturated,different_labels_and_theta_same_test_outcome,neutral,medium_rich,chain_only,high_variance,27,0,0,27,50,50,50,0,0,50,1,50,2000,2000,True,2000,10,1000,50,50,50,0.01576968875891666,0.025386147255324457,0.256271371494689,0.5004644024290381,100,100,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,1,1,0
G-31,auto_phase_c,exact_tie_saturated,different_labels_and_theta_same_test_outcome,control,medium_rich,cycle_chain,proxy_aligned,40,4,1,36,50,50,50,0,0,50,1,50,2000,2000,True,2000,10,1000,50,50,50,0.01181822787225702,0.019323454271864892,0.14455824341858814,0.20725551040346157,100,100,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,1,1,0
G-59,auto_phase_c,exact_tie_saturated,different_labels_and_theta_same_test_outcome,control,sparse_simple,cycle_chain,easy_control,7,1,0,6,50,50,50,0,0,50,1,50,2000,2000,True,2000,10,1000,50,50,50,0.010750367883225908,0.02742871914923772,0.20155177968903654,0.1435633508520418,100,100,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,1,1,0
