selection_rank,topology_id,train_seed_count,success_count,failed_count,positive_seed_count,zero_seed_count,negative_seed_count,win_rate,loss_rate,mean_2stage_gap,median_2stage_gap,mean_spoplus_gap,median_spoplus_gap,mean_spoplus_improvement_gap,median_spoplus_improvement_gap,min_spoplus_improvement_gap,max_spoplus_improvement_gap,mean_runtime_seconds,median_runtime_seconds,max_runtime_seconds,complexity_bin,structural_type,landscape_regime,screening_score,selection_reason,num_exchange_candidates,num_cycles_total,num_3cycles,num_chains_total,candidate_conflict_density,mean_candidates_per_vertex,num_distinct_oracle_solutions,oracle_solution_entropy,dominant_oracle_solution_fraction,fraction_linear_proxy_differs_from_oracle,mean_linear_proxy_normalized_gap_to_oracle,median_top1_top2_margin,mean_pairwise_oracle_jaccard
1,G-47,5,5,0,1,0,4,0.200000,0.800000,4.013136,4.015336,4.021089,4.030810,-0.007953,-0.022908,-0.067925,0.133436,258.903800,258.140000,365.344000,sparse_simple,cycle_chain,proxy_hard,0.60582025,quota_sparse_simple:cycle_chain:proxy_hard,8,1,0,7,0.7857142857142857,0.9090909090909091,4,1.1306110430243503,0.44,0.56,0.11350979713561578,2.03285,0.448989898989899
2,G-364,5,5,0,5,0,0,1.000000,0.000000,6.204017,6.204017,3.017378,2.815630,3.186639,3.388387,2.275204,3.547595,59.002000,58.627000,67.145000,sparse_simple,chain_only,proxy_hard,0.65599335,quota_sparse_simple:chain_only:proxy_hard,7,0,0,7,0.7619047619047619,0.9545454545454546,4,1.1549338889448233,0.4,0.97,0.1984270461288599,1.828899999999999,0.6127474747474747
3,G-690,5,5,0,0,5,0,0.000000,0.000000,1.541991,1.541991,1.541991,1.541991,0.000000,0.000000,0.000000,0.000000,104.410400,104.072000,152.136000,sparse_simple,cycle_chain,high_variance,0.43991391,quota_sparse_simple:cycle_chain:high_variance,6,3,2,3,0.26666666666666666,0.6363636363636364,3,0.9408915620087186,0.51,0.49,0.035891028481799446,3.0705500000000043,0.6794805194805195
4,G-535,5,5,0,4,0,1,0.800000,0.200000,0.694200,0.694533,0.679437,0.674012,0.014763,0.019504,-0.001718,0.021475,244.706000,133.975000,439.230000,sparse_simple,chain_only,high_variance,0.41702791,quota_sparse_simple:chain_only:high_variance,8,0,0,8,0.6428571428571429,0.8636363636363636,3,1.0084548029147862,0.53,0.47,0.036143527045423986,0.8948499999999981,0.6336161616161616
5,G-658,5,5,0,5,0,0,1.000000,0.000000,1.843126,1.842625,1.755878,1.741032,0.087248,0.101593,0.021467,0.108289,53.853200,49.212000,78.888000,sparse_simple,cycle_chain,neutral,0.32424705,quota_sparse_simple:cycle_chain:neutral,8,3,1,5,0.75,0.9545454545454546,3,0.5236608378573794,0.85,0.15,0.01530855523639464,1.3275000000000006,0.808
6,G-805,5,5,0,5,0,0,1.000000,0.000000,2.175757,2.173700,0.980630,0.981089,1.195127,1.192611,1.126702,1.295498,292.420000,281.391000,389.610000,sparse_simple,chain_only,neutral,0.35996301,quota_sparse_simple:chain_only:neutral,5,0,0,5,0.7,0.5454545454545454,3,0.791932514445844,0.62,0.38,0.04848129655268817,2.6697499999999996,0.6453872053872054
7,G-118,5,5,0,0,5,0,0.000000,0.000000,0.008424,0.008424,0.008424,0.008424,0.000000,0.000000,0.000000,0.000000,154.164000,135.525000,273.128000,sparse_simple,cycle_chain,proxy_aligned,0.1918827,quota_sparse_simple:cycle_chain:proxy_aligned,7,1,0,6,0.9523809523809523,0.7727272727272727,2,0.13474216817976675,0.97,0.03,0.00021058644370224285,2.0329499999999996,0.9608080808080808
8,G-227,5,5,0,0,5,0,0.000000,0.000000,0.164472,0.164472,0.164472,0.164472,0.000000,0.000000,0.000000,0.000000,56.253400,51.940000,73.645000,sparse_simple,chain_only,proxy_aligned,0.1854708,quota_sparse_simple:chain_only:proxy_aligned,8,0,0,8,0.7142857142857143,0.8636363636363636,3,0.23216582669633543,0.95,0.05,0.005483629135848732,0.015799999999998704,0.9124242424242425
9,G-59,5,5,0,0,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,92.211400,93.207000,110.173000,sparse_simple,cycle_chain,easy_control,0.17848732,quota_sparse_simple:cycle_chain:easy_control,7,1,0,6,1.0,0.9090909090909091,1,0.0,1.0,0.0,0.0,0.8242999999999991,1.0
10,G-288,5,5,0,0,5,0,0.000000,0.000000,0.002000,0.002000,0.002000,0.002000,0.000000,0.000000,0.000000,0.000000,40.609600,38.826000,49.287000,sparse_simple,chain_only,easy_control,0.13305727,quota_sparse_simple:chain_only:easy_control,8,0,0,8,0.7857142857142857,0.9090909090909091,1,0.0,1.0,0.0,0.0,0.05830000000000002,1.0
