topology_id,sample_size,candidate_id,candidate_type,length,oracle_denominator,two_stage_denominator,spoplus_denominator,oracle_selection_count,two_stage_selection_count,spoplus_selection_count,oracle_selection_rate,two_stage_selection_rate,spoplus_selection_rate,spoplus_minus_2stage_rate
G-269,100,G-269:c0000,chain,1,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0001,chain,2,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0002,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0003,chain,4,5000,5000,5000,4705,29,5000,0.941,0.0058,1.0,0.9942
G-269,100,G-269:c0004,chain,2,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0005,chain,3,5000,5000,5000,295,4971,0,0.059,0.9942,0.0,-0.9942
G-269,100,G-269:c0006,chain,1,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0007,chain,2,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0008,chain,1,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0009,chain,2,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0010,chain,3,5000,5000,5000,4705,29,5000,0.941,0.0058,1.0,0.9942
G-269,100,G-269:c0011,chain,2,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0012,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0013,chain,4,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0014,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0015,chain,4,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0016,chain,1,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0017,chain,2,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0018,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0019,chain,4,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0020,chain,4,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0021,chain,2,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0022,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0023,chain,4,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0024,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0025,chain,4,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0026,chain,2,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0027,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0028,chain,4,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0029,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0030,chain,4,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0031,chain,4,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0032,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0033,chain,4,5000,5000,5000,295,4971,0,0.059,0.9942,0.0,-0.9942
G-269,100,G-269:c0034,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0035,chain,4,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0036,chain,2,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0037,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0038,chain,1,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,100,G-269:c0039,chain,2,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,500,G-269:c0000,chain,1,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,500,G-269:c0001,chain,2,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
G-269,500,G-269:c0002,chain,3,5000,5000,5000,0,0,0,0.0,0.0,0.0,0.0
