topology_id,sample_size,two_stage_candidate_ids,spoplus_candidate_ids,case_direction,count,rate_total,mean_delta,mean_abs_delta,max_abs_delta,mean_gap_2stage,mean_gap_spoplus,dominant_oracle_candidate_ids,dominant_oracle_count,example_data_seed,example_test_sample_index,example_graph,example_abs_delta
G-269,50,G-269:c0005|G-269:c0033,G-269:c0003|G-269:c0010,beneficial_reversal,4674,0.9348,16.60500358507375,16.60500358507375,50.4042010307312,16.60500358507375,0.0,G-269:c0003|G-269:c0010,4674,101,929,G-000929.json,50.4042010307312
G-269,50,G-269:c0005|G-269:c0033,G-269:c0003|G-269:c0010,harmful_reversal,295,0.059,-3.5390508700225314,3.5390508700225314,11.343099355697632,0.0,3.5390508700225314,G-269:c0005|G-269:c0033,295,101,613,G-000613.json,11.343099355697632
G-269,100,G-269:c0005|G-269:c0033,G-269:c0003|G-269:c0010,beneficial_reversal,4676,0.9352,16.609970050555606,16.609970050555606,50.4042010307312,16.609970050555606,0.0,G-269:c0003|G-269:c0010,4676,101,929,G-000929.json,50.4042010307312
G-269,100,G-269:c0005|G-269:c0033,G-269:c0003|G-269:c0010,harmful_reversal,295,0.059,-3.5390508700225314,3.5390508700225314,11.343099355697632,0.0,3.5390508700225314,G-269:c0005|G-269:c0033,295,101,613,G-000613.json,11.343099355697632
G-269,500,G-269:c0005|G-269:c0033,G-269:c0003|G-269:c0010,beneficial_reversal,4664,0.9328,16.589744910265527,16.589744910265527,50.4042010307312,16.589744910265527,0.0,G-269:c0003|G-269:c0010,4664,101,929,G-000929.json,50.4042010307312
G-269,500,G-269:c0005|G-269:c0033,G-269:c0003|G-269:c0010,harmful_reversal,295,0.059,-3.5390508700225314,3.5390508700225314,11.343099355697632,0.0,3.5390508700225314,G-269:c0005|G-269:c0033,295,101,613,G-000613.json,11.343099355697632
G-364,50,G-364:c0000|G-364:c0003,G-364:c0000|G-364:c0006,beneficial_reversal,1445,0.289,4.650140899935396,4.650140899935396,12.238799452781677,6.640972944939425,1.9908320450040295,G-364:c0000|G-364:c0006,714,101,156,G-000156.json,12.238799452781677
G-364,50,G-364:c0000|G-364:c0003,G-364:c0000|G-364:c0006,harmful_reversal,233,0.0466,-1.2719068854663504,1.2719068854663504,3.506399631500244,3.6374274594589364,4.909334344925287,G-364:c0000|G-364:c0004,157,102,474,G-000474.json,3.506399631500244
G-364,50,G-364:c0000|G-364:c0003,G-364:c0000|G-364:c0004,beneficial_reversal,18,0.0036,6.60411661863327,6.60411661863327,13.281999945640564,6.882405512862736,0.27828889422946507,G-364:c0000|G-364:c0004,12,104,386,G-000386.json,13.281999945640564
G-364,50,G-364:c0000|G-364:c0004,G-364:c0000|G-364:c0006,harmful_reversal,3,0.0006,-11.46690034866333,11.46690034866333,11.46690034866333,0.0,11.46690034866333,G-364:c0000|G-364:c0004,3,101,912,G-000912.json,11.46690034866333
G-364,100,G-364:c0000|G-364:c0003,G-364:c0000|G-364:c0006,beneficial_reversal,2267,0.4534,4.586484430485167,4.586484430485167,12.238799452781677,6.627866305966287,2.0413818754811195,G-364:c0000|G-364:c0006,1101,101,156,G-000156.json,12.238799452781677
G-364,100,G-364:c0000|G-364:c0003,G-364:c0000|G-364:c0006,harmful_reversal,374,0.0748,-1.267435847119214,1.267435847119214,3.506399631500244,3.6771705855022776,4.944606432621492,G-364:c0000|G-364:c0004,254,102,474,G-000474.json,3.506399631500244
G-364,100,G-364:c0000|G-364:c0003,G-364:c0000|G-364:c0004,beneficial_reversal,6,0.0012,5.0967665910720825,5.0967665910720825,10.799499988555908,5.51419993241628,0.4174333413441976,G-364:c0000|G-364:c0004,3,103,94,G-000094.json,10.799499988555908
G-364,100,G-364:c0000|G-364:c0004,G-364:c0000|G-364:c0006,harmful_reversal,4,0.0008,-11.46690034866333,11.46690034866333,11.46690034866333,0.0,11.46690034866333,G-364:c0000|G-364:c0004,4,101,912,G-000912.json,11.46690034866333
G-364,500,G-364:c0000|G-364:c0003,G-364:c0000|G-364:c0006,beneficial_reversal,3696,0.7392,4.437437042239166,4.437437042239166,12.238799452781677,6.505153819305814,2.067716777066648,G-364:c0000|G-364:c0006,1763,101,156,G-000156.json,12.238799452781677
G-364,500,G-364:c0000|G-364:c0003,G-364:c0000|G-364:c0006,harmful_reversal,687,0.1374,-1.2796377202135334,1.2796377202135334,4.415900230407715,3.9020535545057604,5.181691274719294,G-364:c0000|G-364:c0004,485,104,239,G-000239.json,4.415900230407715
G-364,500,G-364:c0000|G-364:c0004,G-364:c0000|G-364:c0006,harmful_reversal,5,0.001,-11.46690034866333,11.46690034866333,11.46690034866333,0.0,11.46690034866333,G-364:c0000|G-364:c0004,5,101,912,G-000912.json,11.46690034866333
G-398,50,G-398:c0010|G-398:c0030,G-398:c0002|G-398:c0009|G-398:c0032,beneficial_reversal,5000,1.0,11.704374509096146,11.704374509096146,23.612300038337708,11.704374509096146,0.0,G-398:c0002|G-398:c0009|G-398:c0032,5000,101,837,G-000837.json,23.612300038337708
G-398,100,G-398:c0010|G-398:c0030,G-398:c0002|G-398:c0009|G-398:c0032,beneficial_reversal,5000,1.0,11.704374509096146,11.704374509096146,23.612300038337708,11.704374509096146,0.0,G-398:c0002|G-398:c0009|G-398:c0032,5000,101,837,G-000837.json,23.612300038337708
G-398,500,G-398:c0010|G-398:c0030,G-398:c0002|G-398:c0009|G-398:c0032,beneficial_reversal,5000,1.0,11.704374509096146,11.704374509096146,23.612300038337708,11.704374509096146,0.0,G-398:c0002|G-398:c0009|G-398:c0032,5000,101,837,G-000837.json,23.612300038337708
G-784,50,G-784:c0002|G-784:c0011|G-784:c0026|G-784:c0043,G-784:c0002|G-784:c0011|G-784:c0027|G-784:c0042,beneficial_reversal,4862,0.9724,11.215014809531864,11.215014809531864,25.700400590896606,12.274175817353006,1.059161007821143,G-784:c0002|G-784:c0011|G-784:c0027|G-784:c0042,3120,101,472,G-000472.json,25.700400590896606
G-784,50,G-784:c0002|G-784:c0011|G-784:c0026|G-784:c0043,G-784:c0002|G-784:c0011|G-784:c0027|G-784:c0042,harmful_reversal,46,0.0092,-1.1143782864446226,1.1143782864446226,3.0450000762939453,1.3012087137802788,2.4155870002249014,G-784:c0002|G-784:c0011|G-784:c0026|G-784:c0043,29,103,603,G-000603.json,3.0450000762939453
G-784,50,G-784:c0002|G-784:c0011|G-784:c0026|G-784:c0043,G-784:c0011|G-784:c0022|G-784:c0042,beneficial_reversal,24,0.0048,8.197249998648962,8.197249998648962,16.616199493408203,12.83457094306747,4.6373209444185095,G-784:c0002|G-784:c0011|G-784:c0027|G-784:c0042,11,101,175,G-000175.json,16.616199493408203
G-784,50,G-784:c0002|G-784:c0010|G-784:c0025|G-784:c0042,G-784:c0002|G-784:c0011|G-784:c0027|G-784:c0042,beneficial_reversal,14,0.0028,12.486371151038579,12.486371151038579,17.023299396038055,12.882335215806961,0.3959640647683825,G-784:c0003|G-784:c0040|G-784:c0042,5,101,50,G-000050.json,17.023299396038055
G-784,50,G-784:c0002|G-784:c0011|G-784:c0026|G-784:c0043,G-784:c0011|G-784:c0022|G-784:c0042,harmful_reversal,8,0.0016,-7.453149691224098,7.453149691224098,10.44760012626648,2.555887758731842,10.00903744995594,G-784:c0003|G-784:c0026|G-784:c0056,4,101,603,G-000603.json,10.44760012626648
G-784,50,G-784:c0002|G-784:c0010|G-784:c0025|G-784:c0042,G-784:c0011|G-784:c0022|G-784:c0042,beneficial_reversal,1,0.0002,4.496800094842911,4.496800094842911,4.496800094842911,10.762299925088882,6.265499830245972,G-784:c0002|G-784:c0011|G-784:c0027|G-784:c0042,1,101,282,G-000282.json,4.496800094842911
