topology_id,sample_size,total_contexts,same_decision_contexts,different_decision_contexts,different_decision_rate,beneficial_reversal_count,harmful_reversal_count,tie_reversal_count,beneficial_rate_total,harmful_rate_total,tie_rate_total,mean_delta_different,mean_abs_delta_different,max_beneficial_delta,max_harmful_abs_delta
G-269,50,5000,31,4969,0.9938,4674,295,0,0.9348,0.059,0.0,15.40908970617389,15.829303031453282,50.4042010307312,11.343099355697632
G-269,100,5000,29,4971,0.9942,4676,295,0,0.9352,0.059,0.0,15.414242597010936,15.834286856377924,50.4042010307312,11.343099355697632
G-269,500,5000,41,4959,0.9918,4664,295,0,0.9328,0.059,0.0,15.392327133458718,15.813387833864704,50.4042010307312,11.343099355697632
G-364,50,5000,3301,1699,0.3398,1463,236,0,0.2926,0.0472,0.0,3.830237018353382,4.219589584992169,13.281999945640564,11.46690034866333
G-364,100,5000,2349,2651,0.5302,2273,378,0,0.4546,0.0756,0.0,3.737552695299535,4.129773448386852,12.238799452781677,11.46690034866333
G-364,500,5000,612,4388,0.8776,3696,692,0,0.7392,0.1384,0.0,3.5242301031417376,3.9510512588071953,12.238799452781677,11.46690034866333
G-398,50,5000,0,5000,1.0,5000,0,0,1.0,0.0,0.0,11.704374509096146,11.704374509096146,23.612300038337708,0.0
G-398,100,5000,0,5000,1.0,5000,0,0,1.0,0.0,0.0,11.704374509096146,11.704374509096146,23.612300038337708,0.0
G-398,500,5000,0,5000,1.0,5000,0,0,1.0,0.0,0.0,11.704374509096146,11.704374509096146,23.612300038337708,0.0
G-670,50,5000,5000,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-670,100,5000,5000,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-670,500,5000,5000,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-784,50,5000,45,4955,0.991,4901,54,0,0.9802,0.0108,0.0,11.058033380709311,11.102790837301136,25.700400590896606,10.44760012626648
G-784,100,5000,55,4945,0.989,4890,55,0,0.978,0.011,0.0,11.035333832444508,11.086204205237939,25.700400590896606,10.44760012626648
G-784,500,5000,40,4960,0.992,4910,50,0,0.982,0.01,0.0,11.07010193500187,11.110854354783172,25.700400590896606,10.44760012626648
G-79,50,5000,3661,1339,0.2678,407,932,0,0.0814,0.1864,0.0,-3.2133206937453744,5.72245989130049,14.51019936800003,21.245499059557915
G-79,100,5000,2970,2030,0.406,608,1422,0,0.1216,0.2844,0.0,-3.3193352305536785,5.760587533985452,12.900500297546387,21.245499059557915
G-79,500,5000,2729,2271,0.4542,722,1549,0,0.1444,0.3098,0.0,-3.0516667725072986,5.655270815125283,12.900500297546387,21.245499059557915
G-836,50,5000,4830,170,0.034,66,104,0,0.0132,0.0208,0.0,-1.5532693975112017,4.418038891343509,8.59029996395111,10.81190037727356
G-836,100,5000,4838,162,0.0324,63,99,0,0.0126,0.0198,0.0,-1.5359407251263841,4.4367877186080555,8.59029996395111,10.81190037727356
G-836,500,5000,4810,190,0.038,70,120,0,0.014,0.024,0.0,-1.8217189368448758,4.435104279141677,8.59029996395111,10.81190037727356
G-970,50,5000,3018,1982,0.3964,1654,328,0,0.3308,0.0656,0.0,13.23513288976386,15.373825819698641,44.00159817934036,24.079899311065674
G-970,100,5000,2665,2335,0.467,1979,356,0,0.3958,0.0712,0.0,13.731809665725368,15.464629116571434,44.00159817934036,24.079899311065674
G-970,500,5000,2288,2712,0.5424,2295,417,0,0.459,0.0834,0.0,13.630782405095818,15.305438983822818,44.00159817934036,16.944699883461
