topology_id,left_candidate_id,right_candidate_id,shared_vertices,left_type,right_type,left_length,right_length
G-269,G-269:c0000,G-269:c0001,12|20,chain,chain,1,2
G-269,G-269:c0000,G-269:c0002,12|20,chain,chain,1,3
G-269,G-269:c0000,G-269:c0003,12|20,chain,chain,1,4
G-269,G-269:c0000,G-269:c0004,12|20,chain,chain,1,2
G-269,G-269:c0000,G-269:c0005,12|20,chain,chain,1,3
G-269,G-269:c0000,G-269:c0006,20,chain,chain,1,1
G-269,G-269:c0000,G-269:c0007,20,chain,chain,1,2
G-269,G-269:c0000,G-269:c0011,12,chain,chain,1,2
G-269,G-269:c0000,G-269:c0012,12,chain,chain,1,3
G-269,G-269:c0000,G-269:c0013,12,chain,chain,1,4
G-269,G-269:c0000,G-269:c0014,12,chain,chain,1,3
G-269,G-269:c0000,G-269:c0015,12,chain,chain,1,4
G-269,G-269:c0000,G-269:c0018,12,chain,chain,1,3
G-269,G-269:c0000,G-269:c0019,12,chain,chain,1,4
G-269,G-269:c0000,G-269:c0020,12,chain,chain,1,4
G-269,G-269:c0000,G-269:c0021,12,chain,chain,1,2
G-269,G-269:c0000,G-269:c0022,12,chain,chain,1,3
G-269,G-269:c0000,G-269:c0023,12,chain,chain,1,4
G-269,G-269:c0000,G-269:c0024,12,chain,chain,1,3
G-269,G-269:c0000,G-269:c0025,12,chain,chain,1,4
G-269,G-269:c0000,G-269:c0028,12,chain,chain,1,4
G-269,G-269:c0000,G-269:c0029,12,chain,chain,1,3
G-269,G-269:c0000,G-269:c0030,12,chain,chain,1,4
G-269,G-269:c0000,G-269:c0031,12,chain,chain,1,4
G-269,G-269:c0001,G-269:c0002,12|14|20,chain,chain,2,3
G-269,G-269:c0001,G-269:c0003,12|14|20,chain,chain,2,4
G-269,G-269:c0001,G-269:c0004,12|20,chain,chain,2,2
G-269,G-269:c0001,G-269:c0005,12|20,chain,chain,2,3
G-269,G-269:c0001,G-269:c0006,20,chain,chain,2,1
G-269,G-269:c0001,G-269:c0007,20,chain,chain,2,2
G-269,G-269:c0001,G-269:c0011,12,chain,chain,2,2
G-269,G-269:c0001,G-269:c0012,12|14,chain,chain,2,3
G-269,G-269:c0001,G-269:c0013,12|14,chain,chain,2,4
G-269,G-269:c0001,G-269:c0014,12,chain,chain,2,3
G-269,G-269:c0001,G-269:c0015,12,chain,chain,2,4
G-269,G-269:c0001,G-269:c0018,12,chain,chain,2,3
G-269,G-269:c0001,G-269:c0019,12|14,chain,chain,2,4
G-269,G-269:c0001,G-269:c0020,12,chain,chain,2,4
G-269,G-269:c0001,G-269:c0021,12,chain,chain,2,2
G-269,G-269:c0001,G-269:c0022,12|14,chain,chain,2,3
G-269,G-269:c0001,G-269:c0023,12|14,chain,chain,2,4
G-269,G-269:c0001,G-269:c0024,12,chain,chain,2,3
G-269,G-269:c0001,G-269:c0025,12,chain,chain,2,4
G-269,G-269:c0001,G-269:c0028,12,chain,chain,2,4
G-269,G-269:c0001,G-269:c0029,12,chain,chain,2,3
G-269,G-269:c0001,G-269:c0030,12|14,chain,chain,2,4
G-269,G-269:c0001,G-269:c0031,12,chain,chain,2,4
G-269,G-269:c0001,G-269:c0032,14,chain,chain,2,3
G-269,G-269:c0001,G-269:c0033,14,chain,chain,2,4
G-269,G-269:c0002,G-269:c0003,12|14|15|20,chain,chain,3,4
G-269,G-269:c0002,G-269:c0004,12|20,chain,chain,3,2
G-269,G-269:c0002,G-269:c0005,12|20,chain,chain,3,3
G-269,G-269:c0002,G-269:c0006,20,chain,chain,3,1
G-269,G-269:c0002,G-269:c0007,20,chain,chain,3,2
G-269,G-269:c0002,G-269:c0011,12,chain,chain,3,2
G-269,G-269:c0002,G-269:c0012,12|14,chain,chain,3,3
G-269,G-269:c0002,G-269:c0013,12|14|15,chain,chain,3,4
G-269,G-269:c0002,G-269:c0014,12,chain,chain,3,3
G-269,G-269:c0002,G-269:c0015,12,chain,chain,3,4
G-269,G-269:c0002,G-269:c0018,12,chain,chain,3,3
G-269,G-269:c0002,G-269:c0019,12|14,chain,chain,3,4
G-269,G-269:c0002,G-269:c0020,12,chain,chain,3,4
G-269,G-269:c0002,G-269:c0021,12,chain,chain,3,2
G-269,G-269:c0002,G-269:c0022,12|14,chain,chain,3,3
G-269,G-269:c0002,G-269:c0023,12|14|15,chain,chain,3,4
G-269,G-269:c0002,G-269:c0024,12,chain,chain,3,3
G-269,G-269:c0002,G-269:c0025,12,chain,chain,3,4
G-269,G-269:c0002,G-269:c0028,12,chain,chain,3,4
G-269,G-269:c0002,G-269:c0029,12,chain,chain,3,3
G-269,G-269:c0002,G-269:c0030,12|14,chain,chain,3,4
G-269,G-269:c0002,G-269:c0031,12,chain,chain,3,4
G-269,G-269:c0002,G-269:c0032,14,chain,chain,3,3
G-269,G-269:c0002,G-269:c0033,14|15,chain,chain,3,4
G-269,G-269:c0003,G-269:c0004,12|20|5,chain,chain,4,2
G-269,G-269:c0003,G-269:c0005,12|20|5,chain,chain,4,3
G-269,G-269:c0003,G-269:c0006,20|5,chain,chain,4,1
G-269,G-269:c0003,G-269:c0007,20|5,chain,chain,4,2
G-269,G-269:c0003,G-269:c0011,12,chain,chain,4,2
G-269,G-269:c0003,G-269:c0012,12|14,chain,chain,4,3
G-269,G-269:c0003,G-269:c0013,12|14|15,chain,chain,4,4
G-269,G-269:c0003,G-269:c0014,12|5,chain,chain,4,3
G-269,G-269:c0003,G-269:c0015,12|5,chain,chain,4,4
G-269,G-269:c0003,G-269:c0018,12,chain,chain,4,3
G-269,G-269:c0003,G-269:c0019,12|14,chain,chain,4,4
G-269,G-269:c0003,G-269:c0020,12|5,chain,chain,4,4
G-269,G-269:c0003,G-269:c0021,12,chain,chain,4,2
G-269,G-269:c0003,G-269:c0022,12|14,chain,chain,4,3
G-269,G-269:c0003,G-269:c0023,12|14|15,chain,chain,4,4
G-269,G-269:c0003,G-269:c0024,12|5,chain,chain,4,3
G-269,G-269:c0003,G-269:c0025,12|5,chain,chain,4,4
G-269,G-269:c0003,G-269:c0028,12,chain,chain,4,4
G-269,G-269:c0003,G-269:c0029,12,chain,chain,4,3
