topology_id,edge_idx,source,target,source_type,target_type,source_match_position
G-269,0,1,7,Pair,Pair,0
G-269,1,2,1,Pair,Pair,0
G-269,2,2,6,Pair,Pair,1
G-269,3,3,5,Pair,Pair,0
G-269,4,3,11,Pair,Pair,1
G-269,5,3,12,Pair,Pair,2
G-269,6,3,14,Pair,Pair,3
G-269,7,4,5,Pair,Pair,0
G-269,8,4,12,Pair,Pair,1
G-269,9,5,7,Pair,Pair,0
G-269,10,6,5,Pair,Pair,0
G-269,11,9,1,Pair,Pair,0
G-269,12,9,5,Pair,Pair,1
G-269,13,9,12,Pair,Pair,2
G-269,14,9,19,Pair,Pair,3
G-269,15,10,1,Pair,Pair,0
G-269,16,10,12,Pair,Pair,1
G-269,17,11,12,Pair,Pair,0
G-269,18,12,5,Pair,Pair,0
G-269,19,12,14,Pair,Pair,1
G-269,20,13,3,Pair,Pair,0
G-269,21,13,5,Pair,Pair,1
G-269,22,13,11,Pair,Pair,2
G-269,23,13,12,Pair,Pair,3
G-269,24,14,15,Pair,Pair,0
G-269,25,15,5,Pair,Pair,0
G-269,26,17,1,Pair,Pair,0
G-269,27,17,5,Pair,Pair,1
G-269,28,17,11,Pair,Pair,2
G-269,29,17,12,Pair,Pair,3
G-269,30,18,7,Pair,Pair,0
G-269,31,18,19,Pair,Pair,1
G-269,32,19,5,Pair,Pair,0
G-269,33,19,7,Pair,Pair,1
G-269,34,19,11,Pair,Pair,2
G-269,35,19,12,Pair,Pair,3
G-269,36,20,5,NDD,Pair,0
G-269,37,20,12,NDD,Pair,1
G-269,38,21,5,NDD,Pair,0
G-269,39,21,10,NDD,Pair,1
G-269,40,21,13,NDD,Pair,2
G-398,0,0,2,Pair,Pair,0
G-398,1,2,15,Pair,Pair,0
G-398,2,3,15,Pair,Pair,0
G-398,3,4,13,Pair,Pair,0
G-398,4,5,15,Pair,Pair,0
G-398,5,7,2,Pair,Pair,0
G-398,6,9,7,Pair,Pair,0
G-398,7,9,14,Pair,Pair,1
G-398,8,9,15,Pair,Pair,2
G-398,9,9,16,Pair,Pair,3
G-398,10,10,2,Pair,Pair,0
G-398,11,10,15,Pair,Pair,1
G-398,12,10,16,Pair,Pair,2
G-398,13,12,2,Pair,Pair,0
G-398,14,13,9,Pair,Pair,0
G-398,15,13,14,Pair,Pair,1
G-398,16,13,15,Pair,Pair,2
G-398,17,14,13,Pair,Pair,0
G-398,18,14,15,Pair,Pair,1
G-398,19,16,18,Pair,Pair,0
G-398,20,17,14,Pair,Pair,0
G-398,21,17,16,Pair,Pair,1
G-398,22,18,2,Pair,Pair,0
G-398,23,18,14,Pair,Pair,1
G-398,24,18,16,Pair,Pair,2
G-398,25,19,15,Pair,Pair,0
G-398,26,21,9,NDD,Pair,0
G-398,27,21,15,NDD,Pair,1
G-398,28,21,16,NDD,Pair,2
G-398,29,22,14,NDD,Pair,0
G-398,30,22,15,NDD,Pair,1
G-398,31,22,16,NDD,Pair,2
G-784,0,0,4,Pair,Pair,0
G-784,1,0,12,Pair,Pair,1
G-784,2,0,17,Pair,Pair,2
G-784,3,0,18,Pair,Pair,3
G-784,4,0,19,Pair,Pair,4
G-784,5,1,6,Pair,Pair,0
G-784,6,1,12,Pair,Pair,1
G-784,7,1,17,Pair,Pair,2
G-784,8,1,18,Pair,Pair,3
G-784,9,3,4,Pair,Pair,0
G-784,10,3,6,Pair,Pair,1
G-784,11,3,16,Pair,Pair,2
G-784,12,4,6,Pair,Pair,0
G-784,13,4,9,Pair,Pair,1
G-784,14,4,12,Pair,Pair,2
G-784,15,5,4,Pair,Pair,0
G-784,16,5,6,Pair,Pair,1
G-784,17,5,12,Pair,Pair,2
G-784,18,6,16,Pair,Pair,0
G-784,19,6,17,Pair,Pair,1
G-784,20,7,6,Pair,Pair,0
G-784,21,7,12,Pair,Pair,1
G-784,22,7,17,Pair,Pair,2
G-784,23,7,18,Pair,Pair,3
G-784,24,8,4,Pair,Pair,0
G-784,25,8,6,Pair,Pair,1
G-784,26,8,18,Pair,Pair,2
G-784,27,9,16,Pair,Pair,0
G-784,28,10,4,Pair,Pair,0
G-784,29,10,6,Pair,Pair,1
G-784,30,10,12,Pair,Pair,2
G-784,31,10,16,Pair,Pair,3
G-784,32,11,12,Pair,Pair,0
G-784,33,11,16,Pair,Pair,1
G-784,34,12,16,Pair,Pair,0
G-784,35,13,16,Pair,Pair,0
G-784,36,15,4,Pair,Pair,0
G-784,37,15,9,Pair,Pair,1
G-784,38,15,12,Pair,Pair,2
G-784,39,15,14,Pair,Pair,3
G-784,40,15,16,Pair,Pair,4
