topology_id,candidate_id,candidate_index,candidate_type,length,node_set,edge_set,signature
G-269,G-269:c0000,0,chain,1,20|12,37,chain:20->12
G-269,G-269:c0001,1,chain,2,20|12|14,37|19,chain:20->12->14
G-269,G-269:c0002,2,chain,3,20|12|14|15,37|19|24,chain:20->12->14->15
G-269,G-269:c0003,3,chain,4,20|12|14|15|5,37|19|24|25,chain:20->12->14->15->5
G-269,G-269:c0004,4,chain,2,20|12|5,37|18,chain:20->12->5
G-269,G-269:c0005,5,chain,3,20|12|5|7,37|18|9,chain:20->12->5->7
G-269,G-269:c0006,6,chain,1,20|5,36,chain:20->5
G-269,G-269:c0007,7,chain,2,20|5|7,36|9,chain:20->5->7
G-269,G-269:c0008,8,chain,1,21|10,39,chain:21->10
G-269,G-269:c0009,9,chain,2,21|10|1,39|15,chain:21->10->1
G-269,G-269:c0010,10,chain,3,21|10|1|7,39|15|0,chain:21->10->1->7
G-269,G-269:c0011,11,chain,2,21|10|12,39|16,chain:21->10->12
G-269,G-269:c0012,12,chain,3,21|10|12|14,39|16|19,chain:21->10->12->14
G-269,G-269:c0013,13,chain,4,21|10|12|14|15,39|16|19|24,chain:21->10->12->14->15
G-269,G-269:c0014,14,chain,3,21|10|12|5,39|16|18,chain:21->10->12->5
G-269,G-269:c0015,15,chain,4,21|10|12|5|7,39|16|18|9,chain:21->10->12->5->7
G-269,G-269:c0016,16,chain,1,21|13,40,chain:21->13
G-269,G-269:c0017,17,chain,2,21|13|11,40|22,chain:21->13->11
G-269,G-269:c0018,18,chain,3,21|13|11|12,40|22|17,chain:21->13->11->12
G-269,G-269:c0019,19,chain,4,21|13|11|12|14,40|22|17|19,chain:21->13->11->12->14
G-269,G-269:c0020,20,chain,4,21|13|11|12|5,40|22|17|18,chain:21->13->11->12->5
G-269,G-269:c0021,21,chain,2,21|13|12,40|23,chain:21->13->12
G-269,G-269:c0022,22,chain,3,21|13|12|14,40|23|19,chain:21->13->12->14
G-269,G-269:c0023,23,chain,4,21|13|12|14|15,40|23|19|24,chain:21->13->12->14->15
G-269,G-269:c0024,24,chain,3,21|13|12|5,40|23|18,chain:21->13->12->5
G-269,G-269:c0025,25,chain,4,21|13|12|5|7,40|23|18|9,chain:21->13->12->5->7
G-269,G-269:c0026,26,chain,2,21|13|3,40|20,chain:21->13->3
G-269,G-269:c0027,27,chain,3,21|13|3|11,40|20|4,chain:21->13->3->11
G-269,G-269:c0028,28,chain,4,21|13|3|11|12,40|20|4|17,chain:21->13->3->11->12
G-269,G-269:c0029,29,chain,3,21|13|3|12,40|20|5,chain:21->13->3->12
G-269,G-269:c0030,30,chain,4,21|13|3|12|14,40|20|5|19,chain:21->13->3->12->14
G-269,G-269:c0031,31,chain,4,21|13|3|12|5,40|20|5|18,chain:21->13->3->12->5
G-269,G-269:c0032,32,chain,3,21|13|3|14,40|20|6,chain:21->13->3->14
G-269,G-269:c0033,33,chain,4,21|13|3|14|15,40|20|6|24,chain:21->13->3->14->15
G-269,G-269:c0034,34,chain,3,21|13|3|5,40|20|3,chain:21->13->3->5
G-269,G-269:c0035,35,chain,4,21|13|3|5|7,40|20|3|9,chain:21->13->3->5->7
G-269,G-269:c0036,36,chain,2,21|13|5,40|21,chain:21->13->5
G-269,G-269:c0037,37,chain,3,21|13|5|7,40|21|9,chain:21->13->5->7
G-269,G-269:c0038,38,chain,1,21|5,38,chain:21->5
G-269,G-269:c0039,39,chain,2,21|5|7,38|9,chain:21->5->7
G-398,G-398:c0000,0,cycle,2,13|14,15|17,cycle:13->14->13
G-398,G-398:c0001,1,cycle,2,16|18,19|24,cycle:16->18->16
G-398,G-398:c0002,2,cycle,3,9|14|13,7|17|14,cycle:9->14->13->9
G-398,G-398:c0003,3,chain,1,21|15,27,chain:21->15
G-398,G-398:c0004,4,chain,1,21|16,28,chain:21->16
G-398,G-398:c0005,5,chain,2,21|16|18,28|19,chain:21->16->18
G-398,G-398:c0006,6,chain,3,21|16|18|14,28|19|23,chain:21->16->18->14
G-398,G-398:c0007,7,chain,4,21|16|18|14|13,28|19|23|17,chain:21->16->18->14->13
G-398,G-398:c0008,8,chain,4,21|16|18|14|15,28|19|23|18,chain:21->16->18->14->15
G-398,G-398:c0009,9,chain,3,21|16|18|2,28|19|22,chain:21->16->18->2
G-398,G-398:c0010,10,chain,4,21|16|18|2|15,28|19|22|1,chain:21->16->18->2->15
G-398,G-398:c0011,11,chain,1,21|9,26,chain:21->9
G-398,G-398:c0012,12,chain,2,21|9|14,26|7,chain:21->9->14
G-398,G-398:c0013,13,chain,3,21|9|14|13,26|7|17,chain:21->9->14->13
G-398,G-398:c0014,14,chain,4,21|9|14|13|15,26|7|17|16,chain:21->9->14->13->15
G-398,G-398:c0015,15,chain,3,21|9|14|15,26|7|18,chain:21->9->14->15
G-398,G-398:c0016,16,chain,2,21|9|15,26|8,chain:21->9->15
G-398,G-398:c0017,17,chain,2,21|9|16,26|9,chain:21->9->16
G-398,G-398:c0018,18,chain,3,21|9|16|18,26|9|19,chain:21->9->16->18
G-398,G-398:c0019,19,chain,4,21|9|16|18|14,26|9|19|23,chain:21->9->16->18->14
G-398,G-398:c0020,20,chain,4,21|9|16|18|2,26|9|19|22,chain:21->9->16->18->2
G-398,G-398:c0021,21,chain,2,21|9|7,26|6,chain:21->9->7
G-398,G-398:c0022,22,chain,3,21|9|7|2,26|6|5,chain:21->9->7->2
G-398,G-398:c0023,23,chain,4,21|9|7|2|15,26|6|5|1,chain:21->9->7->2->15
G-398,G-398:c0024,24,chain,1,22|14,29,chain:22->14
G-398,G-398:c0025,25,chain,2,22|14|13,29|17,chain:22->14->13
G-398,G-398:c0026,26,chain,3,22|14|13|15,29|17|16,chain:22->14->13->15
G-398,G-398:c0027,27,chain,3,22|14|13|9,29|17|14,chain:22->14->13->9
G-398,G-398:c0028,28,chain,4,22|14|13|9|15,29|17|14|8,chain:22->14->13->9->15
G-398,G-398:c0029,29,chain,4,22|14|13|9|16,29|17|14|9,chain:22->14->13->9->16
G-398,G-398:c0030,30,chain,4,22|14|13|9|7,29|17|14|6,chain:22->14->13->9->7
G-398,G-398:c0031,31,chain,2,22|14|15,29|18,chain:22->14->15
G-398,G-398:c0032,32,chain,1,22|15,30,chain:22->15
G-398,G-398:c0033,33,chain,1,22|16,31,chain:22->16
G-398,G-398:c0034,34,chain,2,22|16|18,31|19,chain:22->16->18
G-398,G-398:c0035,35,chain,3,22|16|18|14,31|19|23,chain:22->16->18->14
G-398,G-398:c0036,36,chain,4,22|16|18|14|13,31|19|23|17,chain:22->16->18->14->13
G-398,G-398:c0037,37,chain,4,22|16|18|14|15,31|19|23|18,chain:22->16->18->14->15
G-398,G-398:c0038,38,chain,3,22|16|18|2,31|19|22,chain:22->16->18->2
G-398,G-398:c0039,39,chain,4,22|16|18|2|15,31|19|22|1,chain:22->16->18->2->15
G-784,G-784:c0000,0,cycle,3,10|12|16,30|34|43,cycle:10->12->16->10
G-784,G-784:c0001,1,cycle,2,10|16,31|43,cycle:10->16->10
G-784,G-784:c0002,2,cycle,3,11|12|16,32|34|44,cycle:11->12->16->11
G-784,G-784:c0003,3,cycle,2,11|16,33|44,cycle:11->16->11
G-784,G-784:c0004,4,cycle,2,12|16,34|45,cycle:12->16->12
G-784,G-784:c0005,5,cycle,3,6|16|10,18|43|29,cycle:6->16->10->6
G-784,G-784:c0006,6,cycle,3,6|16|17,18|46|48,cycle:6->16->17->6
G-784,G-784:c0007,7,cycle,3,6|16|18,18|47|50,cycle:6->16->18->6
G-784,G-784:c0008,8,cycle,2,6|16,18|42,cycle:6->16->6
G-784,G-784:c0009,9,cycle,2,6|17,19|48,cycle:6->17->6
G-784,G-784:c0010,10,cycle,3,6|17|7,19|49|20,cycle:6->17->7->6
G-784,G-784:c0011,11,cycle,2,7|17,22|49,cycle:7->17->7
G-784,G-784:c0012,12,chain,1,20|12,53,chain:20->12
G-784,G-784:c0013,13,chain,2,20|12|16,53|34,chain:20->12->16
G-784,G-784:c0014,14,chain,3,20|12|16|10,53|34|43,chain:20->12->16->10
G-784,G-784:c0015,15,chain,4,20|12|16|10|4,53|34|43|28,chain:20->12->16->10->4
G-784,G-784:c0016,16,chain,4,20|12|16|10|6,53|34|43|29,chain:20->12->16->10->6
G-784,G-784:c0017,17,chain,3,20|12|16|11,53|34|44,chain:20->12->16->11
G-784,G-784:c0018,18,chain,3,20|12|16|17,53|34|46,chain:20->12->16->17
G-784,G-784:c0019,19,chain,4,20|12|16|17|6,53|34|46|48,chain:20->12->16->17->6
G-784,G-784:c0020,20,chain,4,20|12|16|17|7,53|34|46|49,chain:20->12->16->17->7
G-784,G-784:c0021,21,chain,3,20|12|16|18,53|34|47,chain:20->12->16->18
G-784,G-784:c0022,22,chain,4,20|12|16|18|6,53|34|47|50,chain:20->12->16->18->6
G-784,G-784:c0023,23,chain,3,20|12|16|6,53|34|42,chain:20->12->16->6
G-784,G-784:c0024,24,chain,4,20|12|16|6|17,53|34|42|19,chain:20->12->16->6->17
G-784,G-784:c0025,25,chain,1,20|19,54,chain:20->19
G-784,G-784:c0026,26,chain,2,20|19|14,54|51,chain:20->19->14
G-784,G-784:c0027,27,chain,1,20|6,52,chain:20->6
G-784,G-784:c0028,28,chain,2,20|6|16,52|18,chain:20->6->16
G-784,G-784:c0029,29,chain,3,20|6|16|10,52|18|43,chain:20->6->16->10
G-784,G-784:c0030,30,chain,4,20|6|16|10|12,52|18|43|30,chain:20->6->16->10->12
G-784,G-784:c0031,31,chain,4,20|6|16|10|4,52|18|43|28,chain:20->6->16->10->4
G-784,G-784:c0032,32,chain,3,20|6|16|11,52|18|44,chain:20->6->16->11
G-784,G-784:c0033,33,chain,4,20|6|16|11|12,52|18|44|32,chain:20->6->16->11->12
G-784,G-784:c0034,34,chain,3,20|6|16|12,52|18|45,chain:20->6->16->12
G-784,G-784:c0035,35,chain,3,20|6|16|17,52|18|46,chain:20->6->16->17
G-784,G-784:c0036,36,chain,4,20|6|16|17|7,52|18|46|49,chain:20->6->16->17->7
G-784,G-784:c0037,37,chain,3,20|6|16|18,52|18|47,chain:20->6->16->18
G-784,G-784:c0038,38,chain,2,20|6|17,52|19,chain:20->6->17
G-784,G-784:c0039,39,chain,3,20|6|17|7,52|19|49,chain:20->6->17->7
G-784,G-784:c0040,40,chain,4,20|6|17|7|12,52|19|49|21,chain:20->6->17->7->12
G-784,G-784:c0041,41,chain,4,20|6|17|7|18,52|19|49|23,chain:20->6->17->7->18
G-784,G-784:c0042,42,chain,1,21|14,56,chain:21->14
G-784,G-784:c0043,43,chain,1,21|6,55,chain:21->6
G-784,G-784:c0044,44,chain,2,21|6|16,55|18,chain:21->6->16
G-784,G-784:c0045,45,chain,3,21|6|16|10,55|18|43,chain:21->6->16->10
G-784,G-784:c0046,46,chain,4,21|6|16|10|12,55|18|43|30,chain:21->6->16->10->12
G-784,G-784:c0047,47,chain,4,21|6|16|10|4,55|18|43|28,chain:21->6->16->10->4
G-784,G-784:c0048,48,chain,3,21|6|16|11,55|18|44,chain:21->6->16->11
G-784,G-784:c0049,49,chain,4,21|6|16|11|12,55|18|44|32,chain:21->6->16->11->12
G-784,G-784:c0050,50,chain,3,21|6|16|12,55|18|45,chain:21->6->16->12
G-784,G-784:c0051,51,chain,3,21|6|16|17,55|18|46,chain:21->6->16->17
G-784,G-784:c0052,52,chain,4,21|6|16|17|7,55|18|46|49,chain:21->6->16->17->7
G-784,G-784:c0053,53,chain,3,21|6|16|18,55|18|47,chain:21->6->16->18
G-784,G-784:c0054,54,chain,2,21|6|17,55|19,chain:21->6->17
G-784,G-784:c0055,55,chain,3,21|6|17|7,55|19|49,chain:21->6->17->7
G-784,G-784:c0056,56,chain,4,21|6|17|7|12,55|19|49|21,chain:21->6->17->7->12
G-784,G-784:c0057,57,chain,4,21|6|17|7|18,55|19|49|23,chain:21->6->17->7->18
G-970,G-970:c0000,0,cycle,3,1|10|19,4|19|39,cycle:1->10->19->1
G-970,G-970:c0001,1,cycle,2,1|13,5|23,cycle:1->13->1
G-970,G-970:c0002,2,cycle,3,1|17|6,6|34|12,cycle:1->17->6->1
G-970,G-970:c0003,3,cycle,3,1|3|19,1|10|39,cycle:1->3->19->1
G-970,G-970:c0004,4,cycle,2,3|19,10|40,cycle:3->19->3
G-970,G-970:c0005,5,cycle,3,6|7|17,13|18|34,cycle:6->7->17->6
G-970,G-970:c0006,6,chain,1,21|13,45,chain:21->13
G-970,G-970:c0007,7,chain,2,21|13|1,45|23,chain:21->13->1
G-970,G-970:c0008,8,chain,3,21|13|1|0,45|23|0,chain:21->13->1->0
G-970,G-970:c0009,9,chain,3,21|13|1|10,45|23|4,chain:21->13->1->10
G-970,G-970:c0010,10,chain,4,21|13|1|10|19,45|23|4|19,chain:21->13->1->10->19
G-970,G-970:c0011,11,chain,3,21|13|1|17,45|23|6,chain:21->13->1->17
G-970,G-970:c0012,12,chain,4,21|13|1|17|6,45|23|6|34,chain:21->13->1->17->6
G-970,G-970:c0013,13,chain,3,21|13|1|3,45|23|1,chain:21->13->1->3
G-970,G-970:c0014,14,chain,4,21|13|1|3|19,45|23|1|10,chain:21->13->1->3->19
G-970,G-970:c0015,15,chain,4,21|13|1|3|7,45|23|1|8,chain:21->13->1->3->7
G-970,G-970:c0016,16,chain,4,21|13|1|3|8,45|23|1|9,chain:21->13->1->3->8
G-970,G-970:c0017,17,chain,3,21|13|1|8,45|23|2,chain:21->13->1->8
G-970,G-970:c0018,18,chain,3,21|13|1|9,45|23|3,chain:21->13->1->9
G-970,G-970:c0019,19,chain,1,21|17,46,chain:21->17
G-970,G-970:c0020,20,chain,2,21|17|6,46|34,chain:21->17->6
G-970,G-970:c0021,21,chain,3,21|17|6|1,46|34|12,chain:21->17->6->1
G-970,G-970:c0022,22,chain,4,21|17|6|1|0,46|34|12|0,chain:21->17->6->1->0
G-970,G-970:c0023,23,chain,4,21|17|6|1|10,46|34|12|4,chain:21->17->6->1->10
