topology_id,source_path,num_vertices,num_pairs,num_ndds,num_arcs,max_cycle,max_chain,num_2cycles,num_3cycles,num_cycles_total,num_chains_total,num_feasible_candidates,num_exchange_candidates,num_chains_len1,num_chains_len2,num_chains_len3,num_chains_len4,candidate_conflict_edges,candidate_conflict_density,mean_conflict_degree,max_conflict_degree,num_conflict_components,largest_conflict_component_fraction,num_vertices_in_any_candidate,fraction_vertices_in_any_candidate,mean_candidates_per_vertex,max_candidates_per_vertex,topology_hash,arc_order_hash,feasible_set_hash,template_path
G-0,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-0.json,22,20,2,28,3,4,0,0,0,4,4,4,2,2,0,0,6,1.0,3.0,3,1,1.0,4,0.18181818181818182,0.45454545454545453,4,9c5c1979374591bc6ece67db9fdf1d71e78907292c5cec47509448ae24dc4778,9d4744a9fee3364e028437c951f396a095ce32d1f18a40c602bb8a95acd8f7f8,9ccb2b47455d307998e011df4ad0cea4d339160b910982a05355b591b8f9238b,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-0/template.json
G-1,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-1.json,22,20,2,35,3,4,1,0,1,13,14,14,4,4,4,1,79,0.8681318681318682,11.285714285714286,13,1,1.0,9,0.4090909090909091,1.9545454545454546,12,c90d65f9eed861d5fc065512b81d669f133129d8feacaf6ea08058077e8bc4f5,983767f5a576b645610b383905851db63ce30d8efa22b7bc695317c0d787b01f,cdca3cc6dd83bce93aede70aca069eec6df0ee9c10b2a12ba86bc4900b93d877,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-1/template.json
G-2,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-2.json,22,20,2,29,3,4,1,0,1,13,14,14,5,5,3,0,73,0.8021978021978022,10.428571428571429,13,1,1.0,6,0.2727272727272727,1.7727272727272727,10,57292a4795f175b2743eef604dd2ee8924e3e7e325983671cdccc88674a04990,9a7f3a1a2ca7f2000abcdab5f3dacf7017a8b43a62a280551e43fe7e7562198f,0474bd5cf05dfcf29b2fbc8c5a49bc608f6a151c8d84e578c5327f1750245090,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-2/template.json
G-3,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-3.json,22,20,2,37,3,4,0,0,0,40,40,40,9,16,10,5,587,0.7525641025641026,29.35,38,1,1.0,12,0.5454545454545454,5.954545454545454,29,3a2e82eda70727d184f78678e512fa6a2d2886dba7d5dd9e68c85f2d2604b3b8,0b6f9b843e10d08453e7402dbf023d9d929d62cc2b78c53385004470d46bb844,4b3b0a6c9e908e01f802496e08921e78154d1f2f53aa8c6586149437e1bbae96,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-3/template.json
G-4,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-4.json,22,20,2,39,3,4,2,3,5,30,35,35,4,6,12,8,573,0.9630252100840336,32.74285714285714,34,1,1.0,10,0.45454545454545453,5.7727272727272725,33,06e897a658650abbcc15a40326996e9fca2beafb2581df778eb80c16973880eb,57e5d430a106bf1b2784f91d9937c8be46881e0d48b1af2c427fe2f388fd0275,0043f15fa075388f0c6e5d753caba3f4f01899c26ebcb0848531efca43de4286,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-4/template.json
G-5,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-5.json,22,20,2,45,3,4,0,0,0,7,7,7,6,1,0,0,15,0.7142857142857143,4.285714285714286,5,2,0.8571428571428571,8,0.36363636363636365,0.6818181818181818,6,a3fbb44b2bc7f898ce1577f648f227698ebdc893792deb32a2a560f8495aaa2e,2bf29764cb614dbb2cccca68e08a4607ba9346a467a7b0aa9f5b0d23a6f8dcf4,3dcff0f712cbdd311b60b2de8119c5a65559558844d79741c0ed6ea2b87d66ed,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-5/template.json
G-6,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-6.json,22,20,2,26,3,4,0,0,0,5,5,5,3,2,0,0,6,0.6,2.4,3,2,0.8,6,0.2727272727272727,0.5454545454545454,4,38acbbfd491b15fcc5c49491f53b70fd268561165cc59e5e7af5d99372a6a725,275b968ab18d217788cb1ab94aea22165086b291493c75ffc9519d4d90b95198,ca719b33cb6eccfd2547b0794cc21794c7c14cffe84b8eb7805a8901bc5c7920,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-6/template.json
G-7,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-7.json,22,20,2,19,3,4,0,0,0,5,5,5,5,0,0,0,6,0.6,2.4,3,2,0.8,7,0.3181818181818182,0.45454545454545453,4,5b2f3979b515724773d7ce0c11fc391a894c368988e71143ca6cc71b10b4dd18,ef14bb595c7658a200a4f0fd14c626edd2b20b68d6283d80a685ba093bd06434,cc855d88aeccdb408c9e8091c09c81c337502010bb14be235dbbab2b5a3a5e83,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-7/template.json
G-8,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-8.json,22,20,2,48,3,4,0,0,0,11,11,11,7,4,0,0,41,0.7454545454545455,7.454545454545454,9,1,1.0,8,0.36363636363636365,1.1818181818181819,9,d5d6f1f8e737be27c4ad16fa9a18c4bb781dd295b0b8e089f4997ea5b7a4452e,1369e9720f25de339b244b7fdbc49386858774f2bbbecc865d894d4e5ddb4202,266cd9ae0881b4cbed43f171e92b1f507c88b8fff67ed9c24a5d13b826f20e8f,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-8/template.json
G-9,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-9.json,22,20,2,49,3,4,0,0,0,44,44,44,10,15,11,8,779,0.8234672304439746,35.40909090909091,42,1,1.0,10,0.45454545454545453,6.7727272727272725,36,69d42e44f57ec5455fd95ef40cb58d7ff24463f46d1f76dda7367649b87a4ea1,6c824c1ca9364c6ccbeb6f627ab75874a71572f08f68ab592e1996b982626fff,7419e7117ce19fbb2ba614c10ea6dd0f516ec8b5033f1eade2680ba178ed60bd,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-9/template.json
