topology_id,source_path,num_vertices,num_pairs,num_ndds,num_arcs,max_cycle,max_chain,num_2cycles,num_3cycles,num_cycles_total,num_chains_total,num_feasible_candidates,num_exchange_candidates,num_chains_len1,num_chains_len2,num_chains_len3,num_chains_len4,candidate_conflict_edges,candidate_conflict_density,mean_conflict_degree,max_conflict_degree,num_conflict_components,largest_conflict_component_fraction,num_vertices_in_any_candidate,fraction_vertices_in_any_candidate,mean_candidates_per_vertex,max_candidates_per_vertex,topology_hash,arc_order_hash,feasible_set_hash,template_path,manifest_index,data_seed,sample_size,training_size,validation_size,test_size,theta_seed,gurobi_seed,max_epochs,metric_stride,early_stop_patience,early_stop_min_delta,protocol,regime,test_gap_2stage,test_gap_spoplus,delta,test_normalized_gap_2stage,test_normalized_gap_spoplus,normalized_improvement_pp,two_stage_early_stop_triggered,spoplus_early_stop_triggered,two_stage_stopped_epoch,spoplus_stopped_epoch,weak_label_class,weak_label,weak_label_threshold,label_protocol,test_hash,train_prefix_hash,validation_hash,selection_category,selection_category_index,seed42_normalized_improvement_pp,seed42_test_normalized_gap_2stage,seed42_test_normalized_gap_spoplus,reference_test_seed,repeat_manifest_index
G-751,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-751.json,22,20,2,9,3,4,0,0,0,2,2,2,2,0,0,0,0,0.0,0.0,0,2,0.5,4,0.18181818181818182,0.18181818181818182,1,510d7ac5b00e7e0db39b0f6e8cf9b0c773461512d2d336cd4f417deb4729b9c3,146e5a279c6019ea2da3795468934d22883801b0f8c6290dda96509bea0431d6,0bc13d15ce259899b8d6e4d5792d174fbce775cbed58c8abc8bcaf76c1448fb1,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-751/template.json,751,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.0,0.0,0.0,0.0,0.0,0.0,True,True,2163,66,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,f6d0d87504d5fe6b841f48d70ad7aaf75e7cce776f6e84b09effe205453d43ce,71a5d3ab186d424b5ecf3241747b995df75b0877120d8bf8e4709b95ef8672fe,ece558d7093c7996f6d17b1bdf812f747cb98a60c2bd9f7e17529b4f40952ecb,ceiling_zero,0,0.0,0.0,0.0,42,0
G-53,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-53.json,22,20,2,34,3,4,0,0,0,2,2,2,2,0,0,0,0,0.0,0.0,0,2,0.5,4,0.18181818181818182,0.18181818181818182,1,07a05bdde5ee2ed0ca6edde1d6b704b3a6778aa250e3208c57f06813eb6b7813,8d0c603973beeedcb41e761fad2e58361a12cae444df27e10c6ee2a538f5b2cb,adca81cdfae56fc561455ecadd7e69736242c3e4356da0e29cb32bfefc0493fa,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-53/template.json,53,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.0,0.0,0.0,0.0,0.0,0.0,True,True,1023,164,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,ac19628b5d01bf756228d78790f243fc7197c4f4e3eccf4fc5f928fc25cb0abc,e417f3441ca45e9951236c1a69c8df2100799373c25f3f72a77a08b437c75f75,8737db27f62fc72c2fd7c22df6c14763add64e2195cc60f28144092bf423ab58,ceiling_zero,1,0.0,0.0,0.0,42,1
G-702,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-702.json,22,20,2,26,3,4,0,0,0,3,3,3,3,0,0,0,1,0.3333333333333333,0.6666666666666666,1,2,0.6666666666666666,5,0.22727272727272727,0.2727272727272727,2,47ab571c0cc0e2ca03bb5e5aff5fb47907db80c504a42a1e9a3bc1f485404a3e,511529ec281c450f68d07de271b22937efbfbed5afde75aae8bff60d6520030a,5130cdd35bcdae0c84b6208f5f1c4af95e737499088a65c1e9d0d0326209f805,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-702/template.json,702,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.0,0.0,0.0,0.0,0.0,0.0,True,True,926,609,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,de4d1bee5484742f9b1e853fa6d53661f92260296075525b391ad1da65ed1696,5c92a34d6c2be3f359a6124c9df4ba7f2fa6ebec6f2f52850509ca21d293c79d,20dd4de6ef6f82a32496a39dd3747cf22b488e4eefdd7ee6342831ba72c88b13,ceiling_zero,2,0.0,0.0,0.0,42,2
G-216,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-216.json,22,20,2,28,3,4,0,0,0,3,3,3,2,1,0,0,2,0.6666666666666666,1.3333333333333333,2,1,1.0,4,0.18181818181818182,0.3181818181818182,2,9d154a1a3218dfcd0d40a6be9142cc4160c0dfe396d027992fac4fd78d2a69f0,7502c3d8e9202aaec08ae857cf0a8a5c73a424a1022e18ed67dabb87e795d375,9027fee58340ea55d620f619ba94b43bca631a0edcd89782dc8e8bccd4d338f3,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-216/template.json,216,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.0,0.0,0.0,0.0,0.0,0.0,True,True,533,75,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,b8efe25a58550bb245e56bcf29a46ea6b2584741f07e076181ab60603effced0,1c6f4eed42ddc250accc529020b9f034e660bfa03efb73084d82fa1a73194281,60acb3cae7d1d7a6cbf0998dbf3e21dd817449b3eacaf2220286f387c7448be4,ceiling_zero,3,0.0,0.0,0.0,42,3
G-852,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-852.json,22,20,2,26,3,4,0,0,0,4,4,4,3,1,0,0,3,0.5,1.5,2,1,1.0,5,0.22727272727272727,0.4090909090909091,2,c46eb572e06f10c5b44d941b8c94286e1315233d22b557ef5a0aa0b27a4eb585,e86400c1975cccef1ab63e32f442954a77a0124080e0d88c4b1b036f7101e16d,ca83eced3e2b9ff27d1624ebaf0328a72fa31671ca8938130b95c919734ea5d4,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-852/template.json,852,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.0,0.0,0.0,0.0,0.0,0.0,True,True,1192,138,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,74e8532bef76a56b61b9b59975042eada5834bc8f13e73d91172ac2c13f6b56b,2f705c8cf3302ba6f83cabac9126db143abeb7260d4a359f8b9462fc38796b5c,6346cc786d1f12c695b3fc32f08c968f9eee419d683b88752143ca525978c6cd,ceiling_zero,4,0.0,0.0,0.0,42,4
G-863,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-863.json,22,20,2,24,3,4,0,0,0,5,5,5,3,1,1,0,4,0.4,1.6,2,2,0.6,7,0.3181818181818182,0.5909090909090909,3,50b08d3e2419c861aa5c86f0520c08c8efb7a3bf6e08a1b80bb45fc1d340b48a,ae0e94d34fdcacaa38049cb607f8288ff5a08d7e192b2530e66c22ee716ba08b,fad1ed4ff13c691d10155bc99559c7f6f70e179251bfc5c57ad9d7d9026b86ec,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-863/template.json,863,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.0,0.0,0.0,0.0,0.0,0.0,True,True,1058,278,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,5f83963082ac500a621584a54aeff756dd5ac0cfebed50b8ddb0be8b48e7bba0,dc85a20857718f9def60fd49a1af2544720288c5973d673a26d50e88869290e6,fb4fc6a916bab2366ec7686af348167dd5a71354e1408aed2f6464037548fa26,ceiling_zero,5,0.0,0.0,0.0,42,5
G-434,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-434.json,22,20,2,23,3,4,0,0,0,6,6,6,3,1,2,0,10,0.6666666666666666,3.3333333333333335,4,2,0.8333333333333334,7,0.3181818181818182,0.7727272727272727,5,92e737ae6dd3286abd63ff5dce35d4814646cca27b6c477b3592bdda79a16ed0,3957c57e0dfb984b28c8ac024d240ee62336f789c694d0b9cc07d4b29a258f6a,854432e2ee613d7d7771c6cdae01216e51aab20ccf9a42103268304517005c67,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-434/template.json,434,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.0,0.0,0.0,0.0,0.0,0.0,True,True,634,193,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,f4838fac5aa894f734671e28e86367e4c58a534978eb5c975b158bef012f5872,3563a1d760103c0ad0192bcfcc8da57fc343d7a24b97075c99565327bda113e5,4e302cfb6ccce402bcbcc24786496b36ead6c4db578d9f45de7b80076516cdc7,ceiling_zero,6,0.0,0.0,0.0,42,6
G-848,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-848.json,22,20,2,28,3,4,1,0,1,7,8,8,3,3,1,0,22,0.7857142857142857,5.5,7,1,1.0,7,0.3181818181818182,0.9545454545454546,6,ff57dee3b399ecb4890f0965c876ae647baff9e479f3c1605475ecce44ded5aa,2b8d85a94db7e945317d9b6b7a2de07699e45805e8db6c3f198217038511deee,dc1e50789e8f606ca3e94d9eb4c4279d59d6d3c57701a6e79e2ea6d287713969,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-848/template.json,848,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.0,0.0,0.0,0.0,0.0,0.0,True,True,745,223,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,f094eeee4c8db8c244ffbe161efa992b00abac57a822b74332b7f36482712516,8ff71a8f026d405a3c27df0ef307d2509a62fab0d6fe856bb6c490764f05b35d,959a3f26fa46a5afcbfb2d27b5f7eb00f5ea6f86a7d2455dbfa94a0a7b604e4c,ceiling_zero,7,0.0,0.0,0.0,42,7
G-620,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-620.json,22,20,2,40,3,4,0,0,0,13,13,13,3,4,4,2,67,0.8589743589743589,10.307692307692308,12,1,1.0,8,0.36363636363636365,2.0,12,8ec254cf1681d529e707394175bb77bd65db88943acbf2ca4ec7414318fcb21a,3b6c2cb656144b81eed50afd0f2c833f926d6cd6133a469faeeb461e70a28c52,41ccc21db1461b5a5f8253b4245efd77c57a25792275d0f83417f5d1df9e06fa,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-620/template.json,620,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.0,0.0,0.0,0.0,0.0,0.0,True,True,1106,220,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,4deb6403804ec176b3faf8fff2dc7da76b6c05a0e80aac35c81aa4cca35b2fe0,07caed06373daa272e7ace1d85ba52c8f980af7f204575876e7a3300c3b9c6ee,e2aa0c83014da59650820470d6d91003d1943d273db3e2437136972695ac1770,ceiling_zero,8,0.0,0.0,0.0,42,8
G-317,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-317.json,22,20,2,58,3,4,4,1,5,38,43,43,6,12,14,6,839,0.929125138427464,39.02325581395349,42,1,1.0,8,0.36363636363636365,6.590909090909091,37,aa6c42aef8b37aff3bb79ca8bd6f4a9168f3c490e4155e8e3fae91a7b9ee96e9,396cc2efd8cbed8febb26efae545795b8f693f15368f51098c619a9283a886fb,6d066c4070a5311766b60d497d8460a5ee2020b6eca462a93858a2324382f282,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-317/template.json,317,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.0,0.0,0.0,0.0,0.0,0.0,True,True,545,347,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,3f75d2254ae6959a6f47cdfc91751766ba004aee544f643f7e11b250150739fa,c24f3f903eeaed2c275c537f4d61f581e40e270299f4301330b50aec56f9c70c,c0bcd50850eb6b445ecb6392526f35f233d3a2df511a978953747fde9051eafa,ceiling_zero,9,0.0,0.0,0.0,42,9
G-427,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-427.json,22,20,2,16,3,4,0,0,0,2,2,2,2,0,0,0,1,1.0,1.0,1,1,1.0,3,0.13636363636363635,0.18181818181818182,2,dc578d85caf83bd3c849407a17ed1ff53aee423541c13a625de1cd122c633da3,6006c92b4ee5bb0a4df500fe5621f71de2a950fba5858ab74ed1d144eda34891,a5931554f964d443eb9963bb916e2395c2e0c1fd67c4a6ba1fa09632cde6cccc,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-427/template.json,427,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.00021029996871948242,0.00021029996871948242,0.0,8.030700975044011e-05,8.030700975044011e-05,0.0,True,True,1639,156,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,77340bea1051537d3e1f4521ec34b1d84cfe52ff6adbe156ad2592398c8ef717,fb76c42b89f734eb9cc04c6d4a5a26813eba727c7fb9980e075b6749c210218d,36a9dea80401e105df556eb2e7872ac86a07d8070ba4079525365dddfeeab74a,nonzero_gap_plateau,0,0.0,8.030700975044011e-05,8.030700975044011e-05,42,10
