topology_id,source_path,num_vertices,num_pairs,num_ndds,num_arcs,max_cycle,max_chain,num_2cycles,num_3cycles,num_cycles_total,num_chains_total,num_feasible_candidates,num_exchange_candidates,num_chains_len1,num_chains_len2,num_chains_len3,num_chains_len4,candidate_conflict_edges,candidate_conflict_density,mean_conflict_degree,max_conflict_degree,num_conflict_components,largest_conflict_component_fraction,num_vertices_in_any_candidate,fraction_vertices_in_any_candidate,mean_candidates_per_vertex,max_candidates_per_vertex,topology_hash,arc_order_hash,feasible_set_hash,template_path,manifest_index,data_seed,sample_size,training_size,validation_size,test_size,theta_seed,gurobi_seed,max_epochs,metric_stride,early_stop_patience,early_stop_min_delta,protocol,regime,test_gap_2stage,test_gap_spoplus,delta,test_normalized_gap_2stage,test_normalized_gap_spoplus,normalized_improvement_pp,two_stage_early_stop_triggered,spoplus_early_stop_triggered,two_stage_stopped_epoch,spoplus_stopped_epoch,weak_label_class,weak_label,weak_label_threshold,label_protocol,test_hash,train_prefix_hash,validation_hash
G-0,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-0.json,22,20,2,28,3,4,0,0,0,4,4,4,2,2,0,0,6,1.0,3.0,3,1,1.0,4,0.18181818181818182,0.45454545454545453,4,9c5c1979374591bc6ece67db9fdf1d71e78907292c5cec47509448ae24dc4778,9d4744a9fee3364e028437c951f396a095ce32d1f18a40c602bb8a95acd8f7f8,9ccb2b47455d307998e011df4ad0cea4d339160b910982a05355b591b8f9238b,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-0/template.json,0,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.0,0.0,0.0,0.0,0.0,0.0,True,True,793,384,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,9ca047d9d14ce29e8f22a6d8c217f7f05c592c930976dd846ccafea8444235ce,57aa748e91934381c8980a646d76da015dc3fda8f80ebd3246cff8c0b9bd726d,5c802fa380e8832d8436e91d6ccd028491ff233728f4a180ceeb72fd54622b43
G-1,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-1.json,22,20,2,35,3,4,1,0,1,13,14,14,4,4,4,1,79,0.8681318681318682,11.285714285714286,13,1,1.0,9,0.4090909090909091,1.9545454545454546,12,c90d65f9eed861d5fc065512b81d669f133129d8feacaf6ea08058077e8bc4f5,983767f5a576b645610b383905851db63ce30d8efa22b7bc695317c0d787b01f,cdca3cc6dd83bce93aede70aca069eec6df0ee9c10b2a12ba86bc4900b93d877,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-1/template.json,1,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,2.745776218414307,2.6974915199279783,0.04828469848632855,0.06714453173906901,0.06587672225234871,0.12678094867202977,True,True,646,190,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,742ef8396d861ebc5d65e616ba4345cce434d2b1d29d4d40c19c8e6adcca7a19,8cc64e11156887cc4c9c8d985bcdc6d356612f4041c41cb483c1fc1fa0242327,b4cc1aac6e8e60915b28c81e38cf87b3b07375c8037824578b38a73cb882ea92
G-2,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-2.json,22,20,2,29,3,4,1,0,1,13,14,14,5,5,3,0,73,0.8021978021978022,10.428571428571429,13,1,1.0,6,0.2727272727272727,1.7727272727272727,10,57292a4795f175b2743eef604dd2ee8924e3e7e325983671cdccc88674a04990,9a7f3a1a2ca7f2000abcdab5f3dacf7017a8b43a62a280551e43fe7e7562198f,0474bd5cf05dfcf29b2fbc8c5a49bc608f6a151c8d84e578c5327f1750245090,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-2/template.json,2,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,1.976336582183838,1.2623938961029053,0.7139426860809326,0.07914920461491405,0.051823816370553964,2.7325388244360087,True,True,371,273,helpful,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,fbd26f43ea2ada3c5a12b92796279e2f59f08049c9045e621624337034eb78dd,fa6eb25997242954bead737407e8897746b6ffe11e1f1c742f0df66e4d9130aa,c8eab1a3547a848ccdc3e8be6a225de17c91d0b6ba5e378bc522ffc59aa5413f
G-3,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-3.json,22,20,2,37,3,4,0,0,0,40,40,40,9,16,10,5,587,0.7525641025641026,29.35,38,1,1.0,12,0.5454545454545454,5.954545454545454,29,3a2e82eda70727d184f78678e512fa6a2d2886dba7d5dd9e68c85f2d2604b3b8,0b6f9b843e10d08453e7402dbf023d9d929d62cc2b78c53385004470d46bb844,4b3b0a6c9e908e01f802496e08921e78154d1f2f53aa8c6586149437e1bbae96,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-3/template.json,3,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.8696651382446289,0.8696651382446289,0.0,0.010614669517101301,0.010614669517101301,0.0,True,True,396,813,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,f81ff10578e5408507cc5e0e21695b0c21dec75b1f7d6a03b308dcb63f57c45d,17df5fe957e6845d724d3b5144bf4d2cfb6038d1068eccba5940310c4bf8d26e,f9769bda0f030962375d3b40c42451442d2fbc6e88648dcd71c800a0d87480f3
G-4,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-4.json,22,20,2,39,3,4,2,3,5,30,35,35,4,6,12,8,573,0.9630252100840336,32.74285714285714,34,1,1.0,10,0.45454545454545453,5.7727272727272725,33,06e897a658650abbcc15a40326996e9fca2beafb2581df778eb80c16973880eb,57e5d430a106bf1b2784f91d9937c8be46881e0d48b1af2c427fe2f388fd0275,0043f15fa075388f0c6e5d753caba3f4f01899c26ebcb0848531efca43de4286,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-4/template.json,4,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,1.3787116813659668,1.3787116813659668,0.0,0.021706595179583874,0.021706595179583874,0.0,True,True,724,3350,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,68fe03cb1a307ae85d8026c732a1b9e5fe793ad18a1c19f383e88d4a0c2b23c2,02fa258d1f86958bf4857e4879d4b7cee3cd86d56a3c6a7876f53a73f6836b8a,a73c34708ffdbb1a7726ff149f9e1dca67162c5aadc64a71d5b41b5e273a83fc
G-5,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-5.json,22,20,2,45,3,4,0,0,0,7,7,7,6,1,0,0,15,0.7142857142857143,4.285714285714286,5,2,0.8571428571428571,8,0.36363636363636365,0.6818181818181818,6,a3fbb44b2bc7f898ce1577f648f227698ebdc893792deb32a2a560f8495aaa2e,2bf29764cb614dbb2cccca68e08a4607ba9346a467a7b0aa9f5b0d23a6f8dcf4,3dcff0f712cbdd311b60b2de8119c5a65559558844d79741c0ed6ea2b87d66ed,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-5/template.json,5,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,1.184859299659729,1.1805630989074707,0.004296200752258228,0.10662246993707605,0.10657738739238852,0.004508254468753303,True,True,364,433,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,f2bdd31699586f08cc8989d3d25e5ddd855c70b818401bcbd59eb475d1ae4e98,746386a3d59957eddbb5ee1538ea5e53dd20314ee12576b4c4d6190ecd83ac22,671ae6ab3866e735ea109b0a57e31a9da6d09236642c9441894f59c0ef96dfd9
G-6,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-6.json,22,20,2,26,3,4,0,0,0,5,5,5,3,2,0,0,6,0.6,2.4,3,2,0.8,6,0.2727272727272727,0.5454545454545454,4,38acbbfd491b15fcc5c49491f53b70fd268561165cc59e5e7af5d99372a6a725,275b968ab18d217788cb1ab94aea22165086b291493c75ffc9519d4d90b95198,ca719b33cb6eccfd2547b0794cc21794c7c14cffe84b8eb7805a8901bc5c7920,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-6/template.json,6,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.4597822904586792,0.4597822904586792,0.0,0.030754116678903258,0.030754116678903258,0.0,True,True,919,90,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,eeb7efb55455d89ee1ffb2e2403b7ff7c3571ac6e970a72ea5d2e0931d233862,77fb64ac520a235a608666fbcca2606f8ee8b9ed6f884e1de0c1d3d5e06ab74b,5f8c1471840a6aa375d848a0568fdbe2674cbf5cd9fffc42e7ac3232a3d055cd
G-7,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-7.json,22,20,2,19,3,4,0,0,0,5,5,5,5,0,0,0,6,0.6,2.4,3,2,0.8,7,0.3181818181818182,0.45454545454545453,4,5b2f3979b515724773d7ce0c11fc391a894c368988e71143ca6cc71b10b4dd18,ef14bb595c7658a200a4f0fd14c626edd2b20b68d6283d80a685ba093bd06434,cc855d88aeccdb408c9e8091c09c81c337502010bb14be235dbbab2b5a3a5e83,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-7/template.json,7,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.01336820125579834,0.01336820125579834,0.0,0.0007483958270603542,0.0007483958270603542,0.0,True,True,820,191,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,bd2ce362fef6e22be8e6fa960a12c8f4337144ac8cc5e3b28d6af9e6f71ca9fb,099e8c2d7c28dab62aec7bd1d30a7f8d4d0dd908a23dba49d912b3d1c448f46c,1410503ed995d7da07568bbcafc86ee344e43c20e4d8eca8fe012760032f726c
G-8,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-8.json,22,20,2,48,3,4,0,0,0,11,11,11,7,4,0,0,41,0.7454545454545455,7.454545454545454,9,1,1.0,8,0.36363636363636365,1.1818181818181819,9,d5d6f1f8e737be27c4ad16fa9a18c4bb781dd295b0b8e089f4997ea5b7a4452e,1369e9720f25de339b244b7fdbc49386858774f2bbbecc865d894d4e5ddb4202,266cd9ae0881b4cbed43f171e92b1f507c88b8fff67ed9c24a5d13b826f20e8f,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-8/template.json,8,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,5.315319886207581,2.6501809368133546,2.665138949394226,0.14575406258061238,0.07810840685588946,6.764565572472292,True,True,542,352,helpful,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,a1ddbf50ae0c2aec9f29101ff8379b98a63b1c6f651490f9345093e4d7f2dcb9,a4323366ee2fde4cfb7f85cf5cb43676ef0e4a46e473461d489bb016a70313b4,cf066d53df1466744cbde810b243f7047071ba212b2ae8c15cb9510395135077
G-9,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-9.json,22,20,2,49,3,4,0,0,0,44,44,44,10,15,11,8,779,0.8234672304439746,35.40909090909091,42,1,1.0,10,0.45454545454545453,6.7727272727272725,36,69d42e44f57ec5455fd95ef40cb58d7ff24463f46d1f76dda7367649b87a4ea1,6c824c1ca9364c6ccbeb6f627ab75874a71572f08f68ab592e1996b982626fff,7419e7117ce19fbb2ba614c10ea6dd0f516ec8b5033f1eade2680ba178ed60bd,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-9/template.json,9,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,5.400723930358887,0.6405988159179687,4.7601251144409185,0.08651416813271788,0.010424515248503961,7.608965288421392,True,True,1100,849,helpful,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,7ee1b1cd00b04842e5f25317cb9432dd805b384481bfabd6ea6e8638cecb0efa,892cb6f073656fbe09a9df327a73ed27a6021df325475cc846a20c010d0272ba,8b834480edc4d29b2375cacfca9e3a670d124f0e97f72c948fe50ab548b5f606
G-10,dataset/processed/step3_pairs20_ndd2_step2c_poly_d8_mult_eps050_seed20260619/G-10.json,22,20,2,28,3,4,0,0,0,6,6,6,4,2,0,0,13,0.8666666666666667,4.333333333333333,5,1,1.0,4,0.18181818181818182,0.6363636363636364,4,0c0a620d00943828930494467f2caacb8ccbac2080ebfd7e6bf724cb323c4564,02edef9e407f674b6cdf2d5f41cb306da13d8c22a0884d757e9a9267c9378fe3,3c34685abb58838c7bc432d7ad90dde3ca3f7b0717758fbae0e16297f7076838,surrogate_experiment_results/Step3/pairs20_ndd2/data/topologies/G-10/template.json,10,42,50,40,10,1000,42,42,10000,1,20,0.0001,screen,step2c_poly_d8_mult_eps050,0.023285998344421386,0.023285998344421386,0.0,0.0019205274024934067,0.0019205274024934067,0.0,True,True,415,574,near_neutral,True,0.1,delta=test_gap_2stage-test_gap_spoplus; helpful if delta>0.1; harmful if delta<-0.1; near_neutral if abs(delta)<=0.1; weak_label=true,c16455303a0edd6a46a4edade1da424e2a4563b9d538244f8c81a2f4a032b0eb,9dba6f2c1df7d6b06be7e8c679bbe4de76cb4fa639b28c1e926f6bda9ae73b83,b649d7df2bc3a4312313d56f6ef2e43f03fc3f397c7e7d29b082c3204984a9ea
