metric,graph_count,min,median,p90,p95,max
strict_case_c_rate,400,0.0,0.0,0.0,0.06099999999999909,1.0
strong_case_c_rate,400,0.0,0.0,0.0,0.0,1.0
spo_better_rate,400,0.0,0.0,1.0,1.0,1.0
meaningful_spo_benefit_rate,400,0.0,0.0,0.76,1.0,1.0
correction_rate,400,0.0,0.0,0.0,0.0,1.0
exact_rank2_promotion_rate,400,0.0,0.0,0.0,0.0,1.0
topk_promotion_rate,400,0.0,0.0,0.8020000000000005,1.0,1.0
mean_delta_pp,400,-13.915888328386483,0.0,6.13153290443673,10.1182791660573,35.3744123424915
median_delta_pp,400,-14.989744070469142,0.0,6.2141842084982715,10.695232740763592,35.37441234249151
median_two_stage_rank1_gap_pct,400,0.0,6.9759261002211606,18.980662526911313,24.524939631860867,40.060497899451654
median_spoplus_rank1_gap_pct,400,0.0,6.376544825180833,17.230261453119063,19.981129929930834,40.060497899451654
median_two_stage_rank2_gap_pct,400,0.0,8.271662071624181,20.789320089332282,25.10672192775389,39.83338796684818
