graph_id,metric,value,percentile_midrank,percentile_leq,rank_desc,tie_count,graph_count
G-392.json,strict_case_c_rate,1.0,98.625,100.0,1,11,400
G-392.json,strong_case_c_rate,1.0,99.625,100.0,1,3,400
G-392.json,spo_better_rate,1.0,89.25,100.0,1,86,400
G-392.json,meaningful_spo_benefit_rate,1.0,96.0,100.0,1,32,400
G-392.json,correction_rate,1.0,99.25,100.0,1,6,400
G-392.json,exact_rank2_promotion_rate,0.0,49.125,98.25,8,393,400
G-392.json,topk_promotion_rate,0.0,40.0,80.0,81,320,400
G-392.json,mean_delta_pp,24.178560594577892,99.625,99.75,2,1,400
G-392.json,median_delta_pp,24.178560594577878,99.625,99.75,2,1,400
G-392.json,median_two_stage_rank1_gap_pct,25.011699943374456,95.375,95.5,19,1,400
G-392.json,median_spoplus_rank1_gap_pct,0.8331393487965799,19.625,19.75,322,1,400
G-392.json,median_two_stage_rank2_gap_pct,28.626080871423593,97.375,97.5,11,1,400
G-1560.json,strict_case_c_rate,1.0,98.625,100.0,1,11,400
G-1560.json,strong_case_c_rate,1.0,99.625,100.0,1,3,400
G-1560.json,spo_better_rate,1.0,89.25,100.0,1,86,400
G-1560.json,meaningful_spo_benefit_rate,1.0,96.0,100.0,1,32,400
G-1560.json,correction_rate,0.18,97.375,97.5,11,1,400
G-1560.json,exact_rank2_promotion_rate,0.82,99.625,99.75,2,1,400
G-1560.json,topk_promotion_rate,1.0,95.875,100.0,1,33,400
G-1560.json,mean_delta_pp,35.3744123424915,99.875,100.0,1,1,400
G-1560.json,median_delta_pp,35.37441234249151,99.875,100.0,1,1,400
G-1560.json,median_two_stage_rank1_gap_pct,35.88596294919519,99.125,99.25,4,1,400
G-1560.json,median_spoplus_rank1_gap_pct,0.5115506067036782,16.875,17.0,333,1,400
G-1560.json,median_two_stage_rank2_gap_pct,0.5115506067036782,10.625,10.75,358,1,400
