case_id,case_label,subset_seed,base_graph_id,variant_id,variant_graph_path,density_variant,arc_delta_type,original_num_arcs,variant_num_arcs,arc_delta,added_arc_count,removed_arc_count,added_arc_keys,removed_arc_keys,perturb_seed,generation_policy,label_policy,added_arc_source_policy,added_arc_label_policy,removed_arc_policy,new_arc_label_mean,existing_arc_label_mean
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__original__seed42,surrogate_experiment_results/decision_analysis/results/density_sensitivity/graphs/G-696__original__seed42.json,original,none,252,252,0,0,0,,,42,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25pct__seed42,surrogate_experiment_results/decision_analysis/results/density_sensitivity/graphs/G-696__add25pct__seed42.json,add25pct,add_fraction,252,315,63,63,0,0->18|1->40|3->5|5->19|5->48|8->0|9->24|10->24|10->50|11->20|12->3|13->9|13->30|14->13|17->52|18->5|18->32|19->4|21->0|21->30|22->12|22->33|23->17|24->5|24->8|25->33|25->37|28->12|28->52|30->5|31->52|32->12|32->26|32->49|33->12|36->23|37->7|37->31|37->40|38->11|39->0|40->20|40->45|43->5|44->28|44->29|45->1|45->16|45->39|45->49|47->5|47->27|47->50|50->24|51->24|53->20|53->29|53->32|64->5|64->7|65->27|66->6|66->23,,42,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,11.37110952380952,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25arcs__seed42,surrogate_experiment_results/decision_analysis/results/density_sensitivity/graphs/G-696__add25arcs__seed42.json,add25arcs,add_fixed,252,277,25,25,0,0->39|2->37|2->49|4->19|6->36|13->31|14->39|18->29|24->49|27->0|27->10|28->29|31->51|32->52|35->28|39->53|43->22|44->30|45->11|51->7|51->16|52->24|65->31|66->5|66->10,,42,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,9.870372000000001,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25arcs__seed42,surrogate_experiment_results/decision_analysis/results/density_sensitivity/graphs/G-696__remove25arcs__seed42.json,remove25arcs,remove_fixed,252,227,-25,0,25,,3->28|3->33|4->44|5->0|13->7|13->53|17->2|17->5|19->35|20->1|20->37|20->52|21->35|25->7|27->44|28->5|28->53|29->35|31->38|40->44|40->48|45->53|48->44|52->20|66->53,42,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25pct__seed42,surrogate_experiment_results/decision_analysis/results/density_sensitivity/graphs/G-696__remove25pct__seed42.json,remove25pct,remove_fraction,252,189,-63,0,63,,4->7|6->35|8->11|8->33|8->44|8->48|10->6|10->29|12->35|12->37|13->2|13->11|13->22|13->44|13->47|14->2|14->48|16->53|17->6|17->7|17->35|19->0|20->7|20->11|20->48|20->52|20->53|22->37|22->44|23->0|23->11|23->35|23->53|24->44|24->53|25->7|27->53|28->44|28->53|29->23|29->53|30->22|31->2|31->7|31->11|33->7|33->44|35->44|37->35|37->48|40->48|43->48|45->53|50->7|50->44|51->43|51->53|52->11|52->20|52->28|65->53|66->29|66->44,42,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__original__seed42,surrogate_experiment_results/decision_analysis/results/density_sensitivity/graphs/G-392__original__seed42.json,original,none,296,296,0,0,0,,,42,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__add25pct__seed42,surrogate_experiment_results/decision_analysis/results/density_sensitivity/graphs/G-392__add25pct__seed42.json,add25pct,add_fraction,296,370,74,74,0,0->8|1->49|2->17|2->24|2->26|2->34|3->11|4->39|5->45|9->8|10->3|11->22|11->36|12->11|12->33|12->46|14->16|17->6|17->27|18->32|18->43|20->8|20->10|20->27|21->6|21->12|21->20|22->12|22->40|24->1|24->6|25->42|26->17|28->3|30->14|30->42|30->43|30->45|31->5|31->51|32->19|32->49|33->41|34->48|35->17|37->31|37->38|37->49|38->27|39->8|39->26|40->50|41->47|42->1|44->5|44->35|45->7|45->17|45->19|45->25|46->3|47->39|48->9|48->19|48->45|49->3|50->3|50->33|51->9|51->25|57->19|58->4|58->5|58->40,,42,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,16.048975675675678,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__add25arcs__seed42,surrogate_experiment_results/decision_analysis/results/density_sensitivity/graphs/G-392__add25arcs__seed42.json,add25arcs,add_fixed,296,321,25,25,0,0->27|0->42|2->48|3->26|4->1|5->49|9->32|9->44|12->33|18->28|18->46|19->0|19->50|27->26|28->39|31->41|35->38|37->5|37->43|41->5|43->17|46->21|49->1|57->0|57->14,,42,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,17.505644,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__remove25arcs__seed42,surrogate_experiment_results/decision_analysis/results/density_sensitivity/graphs/G-392__remove25arcs__seed42.json,remove25arcs,remove_fixed,296,271,-25,0,25,,3->25|3->31|3->51|4->15|4->25|4->34|6->30|6->34|16->3|19->15|19->48|20->30|20->35|25->35|35->48|36->51|38->34|39->22|47->15|47->16|48->30|50->16|50->37|57->31|58->48,42,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__remove25pct__seed42,surrogate_experiment_results/decision_analysis/results/density_sensitivity/graphs/G-392__remove25pct__seed42.json,remove25pct,remove_fraction,296,222,-74,0,74,,1->22|1->37|1->51|3->35|3->46|4->16|4->31|4->48|4->51|5->8|6->22|6->34|8->1|11->14|11->30|11->31|11->35|13->7|16->3|16->34|19->15|19->48|20->35|20->47|21->25|21->28|21->30|21->34|24->7|24->14|24->22|24->25|24->34|24->35|25->7|25->15|25->37|25->48|26->51|30->15|32->25|35->48|36->46|38->15|38->34|39->21|39->34|39->37|39->42|40->15|40->18|40->30|40->31|40->34|41->7|41->21|42->30|43->5|47->15|47->18|47->22|47->35|47->48|47->51|48->30|49->18|49->48|50->25|50->34|51->7|57->10|58->18|58->20|58->31,42,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,5.58593074324324
