density_variant,arc_delta_type,method_label,graph_count,rank1_pair_count,rank2_pair_count,fraction_oracle_obj_increased,fraction_oracle_obj_unchanged,fraction_oracle_obj_decreased,fraction_oracle_solution_changed,mean_oracle_obj_delta,median_oracle_obj_delta,q25_oracle_obj_delta,q75_oracle_obj_delta,mean_relative_oracle_obj_delta,median_relative_oracle_obj_delta,fraction_rank1_solution_changed,fraction_rank1_solution_unchanged,fraction_rank2_solution_changed,fraction_rank2_solution_unchanged,mean_num_added_arcs_in_oracle,mean_num_added_arcs_in_rank1,mean_num_added_arcs_in_rank2,mean_num_removed_arcs_from_original_oracle,mean_num_removed_arcs_from_original_rank1,mean_num_removed_arcs_from_original_rank2
original,none,2stage_val_mse,3,3,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
original,none,spoplus_val_spoplus_loss,3,3,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
add25pct,add_fraction,2stage_val_mse,3,3,3,1.0,0.0,0.0,1.0,274.6334675550461,272.6075985133648,259.0768506079912,289.1771499812603,1.2231706557506425,1.182907988288518,1.0,0.0,1.0,0.0,13.0,17.0,16.0,0.0,0.0,0.0
add25pct,add_fraction,spoplus_val_spoplus_loss,3,3,3,1.0,0.0,0.0,1.0,274.6334675550461,272.6075985133648,259.0768506079912,289.1771499812603,1.2231706557506425,1.182907988288518,1.0,0.0,1.0,0.0,13.0,17.0,16.0,0.0,0.0,0.0
add25arcs,add_fixed,2stage_val_mse,3,3,3,1.0,0.0,0.0,1.0,101.60079967230558,120.76520358026028,88.97560172528028,123.80819957330823,0.45453803467827286,0.46723030320618186,1.0,0.0,1.0,0.0,6.0,6.0,5.666666666666667,0.0,0.0,0.0
add25arcs,add_fixed,spoplus_val_spoplus_loss,3,3,3,1.0,0.0,0.0,1.0,101.60079967230558,120.76520358026028,88.97560172528028,123.80819957330823,0.45453803467827286,0.46723030320618186,1.0,0.0,1.0,0.0,6.0,6.0,5.666666666666667,0.0,0.0,0.0
remove25arcs,remove_fixed,2stage_val_mse,3,3,3,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,-21.95816569030285,-25.585099831223488,-32.93724853545427,-12.792549915611744,-0.09433984532181842,-0.09898657558059175,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.3333333333333335,2.0
remove25arcs,remove_fixed,spoplus_val_spoplus_loss,3,3,3,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,-21.95816569030285,-25.585099831223488,-32.93724853545427,-12.792549915611744,-0.09433984532181842,-0.09898657558059175,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.3333333333333335,2.3333333333333335
remove25pct,remove_fraction,2stage_val_mse,3,3,3,0.0,0.0,1.0,1.0,-71.26346687972546,-76.38889932632446,-77.54875016212463,-67.54089982062578,-0.3233719916755359,-0.34892741631085,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.333333333333333,6.666666666666667,6.666666666666667
remove25pct,remove_fraction,spoplus_val_spoplus_loss,3,3,3,0.0,0.0,1.0,1.0,-71.26346687972546,-76.38889932632446,-77.54875016212463,-67.54089982062578,-0.3233719916755359,-0.34892741631085,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.333333333333333,6.333333333333333,6.0
