density_variant,arc_delta_type,method_label,solution_rank,row_count,mean_original_num_arcs,mean_variant_num_arcs,mean_arc_delta,mean_gap_to_oracle,median_gap_to_oracle,mean_normalized_gap_to_oracle,median_normalized_gap_to_oracle,exact_oracle_rate,near_1pct_rate,near_5pct_rate,solution_changed_vs_original_rate,mean_rank2_minus_rank1_normalized_gap,median_rank2_minus_rank1_normalized_gap,mean_edge_jaccard_with_oracle,median_edge_jaccard_with_oracle,mean_predicted_margin_from_best,median_predicted_margin_from_best,mean_solution_selected_edge_count,mean_num_added_arcs_in_solution,mean_num_removed_arcs_from_original_solution,mean_num_added_arcs_in_oracle,mean_num_removed_arcs_from_original_oracle
original,none,2stage_val_mse,1,3,270.0,270.0,0.0,46.546100621422134,58.37680101394653,0.20226579123490065,0.29230506826027675,0.0,0.3333333333333333,0.3333333333333333,0.0,nan,nan,0.4912803246136579,0.4074074074074074,0.0,0.0,19.666666666666668,0.0,0.0,0.0,0.0
original,none,2stage_val_mse,2,3,270.0,270.0,0.0,29.05733387172222,2.3894009590148926,0.11384790160994618,0.011964239189111428,0.0,0.0,0.6666666666666666,0.0,-0.08841788962495449,0.005516298361687433,0.564373897707231,0.5714285714285714,2.9142834017950556,2.4933632189154196,18.333333333333332,0.0,0.0,0.0,0.0
original,none,spoplus_val_spoplus_loss,1,3,270.0,270.0,0.0,0.8434333006540934,0.1408989429473877,0.00420261135474755,0.000643594875131222,0.3333333333333333,0.6666666666666666,1.0,0.0,nan,nan,0.7510822510822509,0.6818181818181818,0.0,0.0,18.0,0.0,0.0,0.0,0.0
original,none,spoplus_val_spoplus_loss,2,3,270.0,270.0,0.0,24.22439968585968,8.211797952651978,0.11761002952320494,0.037509657399724734,0.0,0.0,0.6666666666666666,0.0,0.1134074181684574,0.03686606252459351,0.5559849704777241,0.6086956521739131,2.385694892010131,2.008760968801056,18.333333333333332,0.0,0.0,0.0,0.0
add25pct,add_fraction,2stage_val_mse,1,3,270.0,337.6666666666667,67.66666666666667,79.61466832272708,57.79900202155113,0.15180198297335265,0.1223726778467167,0.0,0.0,0.0,1.0,nan,nan,0.22912875408861133,0.1694915254237288,0.0,0.0,36.666666666666664,17.0,0.0,13.0,0.0
add25pct,add_fraction,2stage_val_mse,2,3,270.0,337.6666666666667,67.66666666666667,73.58480226310591,52.47790393233299,0.13867201023239242,0.1111067909025117,0.0,0.0,0.3333333333333333,1.0,-0.013129972740960229,-0.011265886944204995,0.2479654291094969,0.17857142857142858,1.1353023314423087,0.8970124830161126,36.333333333333336,16.0,0.0,13.0,0.0
add25pct,add_fraction,spoplus_val_spoplus_loss,1,3,270.0,337.6666666666667,67.66666666666667,74.92013518512249,55.12100228667259,0.1417266505053254,0.11670278758273443,0.0,0.0,0.3333333333333333,1.0,nan,nan,0.2479654291094969,0.17857142857142858,0.0,0.0,36.333333333333336,17.0,0.0,13.0,0.0
add25pct,add_fraction,spoplus_val_spoplus_loss,2,3,270.0,337.6666666666667,67.66666666666667,68.79370278616746,50.31750401854515,0.12838259914211694,0.10653276862836485,0.0,0.0,0.3333333333333333,1.0,-0.013344051363208443,-0.010170018954369586,0.3064971751412429,0.17857142857142858,2.472252822640295,1.4333739562689516,36.0,16.0,0.0,13.0,0.0
add25arcs,add_fixed,2stage_val_mse,1,3,270.0,295.0,25.0,15.607167174418768,12.520001292228699,0.04601722535651253,0.03301378129733421,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,nan,nan,0.6447951273532669,0.6785714285714286,0.0,0.0,24.0,6.0,0.0,6.0,0.0
add25arcs,add_fixed,2stage_val_mse,2,3,270.0,295.0,25.0,23.698433329661686,19.004198789596558,0.0735163169657541,0.06882813708811716,0.0,0.0,0.3333333333333333,1.0,0.027499091609241577,0.015297614787996544,0.5268401739933416,0.6206896551724138,2.6352309036890915,1.6161554431392915,23.666666666666668,5.666666666666667,0.0,6.0,0.0
