case_id,case_label,subset_seed,base_graph_id,variant_id,variant_graph_path,density_variant,arc_delta_type,original_num_arcs,variant_num_arcs,arc_delta,added_arc_count,removed_arc_count,added_arc_keys,removed_arc_keys,perturb_seed,generation_policy,label_policy,added_arc_source_policy,added_arc_label_policy,removed_arc_policy,new_arc_label_mean,existing_arc_label_mean
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__original__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__original__seed0.json,original,none,252,252,0,0,0,,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25pct__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25pct__seed0.json,add25pct,add_fraction,252,315,63,63,0,0->4|1->9|1->18|1->53|2->49|4->16|4->37|5->14|5->25|5->28|10->23|10->32|13->51|17->9|21->4|22->47|23->3|23->29|24->13|24->43|25->19|26->9|26->18|27->50|28->20|28->21|28->24|30->7|30->43|32->48|35->7|36->0|36->28|37->33|37->52|38->23|39->37|39->38|39->48|41->7|43->13|43->20|43->39|44->11|44->16|44->26|44->36|45->7|45->26|47->44|48->38|49->19|49->38|50->19|50->52|51->10|51->31|52->50|53->47|64->5|65->7|66->12|66->17,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,9.797760317460314,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25arcs__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25arcs__seed0.json,add25arcs,add_fixed,252,277,25,25,0,0->30|0->40|1->14|6->45|6->48|8->50|18->43|19->45|21->19|23->4|23->52|28->24|31->22|32->6|36->18|38->9|38->41|39->24|48->14|48->27|52->37|53->36|53->44|66->10|66->25,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,14.096887999999996,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25arcs__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25arcs__seed0.json,remove25arcs,remove_fixed,252,227,-25,0,25,,1->22|4->44|8->44|10->44|10->48|12->2|12->11|13->48|14->2|14->48|17->33|17->35|20->2|20->23|20->44|21->35|21->53|22->38|28->0|29->28|31->28|40->22|45->0|48->35|66->29,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25pct__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25pct__seed0.json,remove25pct,remove_fraction,252,189,-63,0,63,,1->7|1->11|3->33|3->48|4->33|4->35|6->35|8->44|9->35|10->11|10->29|10->48|12->7|12->11|13->2|14->11|14->33|14->51|17->5|17->6|17->7|17->28|17->44|19->22|19->35|20->1|20->7|20->28|20->52|20->53|21->48|22->28|22->48|23->11|23->16|23->48|24->44|27->22|28->44|28->53|31->28|33->23|33->29|33->35|33->38|33->48|35->44|37->44|38->28|40->7|40->11|40->22|40->35|40->44|45->12|45->53|48->53|50->27|51->48|52->0|64->41|65->37|66->29,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__original__seed1,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__original__seed1.json,original,none,252,252,0,0,0,,,1,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25pct__seed1,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25pct__seed1.json,add25pct,add_fraction,252,315,63,63,0,0->40|1->0|3->35|3->41|4->37|4->43|6->21|6->27|7->41|9->3|9->32|10->1|10->19|11->27|11->33|12->45|16->12|16->39|16->49|17->16|17->32|18->17|18->43|19->2|19->5|21->37|21->49|22->24|22->27|22->30|23->33|24->45|25->43|25->49|26->8|26->28|26->51|27->4|29->5|29->10|30->2|32->7|36->37|37->20|38->12|45->7|47->53|48->20|48->27|50->23|50->29|50->41|51->18|51->32|52->2|53->0|53->6|64->7|64->43|65->25|66->9|66->10|66->17,,1,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,12.044693650793656,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25arcs__seed1,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25arcs__seed1.json,add25arcs,add_fixed,252,277,25,25,0,5->26|5->52|8->45|12->45|13->40|18->38|19->40|20->38|21->30|22->20|25->24|28->24|28->31|32->12|37->11|38->6|38->8|38->27|41->31|48->13|49->25|49->30|49->44|49->51|66->14,,1,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,12.404720000000006,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25arcs__seed1,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25arcs__seed1.json,remove25arcs,remove_fixed,252,227,-25,0,25,,8->2|9->28|10->35|12->11|12->28|14->33|16->35|20->7|20->11|20->51|22->25|22->53|23->44|25->11|27->44|29->7|31->19|33->29|33->37|40->0|41->22|45->48|50->0|51->48|52->38,1,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25pct__seed1,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25pct__seed1.json,remove25pct,remove_fraction,252,189,-63,0,63,,3->44|4->33|4->35|4->44|8->11|9->28|9->31|10->6|10->29|10->53|12->2|13->22|13->47|14->11|16->35|16->53|17->7|17->28|20->7|20->31|20->35|22->37|22->48|23->16|23->44|23->53|24->0|24->7|25->7|27->22|27->44|28->0|29->7|29->28|29->53|30->22|31->11|31->19|31->28|31->38|33->11|33->22|33->29|37->48|37->53|38->31|38->44|40->0|40->38|40->41|41->22|45->48|48->35|50->0|50->27|50->28|51->53|52->38|64->44|64->53|65->1|65->53|66->29,1,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
