density_variant,arc_delta_type,method_label,graph_count,rank1_pair_count,rank2_pair_count,fraction_oracle_obj_increased,fraction_oracle_obj_unchanged,fraction_oracle_obj_decreased,fraction_oracle_solution_changed,mean_oracle_obj_delta,median_oracle_obj_delta,q25_oracle_obj_delta,q75_oracle_obj_delta,mean_relative_oracle_obj_delta,median_relative_oracle_obj_delta,fraction_rank1_solution_changed,fraction_rank1_solution_unchanged,fraction_rank2_solution_changed,fraction_rank2_solution_unchanged,mean_num_added_arcs_in_oracle,mean_num_added_arcs_in_rank1,mean_num_added_arcs_in_rank2,mean_num_removed_arcs_from_original_oracle,mean_num_removed_arcs_from_original_rank1,mean_num_removed_arcs_from_original_rank2
original,none,2stage_val_mse,15,15,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
original,none,spoplus_val_spoplus_loss,15,15,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
add25pct,add_fraction,2stage_val_mse,15,15,15,1.0,0.0,0.0,1.0,304.8229341764003,313.16520451009274,235.56390064954758,333.68765338510275,1.3486237686540135,1.2778360740518762,1.0,0.0,1.0,0.0,14.933333333333334,16.2,16.4,0.0,0.0,0.0
add25pct,add_fraction,spoplus_val_spoplus_loss,15,15,15,1.0,0.0,0.0,1.0,304.8229341764003,313.16520451009274,235.56390064954758,333.68765338510275,1.3486237686540135,1.2778360740518762,1.0,0.0,1.0,0.0,14.933333333333334,15.666666666666666,15.866666666666667,0.0,0.0,0.0
add25arcs,add_fixed,2stage_val_mse,15,15,15,1.0,0.0,0.0,1.0,128.47637375245492,116.68860056996346,90.55144856870174,157.8305028323084,0.5713037524790198,0.4854591820185133,1.0,0.0,1.0,0.0,6.466666666666667,7.0,7.0,0.0,0.0,0.0
add25arcs,add_fixed,spoplus_val_spoplus_loss,15,15,15,1.0,0.0,0.0,1.0,128.47637375245492,116.68860056996346,90.55144856870174,157.8305028323084,0.5713037524790198,0.4854591820185133,1.0,0.0,1.0,0.0,6.466666666666667,6.8,6.666666666666667,0.0,0.0,0.0
remove25arcs,remove_fixed,2stage_val_mse,15,15,15,0.0,0.0,1.0,1.0,-32.949306361873944,-38.932398319244385,-45.4025502204895,-11.031749963760376,-0.1500544553104858,-0.15142236831741732,0.8666666666666667,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.0,0.0,0.0,1.8,1.8,1.7333333333333334
remove25arcs,remove_fixed,spoplus_val_spoplus_loss,15,15,15,0.0,0.0,1.0,1.0,-32.949306361873944,-38.932398319244385,-45.4025502204895,-11.031749963760376,-0.1500544553104858,-0.15142236831741732,0.8666666666666667,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.0,0.0,0.0,1.8,1.7333333333333334,1.7333333333333334
remove25pct,remove_fraction,2stage_val_mse,15,15,15,0.0,0.0,1.0,1.0,-76.80536633344988,-70.12060049176216,-102.5141478003934,-46.20009898766875,-0.3425839000494909,-0.351108771931542,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.666666666666667,5.666666666666667,5.133333333333334
remove25pct,remove_fraction,spoplus_val_spoplus_loss,15,15,15,0.0,0.0,1.0,1.0,-76.80536633344988,-70.12060049176216,-102.5141478003934,-46.20009898766875,-0.3425839000494909,-0.351108771931542,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.666666666666667,4.533333333333333,4.933333333333334
