case_id,case_label,base_graph_id,variant_id,variant_graph_path,density_variant,arc_delta_type,original_num_arcs,variant_num_arcs,arc_delta,added_arc_count,removed_arc_count,added_arc_keys,removed_arc_keys,perturb_seed,generation_policy,label_policy,added_arc_source_policy,added_arc_label_policy,removed_arc_policy,new_arc_label_mean,existing_arc_label_mean,regime,max_cycle,max_chain,case_type,subset_seed,graph_id,method_label,method,selection_metric,selected_epoch,theta_1,theta_2,solution_rank,cut_attempt,solver_status,solver_status_name,solver_obj_predicted,predicted_obj,true_obj,oracle_obj,gap_to_oracle,normalized_gap_to_oracle,predicted_margin_from_best,true_obj_diff_from_rank1,num_edges,edge_count,num_cycle_candidates,num_chain_candidates,same_solution_as_oracle,edge_jaccard_with_oracle,edge_hamming_with_oracle,edge_overlap_count_with_oracle,same_solution_as_rank1,edge_jaccard_with_rank1,edge_hamming_with_rank1,edge_overlap_count_with_rank1,solution_edge_signature,model_path,solution_selected_edge_count,solution_arc_key_signature,oracle_arc_key_signature,rank1_arc_key_signature,original_oracle_arc_key_signature
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,G-696__original__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__original__seed0.json,original,none,252,252,0,0,0,,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204,step2b_poly_d8,3,4,case_b_different_solution_near_optimal,1,G-696__original__seed0.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,1,1,2,OPTIMAL,217.7122601413989,217.7122601413989,218.78399991989136,218.92489886283875,0.1408989429473877,0.000643594875131222,0.0,0.0,252,19,7,214,False,0.6818181818181818,0.027777777777777776,15,True,1.0,0.0,19,1|22|70|76|99|112|120|143|149|160|173|179|190|203|226|233|236|243|248,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz,19,0->48|5->0|14->33|16->53|20->52|22->35|23->16|28->5|29->23|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->29,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29,0->48|5->0|14->33|16->53|20->52|22->35|23->16|28->5|29->23|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->29,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,G-696__original__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__original__seed0.json,original,none,252,252,0,0,0,,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204,step2b_poly_d8,3,4,case_b_different_solution_near_optimal,1,G-696__original__seed0.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,2,2,2,OPTIMAL,211.96111335726394,211.96111335726394,216.68869996070862,218.92489886283875,2.236198902130127,0.010214456709745657,5.75114678413496,2.0952999591827393,252,18,7,214,False,0.7142857142857143,0.023809523809523808,15,False,0.9473684210526315,0.003968253968253968,18,22|70|76|99|112|120|143|149|160|173|179|190|203|226|233|236|243|248,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz,18,5->0|14->33|16->53|20->52|22->35|23->16|28->5|29->23|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->29,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29,0->48|5->0|14->33|16->53|20->52|22->35|23->16|28->5|29->23|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->29,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,G-696__add25pct__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25pct__seed0.json,add25pct,add_fraction,252,315,63,63,0,0->4|1->9|1->18|1->53|2->49|4->16|4->37|5->14|5->25|5->28|10->23|10->32|13->51|17->9|21->4|22->47|23->3|23->29|24->13|24->43|25->19|26->9|26->18|27->50|28->20|28->21|28->24|30->7|30->43|32->48|35->7|36->0|36->28|37->33|37->52|38->23|39->37|39->38|39->48|41->7|43->13|43->20|43->39|44->11|44->16|44->26|44->36|45->7|45->26|47->44|48->38|49->19|49->38|50->19|50->52|51->10|51->31|52->50|53->47|64->5|65->7|66->12|66->17,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,9.797760317460314,6.562174206349204,step2b_poly_d8,3,4,case_b_different_solution_near_optimal,1,G-696__add25pct__seed0.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,1,1,2,OPTIMAL,394.30571219944915,394.3057121994491,423.6188017129898,454.3519994020462,30.733197689056396,0.06764182336478201,0.0,0.0,315,33,40,504,False,0.3953488372093023,0.08253968253968254,17,True,1.0,0.0,33,8|12|31|45|49|60|73|115|127|143|151|155|160|165|173|176|189|203|209|213|222|225|242|255|266|269|275|285|290|294|300|301|313,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz,33,1->9|2->49|5->25|9->53|10->33|12->2|13->28|20->37|22->35|23->29|24->13|25->26|26->18|27->50|28->24|29->23|31->38|33->51|35->41|36->48|37->52|38->31|41->22|44->36|48->44|49->19|50->27|51->10|52->20|53->47|64->5|65->1|66->12,0->4|2->49|4->31|5->14|10->33|14->2|17->44|19->0|20->37|22->35|23->29|24->28|26->18|27->50|28->24|29->23|33->51|35->41|37->52|41->22|44->26|50->27|51->10|52->20|64->5|65->19|66->17,1->9|2->49|5->25|9->53|10->33|12->2|13->28|20->37|22->35|23->29|24->13|25->26|26->18|27->50|28->24|29->23|31->38|33->51|35->41|36->48|37->52|38->31|41->22|44->36|48->44|49->19|50->27|51->10|52->20|53->47|64->5|65->1|66->12,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,G-696__add25pct__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25pct__seed0.json,add25pct,add_fraction,252,315,63,63,0,0->4|1->9|1->18|1->53|2->49|4->16|4->37|5->14|5->25|5->28|10->23|10->32|13->51|17->9|21->4|22->47|23->3|23->29|24->13|24->43|25->19|26->9|26->18|27->50|28->20|28->21|28->24|30->7|30->43|32->48|35->7|36->0|36->28|37->33|37->52|38->23|39->37|39->38|39->48|41->7|43->13|43->20|43->39|44->11|44->16|44->26|44->36|45->7|45->26|47->44|48->38|49->19|49->38|50->19|50->52|51->10|51->31|52->50|53->47|64->5|65->7|66->12|66->17,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,9.797760317460314,6.562174206349204,step2b_poly_d8,3,4,case_b_different_solution_near_optimal,1,G-696__add25pct__seed0.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,2,2,2,OPTIMAL,393.50836830641254,393.50836830641254,422.84460175037384,454.3519994020462,31.507397651672363,0.06934578849233325,0.7973438930365546,0.7741999626159668,315,33,40,504,False,0.42857142857142855,0.0761904761904762,18,False,0.8857142857142857,0.012698412698412698,31,8|12|31|45|49|73|90|115|127|143|151|155|160|165|173|176|189|203|209|213|222|225|242|255|266|269|275|285|290|294|300|301|314,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz,33,1->9|2->49|5->25|9->53|10->33|13->28|17->2|20->37|22->35|23->29|24->13|25->26|26->18|27->50|28->24|29->23|31->38|33->51|35->41|36->48|37->52|38->31|41->22|44->36|48->44|49->19|50->27|51->10|52->20|53->47|64->5|65->1|66->17,0->4|2->49|4->31|5->14|10->33|14->2|17->44|19->0|20->37|22->35|23->29|24->28|26->18|27->50|28->24|29->23|33->51|35->41|37->52|41->22|44->26|50->27|51->10|52->20|64->5|65->19|66->17,1->9|2->49|5->25|9->53|10->33|12->2|13->28|20->37|22->35|23->29|24->13|25->26|26->18|27->50|28->24|29->23|31->38|33->51|35->41|36->48|37->52|38->31|41->22|44->36|48->44|49->19|50->27|51->10|52->20|53->47|64->5|65->1|66->12,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,G-696__add25arcs__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25arcs__seed0.json,add25arcs,add_fixed,252,277,25,25,0,0->30|0->40|1->14|6->45|6->48|8->50|18->43|19->45|21->19|23->4|23->52|28->24|31->22|32->6|36->18|38->9|38->41|39->24|48->14|48->27|52->37|53->36|53->44|66->10|66->25,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,14.096887999999996,6.562174206349204,step2b_poly_d8,3,4,case_b_different_solution_near_optimal,1,G-696__add25arcs__seed0.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,1,1,2,OPTIMAL,370.0850831969583,370.08508319695824,395.50119841098785,428.20249819755554,32.70129978656769,0.07636877394256641,0.0,0.0,277,30,25,390,False,0.6764705882352942,0.039711191335740074,23,True,1.0,0.0,30,3|18|37|45|54|80|93|99|107|121|135|140|158|161|172|184|193|198|200|208|215|221|228|236|248|253|257|263|267|275,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz,30,0->40|4->29|9->31|10->33|12->2|14->51|18->43|19->45|20->52|22->35|23->4|24->28|28->24|29->23|31->38|33->37|35->41|36->18|37->44|38->9|40->0|41->22|45->12|48->14|51->48|52->20|53->36|64->53|65->19|66->10,0->40|9->31|10->29|12->2|14->51|18->43|19->45|20->23|22->35|23->52|24->28|28->24|29->7|31->38|35->41|36->18|38->9|40->0|41->22|45->12|48->14|51->48|52->20|53->36|64->53|65->19|66->10,0->40|4->29|9->31|10->33|12->2|14->51|18->43|19->45|20->52|22->35|23->4|24->28|28->24|29->23|31->38|33->37|35->41|36->18|37->44|38->9|40->0|41->22|45->12|48->14|51->48|52->20|53->36|64->53|65->19|66->10,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,G-696__add25arcs__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25arcs__seed0.json,add25arcs,add_fixed,252,277,25,25,0,0->30|0->40|1->14|6->45|6->48|8->50|18->43|19->45|21->19|23->4|23->52|28->24|31->22|32->6|36->18|38->9|38->41|39->24|48->14|48->27|52->37|53->36|53->44|66->10|66->25,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,14.096887999999996,6.562174206349204,step2b_poly_d8,3,4,case_b_different_solution_near_optimal,1,G-696__add25arcs__seed0.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,2,2,2,OPTIMAL,367.62098081235627,367.62098081235627,397.6108981370926,428.20249819755554,30.59160006046295,0.07144190001030253,2.464102384601972,-2.1096997261047363,277,30,25,390,False,0.6285714285714286,0.04693140794223827,22,False,0.9354838709677419,0.007220216606498195,29,3|18|37|45|55|80|93|99|107|121|135|140|158|161|172|184|193|198|200|208|215|221|228|236|248|253|257|263|267|275,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz,30,0->40|4->29|9->31|10->33|12->7|14->51|18->43|19->45|20->52|22->35|23->4|24->28|28->24|29->23|31->38|33->37|35->41|36->18|37->44|38->9|40->0|41->22|45->12|48->14|51->48|52->20|53->36|64->53|65->19|66->10,0->40|9->31|10->29|12->2|14->51|18->43|19->45|20->23|22->35|23->52|24->28|28->24|29->7|31->38|35->41|36->18|38->9|40->0|41->22|45->12|48->14|51->48|52->20|53->36|64->53|65->19|66->10,0->40|4->29|9->31|10->33|12->2|14->51|18->43|19->45|20->52|22->35|23->4|24->28|28->24|29->23|31->38|33->37|35->41|36->18|37->44|38->9|40->0|41->22|45->12|48->14|51->48|52->20|53->36|64->53|65->19|66->10,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,G-696__remove25arcs__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25arcs__seed0.json,remove25arcs,remove_fixed,252,227,-25,0,25,,1->22|4->44|8->44|10->44|10->48|12->2|12->11|13->48|14->2|14->48|17->33|17->35|20->2|20->23|20->44|21->35|21->53|22->38|28->0|29->28|31->28|40->22|45->0|48->35|66->29,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204,step2b_poly_d8,3,4,case_b_different_solution_near_optimal,1,G-696__remove25arcs__seed0.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,1,1,2,OPTIMAL,180.73777908259927,180.73777908259927,179.99250054359436,179.99250054359436,0.0,0.0,0.0,0.0,227,16,6,170,True,1.0,0.0,16,True,1.0,0.0,16,1|20|61|84|95|124|139|152|158|169|181|202|209|212|219|225,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz,16,0->48|5->0|14->33|20->52|22->35|28->5|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->44,0->48|5->0|14->33|20->52|22->35|28->5|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->44,0->48|5->0|14->33|20->52|22->35|28->5|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->44,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,G-696__remove25arcs__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25arcs__seed0.json,remove25arcs,remove_fixed,252,227,-25,0,25,,1->22|4->44|8->44|10->44|10->48|12->2|12->11|13->48|14->2|14->48|17->33|17->35|20->2|20->23|20->44|21->35|21->53|22->38|28->0|29->28|31->28|40->22|45->0|48->35|66->29,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204,step2b_poly_d8,3,4,case_b_different_solution_near_optimal,1,G-696__remove25arcs__seed0.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,2,2,2,OPTIMAL,179.64383914753358,179.64383914753358,170.89400053024292,179.99250054359436,9.09850001335144,0.050549328365473906,1.0939399350656913,9.09850001335144,227,16,6,170,False,0.7777777777777778,0.01762114537444934,14,False,0.7777777777777778,0.01762114537444934,14,1|20|61|84|93|124|139|152|158|169|181|202|209|212|219|224,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz,16,0->48|5->0|14->33|20->52|22->25|28->5|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->35,0->48|5->0|14->33|20->52|22->35|28->5|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->44,0->48|5->0|14->33|20->52|22->35|28->5|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->44,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,G-696__remove25pct__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25pct__seed0.json,remove25pct,remove_fraction,252,189,-63,0,63,,1->7|1->11|3->33|3->48|4->33|4->35|6->35|8->44|9->35|10->11|10->29|10->48|12->7|12->11|13->2|14->11|14->33|14->51|17->5|17->6|17->7|17->28|17->44|19->22|19->35|20->1|20->7|20->28|20->52|20->53|21->48|22->28|22->48|23->11|23->16|23->48|24->44|27->22|28->44|28->53|31->28|33->23|33->29|33->35|33->38|33->48|35->44|37->44|38->28|40->7|40->11|40->22|40->35|40->44|45->12|45->53|48->53|50->27|51->48|52->0|64->41|65->37|66->29,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204,step2b_poly_d8,3,4,case_b_different_solution_near_optimal,1,G-696__remove25pct__seed0.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,1,1,2,OPTIMAL,149.03221114307388,149.03221114307388,138.2360007762909,138.2360007762909,0.0,0.0,0.0,0.0,189,14,4,131,True,1.0,0.0,14,True,1.0,0.0,14,1|5|16|52|80|89|105|119|133|141|149|176|182|187,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz,14,0->48|2->23|5->0|14->2|22->35|23->53|28->5|31->38|35->41|38->31|41->22|64->28|65->14|66->44,0->48|2->23|5->0|14->2|22->35|23->53|28->5|31->38|35->41|38->31|41->22|64->28|65->14|66->44,0->48|2->23|5->0|14->2|22->35|23->53|28->5|31->38|35->41|38->31|41->22|64->28|65->14|66->44,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,G-696__remove25pct__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25pct__seed0.json,remove25pct,remove_fraction,252,189,-63,0,63,,1->7|1->11|3->33|3->48|4->33|4->35|6->35|8->44|9->35|10->11|10->29|10->48|12->7|12->11|13->2|14->11|14->33|14->51|17->5|17->6|17->7|17->28|17->44|19->22|19->35|20->1|20->7|20->28|20->52|20->53|21->48|22->28|22->48|23->11|23->16|23->48|24->44|27->22|28->44|28->53|31->28|33->23|33->29|33->35|33->38|33->48|35->44|37->44|38->28|40->7|40->11|40->22|40->35|40->44|45->12|45->53|48->53|50->27|51->48|52->0|64->41|65->37|66->29,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204,step2b_poly_d8,3,4,case_b_different_solution_near_optimal,1,G-696__remove25pct__seed0.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,2,2,2,OPTIMAL,147.9382712080082,147.9382712080082,129.13750076293945,138.2360007762909,9.09850001335144,0.0658185998017249,1.0939399350656913,9.09850001335144,189,14,4,131,False,0.75,0.021164021164021163,12,False,0.75,0.021164021164021163,12,1|5|16|52|79|89|105|119|133|141|149|176|182|186,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz,14,0->48|2->23|5->0|14->2|22->25|23->53|28->5|31->38|35->41|38->31|41->22|64->28|65->14|66->35,0->48|2->23|5->0|14->2|22->35|23->53|28->5|31->38|35->41|38->31|41->22|64->28|65->14|66->44,0->48|2->23|5->0|14->2|22->35|23->53|28->5|31->38|35->41|38->31|41->22|64->28|65->14|66->44,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
