density_variant,arc_delta_type,method_label,solution_rank,row_count,mean_original_num_arcs,mean_variant_num_arcs,mean_arc_delta,mean_gap_to_oracle,median_gap_to_oracle,mean_normalized_gap_to_oracle,median_normalized_gap_to_oracle,exact_oracle_rate,near_1pct_rate,near_5pct_rate,solution_changed_vs_original_rate,mean_rank2_minus_rank1_normalized_gap,median_rank2_minus_rank1_normalized_gap,mean_edge_jaccard_with_oracle,median_edge_jaccard_with_oracle,mean_predicted_margin_from_best,median_predicted_margin_from_best,mean_solution_selected_edge_count,mean_num_added_arcs_in_solution,mean_num_removed_arcs_from_original_solution,mean_num_added_arcs_in_oracle,mean_num_removed_arcs_from_original_oracle
original,none,2stage_val_mse,1,15,270.0,270.0,0.0,46.546100621422134,58.37680101394653,0.20226579123490068,0.29230506826027675,0.0,0.3333333333333333,0.3333333333333333,0.0,nan,nan,0.49128032461365806,0.4074074074074074,0.0,0.0,19.666666666666668,0.0,0.0,0.0,0.0
original,none,2stage_val_mse,2,15,270.0,270.0,0.0,29.05733387172222,2.3894009590148926,0.1138479016099462,0.011964239189111428,0.0,0.0,0.6666666666666666,0.0,-0.08841788962495449,0.005516298361687433,0.564373897707231,0.5714285714285714,2.9142834017950556,2.4933632189154196,18.333333333333332,0.0,0.0,0.0,0.0
original,none,spoplus_val_spoplus_loss,1,15,270.0,270.0,0.0,0.8434333006540934,0.1408989429473877,0.00420261135474755,0.000643594875131222,0.3333333333333333,0.6666666666666666,1.0,0.0,nan,nan,0.7510822510822509,0.6818181818181818,0.0,0.0,18.0,0.0,0.0,0.0,0.0
original,none,spoplus_val_spoplus_loss,2,15,270.0,270.0,0.0,24.22439968585968,8.211797952651978,0.11761002952320494,0.037509657399724734,0.0,0.0,0.6666666666666666,0.0,0.11340741816845742,0.03686606252459351,0.5559849704777241,0.6086956521739131,2.385694892010131,2.008760968801056,18.333333333333332,0.0,0.0,0.0,0.0
add25pct,add_fraction,2stage_val_mse,1,15,270.0,337.6666666666667,67.66666666666667,32.10930004256467,34.33709639310837,0.06165876739573762,0.06764182336478201,0.0,0.13333333333333333,0.4666666666666667,1.0,nan,nan,0.5534074155281581,0.5869565217391305,0.0,0.0,35.266666666666666,16.2,0.0,14.933333333333334,0.0
add25pct,add_fraction,2stage_val_mse,2,15,270.0,337.6666666666667,67.66666666666667,30.132746953641377,21.43199832737446,0.05831805006320598,0.047142084266950164,0.06666666666666667,0.2,0.5333333333333333,1.0,-0.0033407173325316424,0.0022188226526036357,0.5979504984367361,0.55,1.5261937293730587,1.485786959216341,35.333333333333336,16.4,0.0,14.933333333333334,0.0
add25pct,add_fraction,spoplus_val_spoplus_loss,1,15,270.0,337.6666666666667,67.66666666666667,24.857806726172566,27.181099951267242,0.04881696620787142,0.04651678971992815,0.0,0.13333333333333333,0.5333333333333333,1.0,nan,nan,0.6012399738433672,0.6190476190476191,0.0,0.0,35.0,15.666666666666666,0.0,14.933333333333334,0.0
add25pct,add_fraction,spoplus_val_spoplus_loss,2,15,270.0,337.6666666666667,67.66666666666667,25.342320167149108,19.864301919937134,0.0486105744767126,0.03433168865852967,0.06666666666666667,0.13333333333333333,0.6,1.0,-0.00020639173115880732,0.0026478935687131305,0.6218317017706191,0.6363636363636364,1.8669334576203027,1.3545252649612394,35.0,15.866666666666667,0.0,14.933333333333334,0.0
add25arcs,add_fixed,2stage_val_mse,1,15,270.0,295.0,25.0,26.559340470284223,23.12920069694519,0.07610888878809466,0.07636877394256641,0.13333333333333333,0.13333333333333333,0.4666666666666667,1.0,nan,nan,0.6538628262082945,0.6216216216216216,0.0,0.0,26.0,7.0,0.0,6.466666666666667,0.0
add25arcs,add_fixed,2stage_val_mse,2,15,270.0,295.0,25.0,24.648167410741248,23.942301511764526,0.06762035619467871,0.07144190001030253,0.2,0.26666666666666666,0.4666666666666667,1.0,-0.00848853259341594,0.0013875168613294853,0.6912974374294657,0.6666666666666666,1.0082411321242488,0.797344264328899,25.933333333333334,7.0,0.0,6.466666666666667,0.0
add25arcs,add_fixed,spoplus_val_spoplus_loss,1,15,270.0,295.0,25.0,18.079073695838453,23.72689964622259,0.04935912572748104,0.05628229601373771,0.2,0.2,0.4666666666666667,1.0,nan,nan,0.6887745088970578,0.6666666666666666,0.0,0.0,26.0,6.8,0.0,6.466666666666667,0.0
add25arcs,add_fixed,spoplus_val_spoplus_loss,2,15,270.0,295.0,25.0,20.83876704722643,18.023398876190186,0.05688388196302163,0.04851692941760623,0.06666666666666667,0.2,0.5333333333333333,1.0,0.007524756235540585,0.006520555604991561,0.6841642650633357,0.6666666666666666,1.722480463092931,1.2415483384788786,25.8,6.666666666666667,0.0,6.466666666666667,0.0
remove25arcs,remove_fixed,2stage_val_mse,1,15,270.0,245.0,-25.0,25.427007311582564,9.068901151418686,0.12174573666357054,0.06562481616380038,0.4,0.4666666666666667,0.4666666666666667,0.8666666666666667,nan,nan,0.6817002913886973,0.6,0.0,0.0,16.6,0.0,1.8,0.0,1.8
remove25arcs,remove_fixed,2stage_val_mse,2,15,270.0,245.0,-25.0,17.307587217291196,7.193600654602051,0.08565013484955178,0.04268089712330309,0.2,0.3333333333333333,0.6,0.8666666666666667,-0.03609560181401874,0.006523587458302005,0.694169265756985,0.8125,2.123007206861009,1.6161552926230627,16.133333333333333,0.0,1.7333333333333334,0.0,1.8
remove25arcs,remove_fixed,spoplus_val_spoplus_loss,1,15,270.0,245.0,-25.0,6.3115137100219725,0.24320030212402344,0.03559304428190246,0.001351169084201755,0.4666666666666667,0.6,0.8,0.8666666666666667,nan,nan,0.786343997248022,0.8823529411764706,0.0,0.0,16.133333333333333,0.0,1.7333333333333334,0.0,1.8
remove25arcs,remove_fixed,spoplus_val_spoplus_loss,2,15,270.0,245.0,-25.0,15.946587065855661,8.07089900970459,0.08275317877749169,0.03688980461378754,0.13333333333333333,0.2,0.6666666666666666,0.8666666666666667,0.04716013449558922,0.02537117957130269,0.6583983815748521,0.7647058823529411,1.613653974535534,1.5434082441170744,16.2,0.0,1.7333333333333334,0.0,1.8
remove25pct,remove_fraction,2stage_val_mse,1,15,270.0,202.33333333333334,-67.66666666666667,5.758146911859512,0.0,0.03667063138729491,0.0,0.6666666666666666,0.6666666666666666,0.7333333333333333,1.0,nan,nan,0.8542012227538544,1.0,0.0,0.0,13.066666666666666,0.0,5.666666666666667,0.0,4.666666666666667
remove25pct,remove_fraction,2stage_val_mse,2,15,270.0,202.33333333333334,-67.66666666666667,7.400613630314668,2.934999942779541,0.0485777957151213,0.024307343478004586,0.06666666666666667,0.4,0.5333333333333333,1.0,0.011907164327826398,0.009480174148027234,0.7003974783386548,0.75,1.6736447533661154,1.2488955767984464,12.8,0.0,5.133333333333334,0.0,4.666666666666667
remove25pct,remove_fraction,spoplus_val_spoplus_loss,1,15,270.0,202.33333333333334,-67.66666666666667,4.566706873973211,0.0,0.03028960679940975,0.0,0.6,0.6666666666666666,0.7333333333333333,1.0,nan,nan,0.826726475279107,1.0,0.0,0.0,13.0,0.0,4.533333333333333,0.0,4.666666666666667
remove25pct,remove_fraction,spoplus_val_spoplus_loss,2,15,270.0,202.33333333333334,-67.66666666666667,12.64681378652652,7.969200164079666,0.0813812178794205,0.06690741805463568,0.06666666666666667,0.26666666666666666,0.4666666666666667,1.0,0.05109161108001074,0.024307343478004586,0.6911548101021786,0.7333333333333333,2.70866738540675,2.039590055946036,12.933333333333334,0.0,4.933333333333334,0.0,4.666666666666667
