regime,case_type,subset_seed,graph_id,method_label,method,selection_metric,num_edges,num_top_error_edges,mse_all_edges,mse_edges_in_opt,mse_edges_in_pred,mse_edges_in_symdiff,mse_edges_not_selected,top10_error_edges_in_opt_rate,top10_error_edges_in_pred_rate,top10_error_edges_in_symdiff_rate
step2b_poly_d8,large_improvement,1,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,199,10,14.873320425600099,53.724917900041284,56.70914780963985,9.93720333530729,11.851322498465553,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,199,10,23.74219154995264,32.71138141833793,39.295473014043296,19.183763377912303,22.874158501539398,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-116.json,2stage_val_mse,2stage,validation_mse_loss,271,10,14.098616720524532,54.40943205345501,38.67299525354868,21.769480029624667,10.439356712034847,0.6,0.4,0.2
step2b_poly_d8,large_improvement,1,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,271,10,21.627569221402457,37.766702240333004,33.90592860459355,23.666770052774044,20.074050956874544,0.5,0.4,0.1
step2b_poly_d8,large_improvement,1,G-322.json,2stage_val_mse,2stage,validation_mse_loss,224,10,13.865098024706713,60.95340264633811,60.999363881706145,15.39379055576882,10.30170898176552,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-322.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,224,10,22.347521043068053,44.13665001663397,45.73021547296835,20.128411511402405,20.681142125251377,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-1087.json,2stage_val_mse,2stage,validation_mse_loss,328,10,16.174552998563524,106.6845963573318,88.22897413487092,21.98029643680594,10.521262597915198,0.6,0.5,0.1
step2b_poly_d8,large_improvement,1,G-1087.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,328,10,23.269451171450438,80.29444247154154,70.12931193352715,29.87749893753772,19.64845730242001,0.5,0.4,0.1
step2b_poly_d8,large_improvement,1,G-1029.json,2stage_val_mse,2stage,validation_mse_loss,200,10,15.80472707060814,45.41293941982498,45.41293941982498,nan,13.746402147935312,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-1029.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,200,10,24.332968213151972,37.8003924083348,37.8003924083348,nan,23.396730167497548,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-976.json,2stage_val_mse,2stage,validation_mse_loss,314,10,13.964924587235673,44.19613367946102,30.725340470180114,33.5814519863761,11.85908545821308,0.3,0.2,0.1
step2b_poly_d8,large_improvement,1,G-976.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,314,10,20.750137087169293,31.518115494392987,27.047712068733457,33.468682373500414,19.961807363934803,0.3,0.2,0.1
step2b_poly_d8,large_improvement,1,G-1196.json,2stage_val_mse,2stage,validation_mse_loss,254,10,18.516717755805963,104.91995393764283,91.65973052750388,54.10774488311773,12.914404444976984,0.4,0.3,0.1
step2b_poly_d8,large_improvement,1,G-1196.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,254,10,25.304730673279273,77.90554356879278,71.28919056139539,32.80686021511721,22.076358069454127,0.4,0.3,0.1
step2b_poly_d8,large_improvement,1,G-102.json,2stage_val_mse,2stage,validation_mse_loss,188,10,11.423500456158056,18.164262233079388,18.938102273417233,15.817999436868467,10.872458899004158,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-102.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,188,10,22.05794427920796,18.209409362102043,20.512410635958783,27.683456212663085,22.199892039458376,0.1,0.2,0.1
step2b_poly_d8,large_improvement,1,G-117.json,2stage_val_mse,2stage,validation_mse_loss,257,10,17.914075983446562,36.70890212266423,36.70890212266423,nan,16.41364868661826,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-117.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,257,10,24.266245591221185,27.82054893872598,29.432050656062195,28.31404542748095,23.762843716344435,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-642.json,2stage_val_mse,2stage,validation_mse_loss,258,10,17.488253262344216,38.46635155880522,38.46635155880522,nan,16.008470394958998,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-642.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,258,10,24.839844302915026,32.04575337630316,32.04575337630316,nan,24.331543662883497,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-1531.json,2stage_val_mse,2stage,validation_mse_loss,191,10,15.935359453226019,45.18571805085227,23.641116449278183,39.60982342637667,13.821958982827898,0.2,0.1,0.1
step2b_poly_d8,large_improvement,1,G-1531.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,191,10,24.121993538775385,32.85409941101603,22.848493772284982,37.68918673620535,23.521451594421627,0.2,0.1,0.1
step2b_poly_d8,large_improvement,1,G-1754.json,2stage_val_mse,2stage,validation_mse_loss,275,10,15.895398222300322,60.867672727253456,56.66848680014167,13.376977866643015,12.593128936810697,0.6,0.5,0.1
step2b_poly_d8,large_improvement,1,G-1754.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,275,10,22.940429838687294,42.81164018023707,42.81164018023707,nan,21.38190353738927,0.6,0.6,0.0
step2b_poly_d8,large_improvement,1,G-1110.json,2stage_val_mse,2stage,validation_mse_loss,258,10,13.818532373264564,59.629295609884615,50.0073246915679,27.130769744960098,9.841180930480014,0.3,0.2,0.1
step2b_poly_d8,large_improvement,1,G-1110.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,258,10,21.505028097680935,47.59901951173407,50.00890320333552,16.996280199325426,19.248858552366165,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-1506.json,2stage_val_mse,2stage,validation_mse_loss,217,10,13.439455954034164,20.91947766197581,20.91947766197581,nan,12.803654108859122,0.5,0.5,0.0
