regime,case_type,subset_seed,graph_id,method_label,method,selection_metric,num_edges,num_top_error_edges,mse_all_edges,mse_edges_in_opt,mse_edges_in_pred,mse_edges_in_symdiff,mse_edges_not_selected,top10_error_edges_in_opt_rate,top10_error_edges_in_pred_rate,top10_error_edges_in_symdiff_rate
step2b_poly_d8,large_improvement,1,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,199,10,14.873320425600099,53.724917900041284,56.70914780963985,9.93720333530729,11.851322498465553,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,199,10,23.74219154995264,32.71138141833793,39.295473014043296,19.183763377912303,22.874158501539398,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-116.json,2stage_val_mse,2stage,validation_mse_loss,271,10,14.098616720524532,54.40943205345501,38.67299525354868,21.769480029624667,10.439356712034847,0.6,0.4,0.2
step2b_poly_d8,large_improvement,1,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,271,10,21.627569221402457,37.766702240333004,33.90592860459355,23.666770052774044,20.074050956874544,0.5,0.4,0.1
step2b_poly_d8,large_improvement,25,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,199,10,14.910820730411043,52.816200898732156,55.94386660181408,10.12395876092989,11.953631739369145,0.3,0.3,0.0
step2b_poly_d8,large_improvement,25,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,199,10,24.641007416234007,31.86152481671976,38.73564730429281,20.057490525825767,23.896746150582427,0.3,0.3,0.0
step2b_poly_d8,large_improvement,25,G-116.json,2stage_val_mse,2stage,validation_mse_loss,271,10,14.128750310986867,53.60517689424975,38.321842901990436,21.655846195101518,10.537548547538671,0.6,0.4,0.2
step2b_poly_d8,large_improvement,25,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,271,10,22.40604077879961,37.169734414693956,34.07343681285756,24.232083701536673,20.96268452479844,0.5,0.4,0.1
step2b_poly_d8,large_improvement,22,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,199,10,14.895191555333353,53.054311736704626,56.119938285643364,10.051450454739777,11.921807791157597,0.3,0.3,0.0
step2b_poly_d8,large_improvement,22,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,199,10,26.57327958843695,30.02590153313144,37.64653008632401,22.418622742841194,26.083075541396923,0.3,0.3,0.0
step2b_poly_d8,large_improvement,22,G-116.json,2stage_val_mse,2stage,validation_mse_loss,271,10,14.11069339853887,53.81004004727113,38.38545724868259,21.658417307989176,10.503212391922268,0.6,0.4,0.2
step2b_poly_d8,large_improvement,22,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,271,10,24.040745875369844,35.496014426183805,34.58555139157423,25.868020754596643,22.820388052162645,0.4,0.3,0.1
step2b_poly_d8,weak_borderline_improvement,27,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,199,10,14.799437630187018,56.90800313775417,59.30977461034326,9.313128556716926,11.558375046705411,0.3,0.3,0.0
step2b_poly_d8,weak_borderline_improvement,27,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,199,10,24.46735140961634,32.660816420480444,39.33607346180019,19.563162739551974,23.661182489665013,0.3,0.3,0.0
step2b_poly_d8,weak_borderline_improvement,27,G-116.json,2stage_val_mse,2stage,validation_mse_loss,271,10,14.020496342531894,57.181891905955375,39.85247745715253,22.15024280150191,10.132639811647898,0.6,0.4,0.2
step2b_poly_d8,weak_borderline_improvement,27,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,271,10,22.288464214037536,38.069484561749476,34.254390818931704,24.004987581719718,20.783963047838494,0.5,0.4,0.1
step2b_poly_d8,weak_borderline_improvement,21,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,199,10,14.81773531591093,55.37340619613985,57.99191896191862,9.550598566182137,11.684177231106148,0.3,0.3,0.0
step2b_poly_d8,weak_borderline_improvement,21,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,199,10,23.5842409998049,32.42087955619654,39.06734400214731,19.286977433907953,22.719700339291453,0.3,0.3,0.0
step2b_poly_d8,weak_borderline_improvement,21,G-116.json,2stage_val_mse,2stage,validation_mse_loss,271,10,14.03033859440914,55.83158908379354,39.20932717682846,21.892510116559688,10.256635063977136,0.6,0.4,0.2
step2b_poly_d8,weak_borderline_improvement,21,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,271,10,21.46979617560847,37.31713395760048,33.74820858550741,23.673209747136692,19.923187750512533,0.5,0.4,0.1
step2b_poly_d8,weak_borderline_improvement,30,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,199,10,14.820031449313356,55.22386150730402,57.886243668068396,9.58885028206706,11.695873468898625,0.3,0.3,0.0
step2b_poly_d8,weak_borderline_improvement,30,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,199,10,30.28751856042095,28.70767239200551,37.15278636955797,25.37740170179671,30.165169104876014,0.2,0.2,0.0
step2b_poly_d8,weak_borderline_improvement,30,G-116.json,2stage_val_mse,2stage,validation_mse_loss,271,10,14.03654286765051,55.70595086007673,39.169917140141315,21.889038849864857,10.272206997868588,0.6,0.4,0.2
step2b_poly_d8,weak_borderline_improvement,30,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,271,10,27.303623500011867,35.262406436511306,36.126814736973344,28.29203735631488,26.38580216381939,0.4,0.3,0.1
step2b_poly_d8,easy_low_gap,41,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,199,10,14.7998581938918,57.27506214348694,59.60338351920329,9.250407494719227,11.534458453085051,0.3,0.3,0.0
step2b_poly_d8,easy_low_gap,41,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,199,10,23.416641228658868,32.762965485568955,39.30764632682824,19.015510753870725,22.518520821729243,0.3,0.3,0.0
