regime,case_type,subset_seed,graph_id,method_label,method,selection_metric,selected_epoch,theta_1,theta_2,optimal_obj,achieved_obj,decision_gap,normalized_gap,num_edges,num_edges_opt,num_edges_pred,same_solution_as_opt,edge_jaccard_with_opt,edge_hamming_with_opt,edge_overlap_count,existing_gap,existing_normalized_gap,gap_abs_diff,normalized_gap_abs_diff,model_path
step2b_poly_d8,large_improvement,1,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,218.90810073912144,212.54979968070984,6.358301058411598,0.02904552657902737,199,14,14,False,0.6470588235294118,0.03015075376884422,11,6.3582763671875,0.02904541639817323,2.4691224098205566e-05,1.1018085413830314e-07,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
step2b_poly_d8,large_improvement,1,G-116.json,2stage_val_mse,2stage,validation_mse_loss,500,9.966801670424774,9.043465714447702,337.88300067186356,308.1806013584137,29.70239931344986,0.08790735033813542,271,23,26,False,0.4,0.07749077490774908,14,29.702392578125,0.08790733172236724,6.735324859619141e-06,1.8615768176966085e-08,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
step2b_poly_d8,large_improvement,1,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,15.926371385210686,7.422090177005941,218.90810073912144,212.54979968070984,6.358301058411598,0.02904552657902737,199,14,14,False,0.6470588235294118,0.03015075376884422,11,6.3582763671875,0.02904541639817323,2.4691224098205566e-05,1.1018085413830314e-07,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2b_poly_d8,large_improvement,1,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,15.926371385210686,7.422090177005941,337.88300067186356,308.1806013584137,29.70239931344986,0.08790735033813542,271,23,26,False,0.4,0.07749077490774908,14,29.702392578125,0.08790733172236724,6.735324859619141e-06,1.8615768176966085e-08,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=1/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2b_poly_d8,large_improvement,25,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,500,10.019677658306488,9.13287789146143,218.90810073912144,212.54979968070984,6.358301058411598,0.02904552657902737,199,14,14,False,0.6470588235294118,0.03015075376884422,11,6.3582763671875,0.02904541639817323,2.4691224098205566e-05,1.1018085413830314e-07,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=25/model_weights/2stage_best_by_validation_mse_loss.npz
step2b_poly_d8,large_improvement,25,G-116.json,2stage_val_mse,2stage,validation_mse_loss,500,10.019677658306488,9.13287789146143,337.88300067186356,308.1806013584137,29.70239931344986,0.08790735033813542,271,23,26,False,0.4,0.07749077490774908,14,29.702392578125,0.08790733172236724,6.735324859619141e-06,1.8615768176966085e-08,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=25/model_weights/2stage_best_by_validation_mse_loss.npz
step2b_poly_d8,large_improvement,25,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.169001612906126,7.482278750303945,218.90810073912144,212.54979968070984,6.358301058411598,0.02904552657902737,199,14,14,False,0.6470588235294118,0.03015075376884422,11,6.3582763671875,0.02904541639817323,2.4691224098205566e-05,1.1018085413830314e-07,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=25/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2b_poly_d8,large_improvement,25,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.169001612906126,7.482278750303945,337.88300067186356,308.1806013584137,29.70239931344986,0.08790735033813542,271,23,26,False,0.4,0.07749077490774908,14,29.702392578125,0.08790733172236724,6.735324859619141e-06,1.8615768176966085e-08,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=25/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2b_poly_d8,large_improvement,22,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,500,10.058063479507418,9.05515011604196,218.90810073912144,212.54979968070984,6.358301058411598,0.02904552657902737,199,14,14,False,0.6470588235294118,0.03015075376884422,11,6.3582763671875,0.02904541639817323,2.4691224098205566e-05,1.1018085413830314e-07,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=22/model_weights/2stage_best_by_validation_mse_loss.npz
step2b_poly_d8,large_improvement,22,G-116.json,2stage_val_mse,2stage,validation_mse_loss,500,10.058063479507418,9.05515011604196,337.88300067186356,308.1806013584137,29.70239931344986,0.08790735033813542,271,23,26,False,0.4,0.07749077490774908,14,29.702392578125,0.08790733172236724,6.735324859619141e-06,1.8615768176966085e-08,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=22/model_weights/2stage_best_by_validation_mse_loss.npz
step2b_poly_d8,large_improvement,22,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.376393057363455,8.174307526237497,218.90810073912144,212.54979968070984,6.358301058411598,0.02904552657902737,199,14,14,False,0.6470588235294118,0.03015075376884422,11,6.3582763671875,0.02904541639817323,2.4691224098205566e-05,1.1018085413830314e-07,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=22/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2b_poly_d8,large_improvement,22,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.376393057363455,8.174307526237497,337.88300067186356,308.1806013584137,29.70239931344986,0.08790735033813542,271,23,26,False,0.4,0.07749077490774908,14,29.702392578125,0.08790733172236724,6.735324859619141e-06,1.8615768176966085e-08,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=22/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2b_poly_d8,weak_borderline_improvement,27,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,500,10.04814159840907,8.486568143906783,218.90810073912144,212.54979968070984,6.358301058411598,0.02904552657902737,199,14,14,False,0.6470588235294118,0.03015075376884422,11,6.3582763671875,0.02904541639817323,2.4691224098205566e-05,1.1018085413830314e-07,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=27/model_weights/2stage_best_by_validation_mse_loss.npz
step2b_poly_d8,weak_borderline_improvement,27,G-116.json,2stage_val_mse,2stage,validation_mse_loss,500,10.04814159840907,8.486568143906783,337.88300067186356,308.1806013584137,29.70239931344986,0.08790735033813542,271,23,26,False,0.4,0.07749077490774908,14,29.702392578125,0.08790733172236724,6.735324859619141e-06,1.8615768176966085e-08,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=27/model_weights/2stage_best_by_validation_mse_loss.npz
step2b_poly_d8,weak_borderline_improvement,27,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.299529308199972,7.0515594534308805,218.90810073912144,212.54979968070984,6.358301058411598,0.02904552657902737,199,14,14,False,0.6470588235294118,0.03015075376884422,11,6.3582763671875,0.02904541639817323,2.4691224098205566e-05,1.1018085413830314e-07,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=27/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2b_poly_d8,weak_borderline_improvement,27,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.299529308199972,7.0515594534308805,337.88300067186356,308.1806013584137,29.70239931344986,0.08790735033813542,271,23,26,False,0.4,0.07749077490774908,14,29.702392578125,0.08790733172236724,6.735324859619141e-06,1.8615768176966085e-08,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=27/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2b_poly_d8,weak_borderline_improvement,21,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,500,10.148358654149506,8.608141134989136,218.90810073912144,212.54979968070984,6.358301058411598,0.02904552657902737,199,14,14,False,0.6470588235294118,0.03015075376884422,11,6.3582763671875,0.02904541639817323,2.4691224098205566e-05,1.1018085413830314e-07,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=21/model_weights/2stage_best_by_validation_mse_loss.npz
step2b_poly_d8,weak_borderline_improvement,21,G-116.json,2stage_val_mse,2stage,validation_mse_loss,500,10.148358654149506,8.608141134989136,337.88300067186356,308.1806013584137,29.70239931344986,0.08790735033813542,271,23,26,False,0.4,0.07749077490774908,14,29.702392578125,0.08790733172236724,6.735324859619141e-06,1.8615768176966085e-08,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step2_resampling/phase1_runs/step2b_poly_d8/subset_seed=21/model_weights/2stage_best_by_validation_mse_loss.npz
