example,problem_family,objective_sense,selected_by,solution,oracle_true_objective_or_cost,selected_true_objective_or_cost,selected_predicted_2stage_score_or_cost,selected_predicted_dfl_score_or_cost,normalized_gap_to_oracle,normalized_gap_percent,paper_takeaway
toy_kep_packing,KEP / set packing,maximize,oracle_by_true,C12 + C34,20.0,20.0,20.0,20.0,0.0,0.0,"2stage selects a different packing from the oracle, but the true objective gap is only 1% because the alternative packing is a close substitute."
toy_kep_packing,KEP / set packing,maximize,true_second_best,C13 + C24,20.0,19.8,20.2,19.8,0.009999999999999964,0.9999999999999963,"2stage selects a different packing from the oracle, but the true objective gap is only 1% because the alternative packing is a close substitute."
toy_kep_packing,KEP / set packing,maximize,2stage_rank1_by_prediction,C13 + C24,20.0,19.8,20.2,19.8,0.009999999999999964,0.9999999999999963,"2stage selects a different packing from the oracle, but the true objective gap is only 1% because the alternative packing is a close substitute."
toy_kep_packing,KEP / set packing,maximize,2stage_rank2_by_prediction,C12 + C34,20.0,20.0,20.0,20.0,0.0,0.0,"2stage selects a different packing from the oracle, but the true objective gap is only 1% because the alternative packing is a close substitute."
toy_kep_packing,KEP / set packing,maximize,dfl_rank1_by_prediction,C12 + C34,20.0,20.0,20.0,20.0,0.0,0.0,"2stage selects a different packing from the oracle, but the true objective gap is only 1% because the alternative packing is a close substitute."
toy_kep_packing,KEP / set packing,maximize,dfl_rank2_by_prediction,C13 + C24,20.0,19.8,20.2,19.8,0.009999999999999964,0.9999999999999963,"2stage selects a different packing from the oracle, but the true objective gap is only 1% because the alternative packing is a close substitute."
toy_stable_set,stable set,maximize,oracle_by_true,A + B,20.0,20.0,20.0,20.0,0.0,0.0,The same close-substitute behavior can occur outside KEP in another packing-style combinatorial problem.
toy_stable_set,stable set,maximize,true_second_best,C + D,20.0,19.8,20.2,19.8,0.009999999999999964,0.9999999999999963,The same close-substitute behavior can occur outside KEP in another packing-style combinatorial problem.
toy_stable_set,stable set,maximize,2stage_rank1_by_prediction,C + D,20.0,19.8,20.2,19.8,0.009999999999999964,0.9999999999999963,The same close-substitute behavior can occur outside KEP in another packing-style combinatorial problem.
toy_stable_set,stable set,maximize,2stage_rank2_by_prediction,A + B,20.0,20.0,20.0,20.0,0.0,0.0,The same close-substitute behavior can occur outside KEP in another packing-style combinatorial problem.
toy_stable_set,stable set,maximize,dfl_rank1_by_prediction,A + B,20.0,20.0,20.0,20.0,0.0,0.0,The same close-substitute behavior can occur outside KEP in another packing-style combinatorial problem.
toy_stable_set,stable set,maximize,dfl_rank2_by_prediction,C + D,20.0,19.8,20.2,19.8,0.009999999999999964,0.9999999999999963,The same close-substitute behavior can occur outside KEP in another packing-style combinatorial problem.
toy_weighted_matching,weighted matching,maximize,oracle_by_true,M12 + M34,20.0,20.0,20.0,20.0,0.0,0.0,A matching can switch to a different perfect matching while losing only 2% of the true objective when the alternative edges are close substitutes.
toy_weighted_matching,weighted matching,maximize,true_second_best,M13 + M24,20.0,19.6,20.4,19.6,0.019999999999999928,1.9999999999999927,A matching can switch to a different perfect matching while losing only 2% of the true objective when the alternative edges are close substitutes.
toy_weighted_matching,weighted matching,maximize,2stage_rank1_by_prediction,M13 + M24,20.0,19.6,20.4,19.6,0.019999999999999928,1.9999999999999927,A matching can switch to a different perfect matching while losing only 2% of the true objective when the alternative edges are close substitutes.
toy_weighted_matching,weighted matching,maximize,2stage_rank2_by_prediction,M12 + M34,20.0,20.0,20.0,20.0,0.0,0.0,A matching can switch to a different perfect matching while losing only 2% of the true objective when the alternative edges are close substitutes.
toy_weighted_matching,weighted matching,maximize,dfl_rank1_by_prediction,M12 + M34,20.0,20.0,20.0,20.0,0.0,0.0,A matching can switch to a different perfect matching while losing only 2% of the true objective when the alternative edges are close substitutes.
toy_weighted_matching,weighted matching,maximize,dfl_rank2_by_prediction,M13 + M24,20.0,19.6,20.4,19.6,0.019999999999999928,1.9999999999999927,A matching can switch to a different perfect matching while losing only 2% of the true objective when the alternative edges are close substitutes.
toy_knapsack_capacity,cardinality knapsack,maximize,oracle_by_true,A + B,20.0,20.0,20.0,20.0,0.0,0.0,"Under a small capacity, 2stage can replace the oracle bundle with a nearby bundle and still incur only 2.5% normalized regret."
toy_knapsack_capacity,cardinality knapsack,maximize,true_second_best,B + D,20.0,19.75,20.2,19.75,0.0125,1.25,"Under a small capacity, 2stage can replace the oracle bundle with a nearby bundle and still incur only 2.5% normalized regret."
toy_knapsack_capacity,cardinality knapsack,maximize,2stage_rank1_by_prediction,C + D,20.0,19.5,20.4,19.5,0.025,2.5,"Under a small capacity, 2stage can replace the oracle bundle with a nearby bundle and still incur only 2.5% normalized regret."
