method,train_size,selected_epoch,theta_1,theta_2,selection_metric,selection_value,test_mean_decision_gap,test_mean_normalized_gap,test_median_normalized_gap,test_mean_achieved_oracle_ratio,paired_mean_improvement_over_2stage,paired_median_improvement_over_2stage,fraction_improved_over_2stage,paired_mean_improvement_ci_low,paired_mean_improvement_ci_high,model_path,source,source_root,dataset_key,dataset_title,summary_file,method_id,method_label,evaluation_dataset,evaluation_graph_count
2stage,50,500,9.870747607820084,5.112999896631308,validation_mse_loss,0.4694900125041546,0.8480284786224366,0.0061104630092959945,5.4685248175492305e-05,0.9938895369906561,,,,,,surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/model_weights/2stage_best_by_validation_mse_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/metrics/test_summary.csv,2stage_val_mse,2stage (val MSE),,
e2e,50,50,5.480679355018847,2.8131824778900354,validation_decision_gap,0.721093547821045,0.8220269680023193,0.005918161549252739,0.0,0.9940818384507009,0.02600151062011719,0.0,0.01,-0.009649843215942382,0.08050999307632445,surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/model_weights/e2e_best_by_validation_decision_gap.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/metrics/test_summary.csv,fy_val_gap,FY (val gap),,
e2e,50,440,11.830440344475832,5.020811341353216,validation_fy_loss,1.7592133313417435,0.7586592483520508,0.005466565251075733,0.0,0.9945334347488821,0.08936923027038574,0.0,0.1,-0.0057031395435333245,0.19081536293029785,surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/model_weights/e2e_best_by_validation_fy_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/metrics/test_summary.csv,fy_val_fy,FY (val FY),,
spoplus,50,100,6.724492060157461,3.4149374749998125,validation_decision_gap,0.7208266959749162,0.807284460067749,0.005808629419418262,0.0,0.9941913705805361,0.0407440185546875,0.0,0.0175,-0.00013269948959350564,0.09999001741409301,surrogate_experiment_results/Step1c/remote_results/formal_spoplus_lr0.1_2stage500_spoplus500_s10_val2000_server/train_size=50/model_weights/spoplus_best_by_validation_decision_gap.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=50/metrics/test_summary.csv,spoplus_val_gap,SPO+ (val gap),,
spoplus,50,480,9.115521838272171,4.137967673645587,validation_spoplus_loss,2.869202013805875,0.7401089382171631,0.005442251849235882,0.0,0.9945577481507203,0.10791954040527343,0.0,0.0725,0.03465902328491211,0.19599842309951782,surrogate_experiment_results/Step1c/remote_results/formal_spoplus_lr0.1_2stage500_spoplus500_s10_val2000_server/train_size=50/model_weights/spoplus_best_by_validation_spoplus_loss.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=50/metrics/test_summary.csv,spoplus_val_spoplus,SPO+ (val SPO+),,
2stage,200,500,9.8848105243849,5.10380165743099,validation_mse_loss,0.4687730366753866,0.845095739364624,0.006095477828797544,0.0,0.9939045221711545,,,,,,surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/model_weights/2stage_best_by_validation_mse_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/metrics/test_summary.csv,2stage_val_mse,2stage (val MSE),,
e2e,200,240,10.355910093305033,5.229903298500468,validation_decision_gap,0.7160169925689698,0.807284460067749,0.005808629419418262,0.0,0.9941913705805361,0.037811279296875,0.0,0.015,-0.000898258686065673,0.09612580633163452,surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/model_weights/e2e_best_by_validation_decision_gap.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/metrics/test_summary.csv,fy_val_gap,FY (val gap),,
e2e,200,500,12.26819355733857,6.064882815738364,validation_fy_loss,1.7131499949097633,0.7729712009429932,0.005629294501772244,0.0,0.9943707054981828,0.07212453842163086,0.0,0.035,0.012631668090820313,0.15054825496673582,surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/model_weights/e2e_best_by_validation_fy_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/metrics/test_summary.csv,fy_val_fy,FY (val FY),,
spoplus,200,130,7.033416681027098,3.585472416406193,validation_decision_gap,0.7231411470398307,0.8184847164154053,0.005891110453229686,0.0,0.994108889546724,0.02661102294921875,0.0,0.0125,-0.007644046783447265,0.0829664521217346,surrogate_experiment_results/Step1c/remote_results/formal_spoplus_lr0.1_2stage500_spoplus500_s10_val2000_server/train_size=200/model_weights/spoplus_best_by_validation_decision_gap.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=200/metrics/test_summary.csv,spoplus_val_gap,SPO+ (val gap),,
spoplus,200,500,9.046202384499855,4.4395764584911594,validation_spoplus_loss,2.8017168912538084,0.7706106662750244,0.005609810027576595,0.0,0.9943901899723787,0.0744850730895996,0.0,0.0375,0.016969658374786374,0.1526712565422057,surrogate_experiment_results/Step1c/remote_results/formal_spoplus_lr0.1_2stage500_spoplus500_s10_val2000_server/train_size=200/model_weights/spoplus_best_by_validation_spoplus_loss.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=200/metrics/test_summary.csv,spoplus_val_spoplus,SPO+ (val SPO+),,
